layer,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,kstest_stat_best,n_pval_0.05
0.3162,10000.0,3.0,-1.05,0.0339790190907328,3.0,-1.05,0.0339790190907328,1579
0.4549,10000.0,5.3,-0.8,0.0077792706782196,5.3,-0.8,0.0077792706782196,32035
0.6543,10000.0,1.1,-0.54,0.0084498886826694,1.1,-0.54,0.0084498886826694,25312
0.70710678,10000.0,0.9,-0.58,0.0069366883776806,0.9,-0.58,0.0069366883776806,37968
0.9412,10000.0,0.75,-0.4,0.0054721629124916,0.75,-0.4,0.0054721629124916,64071
1.354,10000.0,0.6,-0.28,0.0058000655040024,0.6,-0.28,0.0058000655040024,56952
1.947,10000.0,0.55,0.0,0.0080318847422374,0.55,0.0,0.0080318847422374,28476
2.801,10000.0,0.46,0.0,0.0062250979699026,0.46,0.0,0.0062250979699026,48052
4.03,10000.0,0.4,-0.02,0.0084128112347581,0.4,-0.02,0.0084128112347581,25312
5.796,10000.0,0.37,0.1,0.0121615169807314,0.37,0.1,0.0121615169807314,12655
8.338,10000.0,0.35,0.3,0.0071115268135482,0.35,0.3,0.0071115268135482,37968
11.99,10000.0,0.34,0.6,0.0085421954868283,0.34,0.6,0.0085421954868283,25312
17.25,10000.0,0.3,0.4,0.0112605954412527,0.3,0.4,0.0112605954412527,15000
24.82,10000.0,0.28,0.4,0.0104490942555458,0.28,0.4,0.0104490942555458,16875
35.7,10000.0,0.28,0.8,0.0066548312833278,0.28,0.8,0.0066548312833278,42714
51.35,10000.0,0.27,1.0,0.008896020282562,0.27,1.0,0.008896020282562,22500
73.86,10000.0,0.26,1.1,0.0088111404338493,0.26,1.1,0.0088111404338493,24025
106.2,10000.0,0.25,1.3,0.0063675440815345,0.25,1.3,0.0063675440815345,48052
152.8,10000.0,0.23,1.0,0.013996813827636,0.23,1.0,0.013996813827636,9490
219.8,10000.0,0.23,1.5,0.0115260445397846,0.23,1.5,0.0115260445397846,14236
316.2,10000.0,0.22,1.5,0.0121804873938285,0.22,1.5,0.0121804873938285,12655
