layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
0.3162,0.19335678822880148,0.16080055454976638,0.23688828049855573,3.385509792680187,1.3560451128201332,6.73114170367162,10000.0
0.4549,0.4143682118313114,0.34141369616430994,0.48955446652294043,2.8568228060098244,1.4848674856852906,5.035098846457057,10000.0
0.6543,0.8490675958680022,0.6976006838429648,1.023003944809296,3.271503229838574,1.014398309337207,8.10679282061371,10000.0
0.70710678,0.9880028522399501,0.8213376952813537,1.1719034861120998,2.6092124152469633,1.239021592009798,4.613781649928004,10000.0
0.9412,1.757790971209418,1.4652386360042053,2.0750506395348505,2.8015253109176834,1.3088945193790273,4.589595289593263,10000.0
1.354,3.79553011873839,3.1431654549877677,4.456044298903581,2.973003079612951,1.4409377444557145,4.9824825711192195,10000.0
1.947,7.681312743175021,6.443957105156105,9.004857533898306,2.8274283211045086,1.2942146552740763,5.011916015364899,10000.0
2.801,15.98555931936389,13.209582936200684,19.09771157433614,3.1307433943337246,1.3347406626540113,6.156873716952018,10000.0
4.03,33.039036515185806,27.032692184365004,39.11325753340178,3.0580137540142847,1.3303385525682847,7.1223940570973,10000.0
5.796,68.02281037007684,56.97657727674022,80.94114358999255,3.1817800813076857,1.3968698122006147,5.856083326923894,10000.0
8.338,141.44911429427862,118.63739191901387,166.39438759085567,2.742162484688179,1.2521223911388817,5.040203098255807,10000.0
11.99,284.6624861826315,231.3633702763322,337.76600589902347,2.41781267724335,1.041802238265832,4.6399945518263905,10000.0
17.25,586.0330354581228,491.14331361436865,690.3402751175388,2.419499743986984,1.102320312331112,4.268368440075589,10000.0
24.82,1268.3163216185715,1054.8698978780285,1534.8839923725095,3.038263264210153,1.498905753294847,5.904290311545393,10000.0
35.7,2554.3112276741444,2107.4012024586086,3035.3156824862476,2.891341270091128,1.4926416289956566,4.814695539967755,10000.0
51.35,5112.590636702037,4227.179754313179,6003.225450356941,3.131211106475183,1.4014377045594306,5.751707551721217,10000.0
73.86,10548.598359963355,8775.016714648857,12471.811676990088,2.8671901739064953,1.420789411472049,5.092948756012276,10000.0
106.2,22466.54833297606,18971.50482061063,27037.134579715723,2.9428360518576957,1.4398793600108093,6.45549338306891,10000.0
152.8,45482.5832472664,37522.018341195166,54116.45732010766,2.7383692664359804,1.2364924143156928,4.674392155693621,10000.0
219.8,101116.02403341234,85015.91347311831,119212.19344278197,3.0656060526993514,1.6288567419192694,5.084914502629639,10000.0
316.2,202312.49937881643,171341.22232941343,237752.6905486753,2.6666333885557014,1.2728306850931048,6.022357956001663,10000.0
