band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,best_augmented_var,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
2,51393212.0,51393212.0,47504630.0,45640416.0,44151476.0,42872364.0,40715724.0,38912372.0,37347536.0,35958096.0,34707304.0,31564402.0,0.003867978446245,0.0037074119225619,0.0034817714201361,0.0040389363203451,0.0034840983565094,0.0043967056269098,0.0051472113705475,0.0060305396428554,0.0066904407330536,0.0075603126632375,0.0099117625278965,0.005302306241249621,0.004925385678425709,0.004369895541627922,0.00373351672972003,0.003481771420136129,0.0027422320322505467,51393212.0,0.001927953018703632,,
5,2524177400.0,2524177400.0,2486231600.0,2453681400.0,2423913000.0,2396057000.0,2344471600.0,2297070300.0,2252930300.0,2211404800.0,2172045300.0,2064422000.0,0.0427813655879378,0.0434907258840011,0.0437050500537959,0.043252350294773,0.0428242589163623,0.0435397907557449,0.0444956933567477,0.0454032152182832,0.0448656418811447,0.0446978770737438,0.0469436110873445,0.041529118712595015,0.0419079287599341,0.0413352747230058,0.040877026404482764,0.04143902935162913,,2486231600.0,,,
8,1757397600.0,1757397600.0,1731390100.0,1708123800.0,1686474500.0,1666087800.0,1628386300.0,1593987800.0,1562166100.0,1532494800.0,1504668800.0,1429997600.0,0.0223774123325906,0.0233263041713128,0.0242531458474257,0.0247991012757662,0.0244085068504446,0.024374301267756,0.0258360059663179,0.0257342308034569,0.0257917459801912,0.0270445977798534,0.0281244854336039,0.02335491052118477,0.023101751303128984,0.023101751303128984,0.023101751303128984,0.022377412332590607,,,,,
11,1457189100.0,1457189100.0,1442000900.0,1428191400.0,1415158800.0,1402715300.0,1379231600.0,1357251500.0,1336482700.0,1316734100.0,1297857400.0,1245495000.0,0.0262320513411176,0.0259253031486984,0.02553290412129,0.0256077280103752,0.026156328561338,0.0272083609679488,0.0275501488135812,0.0270502465015954,0.0279683729724978,0.0288626319774598,0.0295678347274462,0.026536090141694446,0.026690032554282095,0.026156328561338052,0.025607728010375252,0.025065716805091773,0.024743834198383552,1457189100.0,0.02409164802348418,,
14,454788770.0,454788770.0,446038100.0,438456770.0,431506370.0,425015970.0,413086980.0,402223300.0,392185500.0,382819620.0,374017700.0,350319870.0,0.0190189379437725,0.0191092790615392,0.0183950524543967,0.0177365113751115,0.0177522999230633,0.0193054626489704,0.0207755468042698,0.0221698421256352,0.0212361767586171,0.0207544971054655,0.0243214666826784,0.01876858505560286,0.018447844755949835,0.01811066186008657,0.017752299923063375,0.017366974520682615,0.0169461213145541,454788770.0,0.016471444182489012,0.01564150042849123,
18,79979430.0,79979430.0,77487464.0,75735240.0,74250140.0,72935816.0,70647410.0,68669760.0,66910708.0,65317572.0,63856210.0,60059930.0,0.016546149683289,0.0179654772261365,0.0171771139426674,0.0177763938624775,0.018766900549471,0.0198182282800839,0.0196660483388736,0.0210925848630648,0.0216201893040161,0.0216025269090164,0.0231939961460354,0.01662900092251518,0.016155153763110247,0.01518268615992524,0.01568261297496011,0.014101503035654717,,79979430.0,,,
21,29852508.0,29852508.0,28581142.0,27773172.0,27112616.0,26542532.0,25579760.0,24775908.0,24080218.0,23463492.0,22905670.0,21463272.0,0.0161726853011974,0.0148911492173913,0.0162916992685078,0.0174884026633316,0.0185519100273686,0.018301910792061,0.0187995920517944,0.0201890656162113,0.0214775910033663,0.0210691897701192,0.0232597720223161,0.015983294101122203,0.015105832446882295,0.01409706531344529,0.014735923892132838,0.013349254307553474,0.01292442894293816,29852508.0,,,
24,15253643.0,15253643.0,14261860.0,13575599.0,13013558.0,12531066.0,11724423.0,11061167.0,10496557.0,10005216.0,9570695.0,8510564.0,0.0072256908859415,0.0098008205535873,0.011962927754788,0.013924894185901,0.0156930204544123,0.0128341923430363,0.0133610464386619,0.0153031392333442,0.0171938938749997,0.0190311499625914,0.0187973453616506,0.009388347524138446,0.00954389658360666,0.008184392571490368,0.006485041855896406,0.005044551568596345,,15253643.0,,,
27,10075819.0,10075819.0,9435878.0,8941874.0,8517147.0,8140467.0,7489733.5,6938666.0,6461039.5,6040110.5,5665223.5,4746618.5,0.011542630038935,0.0113667494609995,0.0112421110365433,0.0135186773033183,0.0133066723668539,0.0129525557361369,0.0126553631514173,0.0123977724984257,0.0101938374474003,0.0100796254895061,0.0112767025353311,0.009472031682639732,0.009122361725713742,0.00900614738244021,0.008724274151723648,0.008435762512608691,0.00844092618420944,6040110.5,0.008229889276284985,0.008267581151344627,0.008307037331657718
31,289414.16,289414.16,259365.94,241837.84,227534.14,215236.52,194845.6,178382.28,164612.98,152837.77,142605.1,118440.87,0.0311353283718721,0.0309696839205858,0.0308682103847265,0.0307838845843155,0.0307073619885113,0.0305734913710079,0.0305022798958616,0.0308317518677958,0.0307303266421533,0.0306395438092613,0.0304062473627558,0.027466998549440458,0.027195141897434327,0.027220905265714745,0.02724689676857367,0.027273122660724902,0.027302168593373644,133604.89,0.027332381095198532,0.027101732234457165,0.026972161348111756
