layer,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,7072,3.1,-0.8,0.0634820822656423,50.0,3.0,-0.85,48143.67428783373,0.06337252183187397,0.0,442
3,28288,1.4,-1.0,0.0437365098280818,25.0,1.6,-1.02,12196.601400454276,0.04352046498148182,0.0,994
4,113152,1.0,-1.1,0.0327096779630394,75.0,0.95,-1.1,2504.9275466311587,0.03227168468674518,0.0,1768
5,452608,2.1,-1.2,0.0273261433444101,500.0,1.61,-1.2,819.7362895401988,0.027248569989896554,600.0,2515
6,1810432,1.5,-1.3,0.0382199999999998,0.0,1.5,-1.3,352.1849558469132,0.0382199999999998,0.0,1326
7,7241728,0.9,-1.3,0.0686499999999998,0.0,0.5,-1.18,11.740578565655682,0.06864999999999977,100.0,372
8,28966912,0.3,-1.3,0.1111999999999998,0.0,0.3,-1.3,0.7088060095560083,0.1111999999999998,0.0,154
9,115867648,0.3,-1.3,0.1591099999999997,0.0,0.3,-1.3,0.1782392667649568,0.1591099999999997,0.0,67
10,463470592,0.3,-1.3,0.2086399999999997,0.0,0.3,-1.3,0.0517167803811076,0.2086399999999997,0.0,-1
