layer,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,best_augmented_var,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
2,18445.896,18445.896,16528.848,15350.55,14397.601,13594.936,12272.726,11176.319,10228.813,9402.415,8673.533,6933.942,0.0634905076342756,0.0634867121773732,0.0634820822656423,0.0634820519693754,0.0636925916607056,0.0637101171597391,0.06385212962194,0.0639708010458606,0.0648047479178649,0.0680279303270572,0.089347574411762,0.0637559527377981,0.06370324555414042,0.06362428829706335,0.06355606623464483,0.06348208226564234,0.06344329855956415,18445.896,0.06337252183187397,,
3,4277.869,4277.869,4091.0044,3960.9688,3847.4587,3745.613,3568.89,3419.4094,3286.4758,3166.3135,3057.1042,2777.2954,0.0437371529639684,0.0437365098280818,0.0437435346586017,0.0437470033309276,0.0437471156055983,0.0437656125543899,0.0437637061030874,0.0437710905314839,0.0437769813932804,0.0437805397979252,0.0450054720804045,0.04375359540916873,0.0437471156055983,0.04374272547097163,0.043644506176291786,0.04352852308211719,0.04352046498148182,4277.869,,,
4,1053.9296,1053.9296,1033.9047,1018.2458,1004.5349,992.1301,969.90796,950.0119,931.62756,914.64264,898.6799,856.108,0.0327703512270573,0.0327462676605798,0.0327269522761331,0.0327096779630394,0.0328000360731655,0.0327682475866777,0.0327422016879928,0.032717412305357,0.0327759945253565,0.0327539543155586,0.0327590543979794,0.0323091350095161,0.03229716539154254,0.032301869463665034,0.03228965074234175,0.032295901973142915,0.03228485205653947,1053.9296,0.03227526163931527,0.03227168468674518,
5,252.7267,252.7267,247.02087,242.61497,238.7462,235.23857,229.03494,223.53214,218.53093,213.93187,209.65793,198.24464,0.0275050939750753,0.0274832535978698,0.0274671693819412,0.0274526840358689,0.0274392462909998,0.0274165407664681,0.0274017606014984,0.0273878484431165,0.0273746286953758,0.0273619573762395,0.0273261433444101,0.027248569989896554,0.0272528971132166,0.027257276149749043,0.02726169288749425,0.027266870043608504,0.027272923926023818,191.52376,0.027279040616189243,0.02728523322842391,0.02729149487886917
6,58.23728,58.23728,56.734486,55.59967,54.610756,53.714157,52.118645,50.71233,49.440506,48.272747,47.190025,44.32424,0.0382199999999998,0.0382199999999998,0.0382199999999998,0.0382199999999998,0.0382199999999998,0.0382199999999998,0.0382199999999998,0.0382199999999998,0.0382199999999998,0.0382199999999998,0.0382199999999998,0.03821999999999981,0.03821999999999981,0.03821999999999981,0.03821999999999981,0.03821999999999981,,,,,
7,13.477817,13.477817,13.0952835,12.804509,12.551495,12.322911,11.916401,11.558127,11.234848,10.938304,10.664015,9.942381,0.0686499999999998,0.0686499999999998,0.0686499999999998,0.0686499999999998,0.0686499999999998,0.0686499999999998,0.0686499999999998,0.0686499999999998,0.0686499999999998,0.0686499999999998,0.0686499999999998,0.06864999999999977,0.06864999999999977,0.06864999999999977,0.06864999999999977,0.06864999999999977,,12.322911,,,
8,3.1406689,3.1406689,3.0427167,2.9690819,2.9051828,2.8477185,2.7461274,2.6571147,2.5771558,2.5041718,2.4368427,2.260731,0.1111999999999998,0.1111999999999998,0.1111999999999998,0.1111999999999998,0.1111999999999998,0.1111999999999998,0.1111999999999998,0.1111999999999998,0.1111999999999998,0.1111999999999998,0.1111999999999998,0.1111999999999998,0.1111999999999998,0.1111999999999998,0.1111999999999998,0.1111999999999998,,,,,
9,0.7897655,0.7897655,0.7633595,0.7436235,0.7266163,0.71139276,0.68460697,0.6612756,0.64042425,0.62148964,0.60409135,0.5588078,0.1591099999999997,0.1591099999999997,0.1591099999999997,0.1591099999999997,0.1591099999999997,0.1591099999999997,0.1591099999999997,0.1591099999999997,0.1591099999999997,0.1591099999999997,0.1591099999999997,0.15910999999999975,0.15910999999999975,0.15910999999999975,0.15910999999999975,0.15910999999999975,,,,,
10,0.22915336,0.22915336,0.22125578,0.21520814,0.21000348,0.20536326,0.19725679,0.1902609,0.18406603,0.17848678,0.17339906,0.16032329,0.2086399999999997,0.2086399999999997,0.2086399999999997,0.2086399999999997,0.2086399999999997,0.2086399999999997,0.2086399999999997,0.2086399999999997,0.2086399999999997,0.2086399999999997,0.2086399999999997,0.20863999999999977,0.20863999999999977,0.20863999999999977,0.20863999999999977,0.20863999999999977,,,,,
