layer,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,9000,0.1,2.1,0.01291060609031,25.0,0.09,2.5,7.445190090259929e-15,0.012329051281858017,25.0,12811
3,36000,0.1,1.8,0.0112340636048164,200.0,0.09,2.1,3.894479246526672e-15,0.01106352908674002,175.0,15187
4,144000,0.1,1.6,0.0088034709864962,500.0,0.09,1.8,1.9089885330750395e-15,0.007760828965098946,425.0,30375
5,576000,0.1,1.7,0.0078179143158972,350.0,0.11,1.5,8.839585708098037e-12,0.007042922041511024,400.0,36000
6,2304000,0.1,2.6,0.005392103284187,300.0,0.11,2.3,2.9212992000305927e-13,0.005112321692668731,325.0,72000
7,9216000,0.1,3.5,0.0037430957850161,250.0,0.09,3.8,1.9761335472113742e-19,0.0032093032109368202,200.0,182250
8,36864000,0.1,2.7,0.0021909896982331,150.0,0.11,2.3,4.0474547388546205e-14,0.002190433074926279,150.0,389236
9,147456000,0.1,2.2,0.0038092322898495,200.0,0.09,2.5,4.674539958013561e-19,0.003791290035952688,175.0,129742
10,589824000,0.1,2.1,0.0054322421861016,250.0,0.09,2.4,8.243314648193374e-20,0.004943472711171404,225.0,72000
