layer,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,0,,,,,,,,,,-1
3,3396,2.2,20.0,0.048959242409117,0.0,2.2,20.0,96925.41138003276,0.048959242409117,0.0,804
4,98808,0.3,19.0,0.0138791498073762,500.0,0.35,19.0,1.3176240445416931,0.013733088343086952,575.0,9886
5,524004,0.8,-0.7,0.0059941919421327,25.0,0.78,-0.7,29524.252038131486,0.0058224441622601875,0.0,55264
6,2418270,0.1,2.4,0.0037760566047188,75.0,0.1,2.4,5.303438865438649e-13,0.0037760566047188,75.0,127524
7,10234344,0.1,2.1,0.0034911537040601,75.0,0.1,2.1,1.6500530079659508e-13,0.0034911537040601,75.0,159911
8,42110360,0.1,2.4,0.0031191060852735,75.0,0.09,2.8,8.410354451088348e-18,0.0027799857345577883,50.0,246739
9,170911996,0.1,3.7,0.0052694765922381,200.0,0.1,3.8,9.072722710315513e-18,0.004983059358185316,225.0,75187
