band,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,best_scale,kstest_stat_best,n_pval_0.05
2,45000.0,0.29,0.1,0.010706678076321,0.283,0.0,100000.0,0.009509945930714192,21357
5,117000.0,0.29,-0.2,0.0075775138703346,0.291,-0.19,100000.0,0.007303096903708062,32905
8,189000.0,0.33,-0.1,0.0074350839129907,0.326,-0.14,100000.0,0.006993751130227266,39865
11,495000.0,0.35,-0.2,0.0052138993903222,0.351,-0.19,100000.0,0.005168148184356514,69609
14,1134000.0,0.4,-0.15,0.0049190667127601,0.4,-0.145,100000.0,0.004819888552052098,79734
17,2574000.0,0.43,-0.3,0.0047362343765475,0.426,-0.32,100000.0,0.004303474327775007,101800
20,5967000.0,0.45,-0.5,0.008021198408196,0.458,-0.48,100000.0,0.0064478980906602645,46617
23,13887000.0,0.53,-0.7,0.0110290128508493,0.537,-0.68,100000.0,0.009117780890729787,22882
26,31968000.0,0.9,-0.94,0.0137311746295267,0.88,-0.94,100000.0,0.01315601637856545,11110
29,73701000.0,0.03,2.0,0.0350385219922591,0.03,2.0,2.9705710781292375e-66,0.03503852199225865,1422
32,59634000.0,0.04,2.8,0.0276432487724486,0.04,2.79,5.150623454362605e-49,0.027622464225693033,2301
