,total_samples,dataset,subset,transform,orientation,channel,group,kstest_stat_best,kstest_stat_cutoff_0.05,beat_all_priors,github_plot
17,596700.0,agriVision,full,fourier,,gray,20,0.0034436667065671,0.0005559445407404,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/gray/plots/compare_cdf_pdf_layer_20.jpg
18,1388700.0,agriVision,full,fourier,,gray,23,0.0045103344303996,0.0003644288842482,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/gray/plots/compare_cdf_pdf_layer_23.jpg
19,3196800.0,agriVision,full,fourier,,gray,26,0.0051071475485042,0.0002401951053511,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/gray/plots/compare_cdf_pdf_layer_26.jpg
20,7370100.0,agriVision,full,fourier,,gray,29,0.0084054501082635,0.0001581934199511,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/gray/plots/compare_cdf_pdf_layer_29.jpg
21,5963400.0,agriVision,full,fourier,,gray,32,0.0104945723924541,0.0001758642001808,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/gray/plots/compare_cdf_pdf_layer_32.jpg
22,4500.0,agriVision,full,fourier,,green,2,0.0081171700772693,0.0063984224173442,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/green/plots/compare_cdf_pdf_layer_2.jpg
23,11700.0,agriVision,full,fourier,,green,5,0.0055914141140801,0.0039690102483117,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/green/plots/compare_cdf_pdf_layer_5.jpg
24,18900.0,agriVision,full,fourier,,green,8,0.0051440190667091,0.0031230403979095,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/green/plots/compare_cdf_pdf_layer_8.jpg
25,49500.0,agriVision,full,fourier,,green,11,0.003509800233569,0.0019299803152697,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/green/plots/compare_cdf_pdf_layer_11.jpg
26,113400.0,agriVision,full,fourier,,green,14,0.00242405125106,0.0012751894232635,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/green/plots/compare_cdf_pdf_layer_14.jpg
27,257400.0,agriVision,full,fourier,,green,17,0.0020408949448707,0.0008464353782179,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/green/plots/compare_cdf_pdf_layer_17.jpg
28,596700.0,agriVision,full,fourier,,green,20,0.0033613042945208,0.0005559445407404,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/green/plots/compare_cdf_pdf_layer_20.jpg
29,1388700.0,agriVision,full,fourier,,green,23,0.0043591389864826,0.0003644288842482,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/green/plots/compare_cdf_pdf_layer_23.jpg
30,3196800.0,agriVision,full,fourier,,green,26,0.005546004843428,0.0002401951053511,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/green/plots/compare_cdf_pdf_layer_26.jpg
31,7370100.0,agriVision,full,fourier,,green,29,0.0086914446813921,0.0001581934199511,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/green/plots/compare_cdf_pdf_layer_29.jpg
32,5963400.0,agriVision,full,fourier,,green,32,0.0102615454844775,0.0001758642001808,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/green/plots/compare_cdf_pdf_layer_32.jpg
33,4500.0,agriVision,full,fourier,,red,2,0.0057471388010437,0.0063984224173442,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/red/plots/compare_cdf_pdf_layer_2.jpg
34,11700.0,agriVision,full,fourier,,red,5,0.0051082310707424,0.0039690102483117,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/red/plots/compare_cdf_pdf_layer_5.jpg
35,18900.0,agriVision,full,fourier,,red,8,0.0041589093668933,0.0031230403979095,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/red/plots/compare_cdf_pdf_layer_8.jpg
36,49500.0,agriVision,full,fourier,,red,11,0.0035991142652927,0.0019299803152697,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/red/plots/compare_cdf_pdf_layer_11.jpg
37,113400.0,agriVision,full,fourier,,red,14,0.0029842795191428,0.0012751894232635,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/red/plots/compare_cdf_pdf_layer_14.jpg
38,257400.0,agriVision,full,fourier,,red,17,0.002641596489521,0.0008464353782179,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/red/plots/compare_cdf_pdf_layer_17.jpg
39,596700.0,agriVision,full,fourier,,red,20,0.0024920617604859,0.0005559445407404,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/red/plots/compare_cdf_pdf_layer_20.jpg
40,1388700.0,agriVision,full,fourier,,red,23,0.0043361039018986,0.0003644288842482,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/red/plots/compare_cdf_pdf_layer_23.jpg
41,3196800.0,agriVision,full,fourier,,red,26,0.0045084835287648,0.0002401951053511,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/red/plots/compare_cdf_pdf_layer_26.jpg
42,7370100.0,agriVision,full,fourier,,red,29,0.0064292344524385,0.0001581934199511,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/red/plots/compare_cdf_pdf_layer_29.jpg
43,5963400.0,agriVision,full,fourier,,red,32,0.0078148446869757,0.0001758642001808,0,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/red/plots/compare_cdf_pdf_layer_32.jpg
44,450.0,agriVision,full,wavelet,diagonal,blue,2,0.0142164965286767,0.0202079151392637,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/blue/plots/compare_cdf_pdf_layer_2.jpg
45,1800.0,agriVision,full,wavelet,diagonal,blue,3,0.0096797774945165,0.0101133618897076,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/blue/plots/compare_cdf_pdf_layer_3.jpg
46,7200.0,agriVision,full,wavelet,diagonal,blue,4,0.00722234079764,0.0050590139217133,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/blue/plots/compare_cdf_pdf_layer_4.jpg
47,28800.0,agriVision,full,wavelet,diagonal,blue,5,0.0041717558324378,0.0025300879366481,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/blue/plots/compare_cdf_pdf_layer_5.jpg
48,115200.0,agriVision,full,wavelet,diagonal,blue,6,0.0025137019173719,0.0012651889283752,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/blue/plots/compare_cdf_pdf_layer_6.jpg
49,460800.0,agriVision,full,wavelet,diagonal,blue,7,0.0017580548526531,0.0006326306686923,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/blue/plots/compare_cdf_pdf_layer_7.jpg
50,1843200.0,agriVision,full,wavelet,diagonal,blue,8,0.0017748401176227,0.0003163243810321,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/blue/plots/compare_cdf_pdf_layer_8.jpg
51,7372800.0,agriVision,full,wavelet,diagonal,blue,9,0.0034785864249913,0.0001581644516325,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/blue/plots/compare_cdf_pdf_layer_9.jpg
52,29491200.0,agriVision,full,wavelet,diagonal,blue,10,0.0069634633297143,7.908279102599134e-05,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/blue/plots/compare_cdf_pdf_layer_10.jpg
53,450.0,agriVision,full,wavelet,diagonal,gray,2,0.0126646989550572,0.0202079151392637,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/gray/plots/compare_cdf_pdf_layer_2.jpg
54,1800.0,agriVision,full,wavelet,diagonal,gray,3,0.0102191233637711,0.0101133618897076,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/gray/plots/compare_cdf_pdf_layer_3.jpg
55,7200.0,agriVision,full,wavelet,diagonal,gray,4,0.0082152871275299,0.0050590139217133,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/gray/plots/compare_cdf_pdf_layer_4.jpg
56,28800.0,agriVision,full,wavelet,diagonal,gray,5,0.0050874478159157,0.0025300879366481,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/gray/plots/compare_cdf_pdf_layer_5.jpg
57,115200.0,agriVision,full,wavelet,diagonal,gray,6,0.0030714816507483,0.0012651889283752,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/gray/plots/compare_cdf_pdf_layer_6.jpg
58,460800.0,agriVision,full,wavelet,diagonal,gray,7,0.0020434357512077,0.0006326306686923,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/gray/plots/compare_cdf_pdf_layer_7.jpg
59,1843200.0,agriVision,full,wavelet,diagonal,gray,8,0.0028484778208474,0.0003163243810321,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/gray/plots/compare_cdf_pdf_layer_8.jpg
60,7372800.0,agriVision,full,wavelet,diagonal,gray,9,0.0048698840120602,0.0001581644516325,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/gray/plots/compare_cdf_pdf_layer_9.jpg
61,29491200.0,agriVision,full,wavelet,diagonal,gray,10,0.007059118263495,7.908279102599134e-05,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/gray/plots/compare_cdf_pdf_layer_10.jpg
62,450.0,agriVision,full,wavelet,diagonal,green,2,0.0111111952601167,0.0202079151392637,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/green/plots/compare_cdf_pdf_layer_2.jpg
63,1800.0,agriVision,full,wavelet,diagonal,green,3,0.0075102265172564,0.0101133618897076,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/green/plots/compare_cdf_pdf_layer_3.jpg
64,7200.0,agriVision,full,wavelet,diagonal,green,4,0.0075824421200768,0.0050590139217133,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/green/plots/compare_cdf_pdf_layer_4.jpg
65,28800.0,agriVision,full,wavelet,diagonal,green,5,0.0045966165113153,0.0025300879366481,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/green/plots/compare_cdf_pdf_layer_5.jpg
66,115200.0,agriVision,full,wavelet,diagonal,green,6,0.0023595302435694,0.0012651889283752,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/green/plots/compare_cdf_pdf_layer_6.jpg
67,460800.0,agriVision,full,wavelet,diagonal,green,7,0.001806558261976,0.0006326306686923,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/green/plots/compare_cdf_pdf_layer_7.jpg
68,1843200.0,agriVision,full,wavelet,diagonal,green,8,0.003111038708885,0.0003163243810321,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/green/plots/compare_cdf_pdf_layer_8.jpg
69,7372800.0,agriVision,full,wavelet,diagonal,green,9,0.0049524173498398,0.0001581644516325,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/green/plots/compare_cdf_pdf_layer_9.jpg
70,29491200.0,agriVision,full,wavelet,diagonal,green,10,0.0074005442666951,7.908279102599134e-05,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/green/plots/compare_cdf_pdf_layer_10.jpg
71,450.0,agriVision,full,wavelet,diagonal,red,2,0.0179278016051643,0.0202079151392637,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/red/plots/compare_cdf_pdf_layer_2.jpg
72,1800.0,agriVision,full,wavelet,diagonal,red,3,0.0107741941739824,0.0101133618897076,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/red/plots/compare_cdf_pdf_layer_3.jpg
73,7200.0,agriVision,full,wavelet,diagonal,red,4,0.005128083336856,0.0050590139217133,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/red/plots/compare_cdf_pdf_layer_4.jpg
74,28800.0,agriVision,full,wavelet,diagonal,red,5,0.0032183468440164,0.0025300879366481,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/red/plots/compare_cdf_pdf_layer_5.jpg
75,115200.0,agriVision,full,wavelet,diagonal,red,6,0.0022973614117803,0.0012651889283752,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/red/plots/compare_cdf_pdf_layer_6.jpg
