layer,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_plus100,best_augmented_var,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50
2,20586.305,20586.305,19327.348,18633.12,18071.654,17581.865,16734.598,16020.081,15399.476,14845.157,14336.459,13035.785,0.0139933950453697,0.014089196604779,0.0141741904568765,,,0.013854550368949892,17581.865,0.014039514711544965,0.013969208196544125,0.01411750456667299,0.013993395045369672,,
3,5586.0537,5586.0537,5321.499,5194.3184,5091.3345,5001.9507,4847.8555,4717.4033,4602.027,4497.1523,4401.3306,4152.5874,0.1329799999999997,0.1329799999999997,0.1329799999999997,,,0.1329799999999997,,0.1329799999999997,0.1329799999999997,0.1329799999999997,0.1329799999999997,,
4,1803.6277,1803.6277,1735.3362,1696.4188,1664.5222,1636.697,1588.4972,1546.7727,1509.8158,1476.34,1445.3737,1364.6963,0.0777599999999997,0.0777599999999997,0.0777599999999997,,,0.07775999999999972,,0.07775999999999972,0.07775999999999972,0.07775999999999972,0.07775999999999972,,
5,518.53485,518.53485,499.05432,487.94928,478.6791,470.54117,456.4674,444.31573,433.50027,423.715,414.71878,391.18143,0.0429899999999997,0.0429899999999997,0.0429899999999997,,,0.042989999999999695,470.54117,0.042989999999999695,0.042989999999999695,0.042989999999999695,0.042989999999999695,,
6,123.44854,123.44854,118.56398,115.73679,113.42131,111.401886,107.93741,104.98078,102.35436,99.9741,97.789276,92.08586,0.0134693136114129,0.0139662055720176,0.0135031347548568,,,0.012067556738800667,123.44854,0.012300982498347546,0.011974180231632214,0.012438839588281403,0.01098178227784824,,
7,26.475042,26.475042,25.031528,24.278843,23.676111,23.159885,22.285866,21.547445,20.900084,20.3193,19.789978,18.426332,0.012878795454322,0.0132580025889775,0.012729853451409,0.0128642660720873,,0.01147748296353912,26.475042,0.011489954774835276,0.011010296476118953,0.011226530615790153,0.011924639975127937,0.012092449017721496,0.010997689523173149
8,5.5666294,5.5666294,5.114072,4.913289,4.7570114,4.6257825,4.408626,4.2294025,4.0750313,3.93855,3.8158414,3.5061207,0.0145398172977526,0.0111223643130741,0.0105031382234382,0.0122099171044122,0.0137020726300657,0.011465002508397326,5.114072,0.011478575432571803,0.0116578066536549,0.011110798800269772,0.010503138223438235,0.009788737838775763,0.010694355770204944
9,1.0223536,1.0223536,0.90571374,0.86508065,0.83450705,0.80930984,0.7683493,0.7351634,0.7069535,0.68226326,0.66024005,0.60531026,0.0079839895233849,0.008378506661171,0.0073862131727145,0.0076741066611686,,0.00903680511946138,0.83450705,0.008429933278133739,0.0078565560578127,0.007172334726527285,0.007386213172714581,0.007427019957551961,0.007700392440743609
