filter_idx,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group
0,20397.29307574245,16194.46078289561,25216.805886893628,5.099620618840751,2.251900209358107,14.377172156615313,175584000.0,"(2.0, 0.5, 0.044)"
1,10009.518727581824,7561.88558316028,13399.174065369825,9.384008539225647,4.8545356018063845,19.2314607865169,175584000.0,"(2.0, 0.5, 0.065)"
2,4311.303903065232,3105.1995542700843,5915.609774727455,13.84117014439876,7.894160497326395,20.828525587233777,175584000.0,"(2.0, 0.5, 0.096)"
3,1111.4661897106212,781.8647606354463,1530.494685560254,15.98293852439917,8.77334513975149,38.61608957041371,175584000.0,"(2.0, 0.5, 0.141)"
4,214.96287357514157,143.80008483245012,358.379769692045,26.067423363128444,8.71606541970856,167.25400512237454,175584000.0,"(2.0, 0.5, 0.208)"
5,37.560993030379954,23.901391889707345,74.30451483036504,50.140194177047086,7.410489703443362,280.5945499039238,175584000.0,"(2.0, 0.5, 0.306)"
6,18.268164782351413,12.117597847139917,45.24002925533128,65.01906436467539,7.325680294523392,359.8511197220137,175584000.0,"(2.0, 0.5, 0.45)"
7,23523.07046830095,19219.613050886397,29913.91288466533,5.302529550380589,1.4964854990202257,22.8078848061782,175584000.0,"(2.0, 1.0, 0.044)"
8,11778.21347390997,8638.387784000148,15732.721146650307,10.972392660576508,4.461307760911784,31.813787034954405,175584000.0,"(2.0, 1.0, 0.065)"
9,5777.386080434321,4076.8810886136093,7940.351955316487,16.551845906382304,7.925149058659885,33.37110735116396,175584000.0,"(2.0, 1.0, 0.096)"
10,1933.739004133301,1379.6276141271385,2729.663789191449,16.302575448061262,8.38533294504346,39.31619059596027,175584000.0,"(2.0, 1.0, 0.141)"
11,408.89728650662875,275.15873539323036,644.4162988477319,21.716964977908745,7.878013353482979,141.01545593031216,175584000.0,"(2.0, 1.0, 0.208)"
12,75.19876491087363,49.37105184005399,151.78572647860898,44.91280205522705,7.746455232182365,274.90566554412214,175584000.0,"(2.0, 1.0, 0.306)"
13,21.190641322002485,14.222567595012277,46.82487554289875,61.329390914745105,7.6940408591369325,329.76662518414076,175584000.0,"(2.0, 1.0, 0.45)"
14,13325.104676151399,11199.449611329354,17765.168050301396,5.1518904024851455,0.9490348957943576,55.16373965506429,175584000.0,"(3.0, 0.5, 0.044)"
15,5357.655995513631,3926.9056448365036,7378.45185571681,13.126467875475058,3.1827826160945576,51.91895519278179,175584000.0,"(3.0, 0.5, 0.065)"
16,2237.1869157116603,1458.3317069089658,3267.8348591049607,23.5135731433553,8.447394450606032,51.026784515996425,175584000.0,"(3.0, 0.5, 0.096)"
17,587.8741348221342,381.360492164103,944.5077564924236,31.16607723178391,11.759362902016969,158.69711472164488,175584000.0,"(3.0, 0.5, 0.141)"
18,100.79761009539358,56.600010296907364,311.4605143783787,138.38069723995523,11.24727731073385,507.0069577706795,175584000.0,"(3.0, 0.5, 0.208)"
19,22.628721817234755,13.459613231129481,75.33302609723974,180.32757560204897,10.534722549245084,559.8079543363168,175584000.0,"(3.0, 0.5, 0.306)"
20,10.461368774306157,7.274800847566897,19.31258699493374,29.313108450820117,7.7908942042060225,214.16867746165065,175584000.0,"(3.0, 0.5, 0.45)"
21,15169.662213173779,12584.443295765266,22825.80854720398,7.078735965131967,1.2026016599240652,111.52552067175846,175584000.0,"(3.0, 1.0, 0.044)"
22,5358.878957130176,4111.625443859197,7718.153930541318,13.168330581000856,1.9993627667924816,92.52148385813483,175584000.0,"(3.0, 1.0, 0.065)"
23,2243.6882368465376,1447.8964501568287,3759.264205368518,35.862711752773585,7.296723294076705,121.35250202493823,175584000.0,"(3.0, 1.0, 0.096)"
24,702.5133333716501,421.31023739875116,1238.8054284184582,37.87389331520206,12.193008671345618,185.96708560902576,175584000.0,"(3.0, 1.0, 0.141)"
25,144.57708333223246,82.36028504363291,527.6889044673733,181.8035851393387,12.408538486045591,531.8804697266331,175584000.0,"(3.0, 1.0, 0.208)"
26,30.559141326553718,16.70658053150564,120.95177232348944,277.19342742475305,11.08630326719143,614.4784496933388,175584000.0,"(3.0, 1.0, 0.306)"
27,11.125373141423557,7.009402416682865,20.1183705671997,41.3575261638332,10.502303453772363,226.40389204907825,175584000.0,"(3.0, 1.0, 0.45)"
28,12346.749687557667,10324.719781436186,16394.570402729336,4.653079988244114,0.8662179480439374,62.263805348559096,175584000.0,"(4.0, 0.5, 0.044)"
29,3646.607219359716,2872.4159454229307,5531.3072601283,12.366948557176288,1.6161727311522824,101.20024091592717,175584000.0,"(4.0, 0.5, 0.065)"
30,1174.457662740153,776.2553859772357,1753.6484787654647,26.70660751017747,6.043663461440231,109.87651746898449,175584000.0,"(4.0, 0.5, 0.096)"
31,310.954963271701,190.0503804451041,790.4491650349897,70.04162226157574,10.571150532350469,375.35133521487484,175584000.0,"(4.0, 0.5, 0.141)"
32,55.4696059263229,26.518272301922263,285.98911340500746,506.99796235784044,11.935947711003227,746.1025897077471,175584000.0,"(4.0, 0.5, 0.208)"
33,16.806047178276163,8.886698628523003,67.14540242093342,314.1574222393619,10.556200346115148,645.5258741154635,175584000.0,"(4.0, 0.5, 0.306)"
34,9.1422354380106,6.325973021352997,13.29529808756567,18.790355550295768,7.871221288256387,110.53510343319526,175584000.0,"(4.0, 0.5, 0.45)"
35,12931.182079813405,10776.55731523451,17794.816017661313,4.8214811614753454,1.2052806458327854,60.603053847485505,175584000.0,"(4.0, 1.0, 0.044)"
