band,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,best_scale,kstest_stat_best,n_pval_0.05
2,31800.0,0.21,8.6,0.0034555394635121,0.212,8.5,0.0017667214725521606,0.0034492496272997553,160987
5,41340.0,0.45,3.8,0.0025812379349425,0.456,3.73,378.423139381874,0.0025790467553511442,264873
8,66780.0,0.13,17.0,0.0032486328679561,0.131,16.9,1.6497054651928257e-12,0.003219867060281545,169036
11,104940.0,0.12,18.0,0.0016898648266668,0.121,17.9,1.3813304117067132e-14,0.0016598349577322535,672372
14,162180.0,0.5,3.3,0.0026049593461986,0.504,3.26,159.79707762768223,0.002598825995250742,273678
17,257580.0,0.31,5.5,0.0007792050214915,0.312,5.44,0.3504194718330948,0.000763504545107041,3300744
20,381600.0,0.37,4.3,0.0008110924423816,0.364,4.39,1.7674864282363787,0.0008023593120993766,2897775
23,610560.0,0.4,3.6,0.0014932553770489,0.408,3.5,3.749884992382977,0.001487221941683714,869332
26,973080.0,0.11,14.0,0.0020968485204664,0.102,14.7,1.6323925991931792e-19,0.0019698149796360115,486540
29,1376940.0,0.1,9.6,0.0070422350500764,0.099,9.64,3.2646795329519137e-19,0.006984550666783371,36304
32,419760.0,0.28,7.2,0.0013801910593134,0.278,7.27,7.696692182053616e-05,0.0013762139572077725,944460
