band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,initial_scale,kstest_stat_initial,kstest_stat_cutoff_0.05,best_r_eta0,best_scale_eta0,kstest_stat_eta0
2,166042.38,157998.03,174433.44,1.6213522,1.1836832,2.1597786,31800.0,0.21,8.6,0.0013540007649168,0.0034555394635121,0.0076105772670922,0.88,11.477331248567562,0.010732626048944094
5,88873.2,84620.586,93301.836,1.5568814,1.0348669,2.2470355,41340.0,0.45,3.8,331.7746135473623,0.0025812379349425,0.0066754871311422,1.67,26.450985981436826,0.015474963450478219
8,48739.906,46426.742,51128.37,1.5415745,1.0658181,2.1755729,66780.0,0.13,17.0,1.1151372154766482e-12,0.0032486328679561,0.0052529256547175,6.0,37.32706856292957,0.0282220589289692
11,27771.78,26384.787,29233.973,1.9223003,1.1526672,3.322009,104940.0,0.12,18.0,8.698513079781419e-15,0.0016898648266668,0.0041907897336608,6.0,37.32706856292957,0.08924361587671481
14,15175.327,14446.183,15943.684,1.7057948,1.0837425,3.0058448,162180.0,0.5,3.3,149.12860652515724,0.0026049593461986,0.003371320732074,6.0,37.32706856292957,0.15133227631294088
17,8489.967,8074.9395,8925.657,1.7715883,1.1085786,3.4905186,257580.0,0.31,5.5,0.3130360926372197,0.0007792050214915,0.0026752851133031,6.0,37.32706856292957,0.20552110057124662
20,4270.1167,4059.782,4497.9746,1.9561996,1.1437149,5.900508,381600.0,0.37,4.3,2.1834936712396016,0.0008110924423816,0.0021980660924352,6.0,37.32706856292957,0.2628419678002363
23,2001.448,1901.4484,2108.5007,2.0418558,1.2526941,3.8817518,610560.0,0.4,3.6,2.997886426746596,0.0014932553770489,0.0017377962858799,6.0,37.32706856292957,0.31641782792489215
26,805.73254,756.14014,869.2769,5.0354824,1.8246825,19.982931,973080.0,0.11,14.0,1.8166368949101918e-17,0.0020968485204664,0.0013765848003003,5.9,37.302277353917916,0.3687111795676541
29,254.74072,229.87848,294.46872,20.922686,4.49984,88.63337,1376940.0,0.1,9.6,6.048144653183153e-19,0.0070422350500764,0.0011572531101864,5.8,37.27552698079011,0.4174300053490492
32,21.90403,20.869366,22.97642,1.4744663,0.99268293,2.485555,419760.0,0.28,7.2,8.881771178594774e-05,0.0013801910593134,0.0020957932105484,5.8,37.27552698079011,0.4684253015287636
