band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,initial_scale,kstest_stat_initial,kstest_stat_cutoff_0.05
2,166042.38,157998.03,174433.44,1.6213522,1.1836832,2.1597786,31800.0,0.21,8.6,0.001354000764916869,0.0034555394635121806,0.007610577267092261
5,88873.2,84620.586,93301.836,1.5568814,1.0348669,2.2470355,41340.0,0.45,3.8,331.7746135473623,0.002581237934942582,0.006675487131142218
8,48739.906,46426.742,51128.37,1.5415745,1.0658181,2.1755729,66780.0,0.13,17.0,1.1151372154766482e-12,0.0032486328679561804,0.005252925654717587
11,27771.78,26384.787,29233.973,1.9223003,1.1526672,3.322009,104940.0,0.12,18.0,8.698513079781419e-15,0.001689864826666887,0.004190789733660874
14,15175.327,14446.183,15943.684,1.7057948,1.0837425,3.0058448,162180.0,0.5,3.3,149.12860652515724,0.0026049593461986986,0.0033713207320740964
17,8489.967,8074.9395,8925.657,1.7715883,1.1085786,3.4905186,257580.0,0.31,5.5,0.31303609263721976,0.0007792050214915358,0.0026752851133031844
20,4270.1167,4059.782,4497.9746,1.9561996,1.1437149,5.900508,381600.0,0.37,4.3,2.1834936712396016,0.0008110924423816446,0.0021980660924352594
23,2001.448,1901.4484,2108.5007,2.0418558,1.2526941,3.8817518,610560.0,0.4,3.6,2.9978864267465957,0.0014932553770489743,0.0017377962858799252
26,805.73254,756.14014,869.2769,5.0354824,1.8246825,19.982931,973080.0,0.11,14.0,1.8166368949101915e-17,0.002096848520466467,0.0013765848003003353
29,254.74072,229.87848,294.46872,20.922686,4.49984,88.63337,1376940.0,0.1,9.6,6.048144653183153e-19,0.007042235050076458,0.0011572531101864485
32,21.90403,20.869366,22.97642,1.4744663,0.99268293,2.485555,419760.0,0.28,7.2,8.881771178594774e-05,0.0013801910593134736,0.0020957932105484973
