band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
2,0.0135613644057676,0.0112742500758011,0.0163381109253234,49.80729728267326,26.193739974595267,76.98192532917527,98143.0,0.0024339236883167414,0.4,-0.8,0.0010411256228396954,150.0,0.009385448951060756,0.004333423238797101
3,0.2175205770640384,0.1824848779240337,0.2567081873802987,41.78528468391739,33.18170185868112,52.732330848073126,109280.0,0.015278660110276683,0.1,-0.5,3.7319893867667286e-13,300.0,0.125104228306309,0.004106760475517378
5,2.1249220451479136,1.955511911343512,2.299171639156417,7.918935553501642,6.8973480838079695,9.038366824345257,1082361.0,0.010348184879875114,0.7,-1.2,4.305041328529769,100.0,1.9735412455819625,0.0013052508354941
6,1.602871210655573,1.4749740299576954,1.734340612202348,7.894833139078541,7.00077042579604,8.838911774100712,546741.0,0.011351818894512034,0.6,-1.2,2.624884315926718,0.0,1.602871210655573,0.0018364044600255398
8,0.1532966409829671,0.1333745252792661,0.1764462101346953,27.836279078392952,17.204713293773573,43.155848047393135,3543718.0,0.003857003674649251,0.3,-0.9,0.003820100419207167,0.0,0.15329664098296716,0.0007213954739575031
9,0.0369587427054405,0.0327035577016403,0.0423028190604993,22.68835202714929,11.490170970842115,58.10841212062157,5317129.0,0.0032191795412622737,0.6,-1.1,0.03775592045670979,50.0,0.03319776160960967,0.000588938023627747
11,0.0239655607999226,0.0202281435675149,0.0282144903915679,38.8532577898517,27.268229126698014,60.47774066813356,6737986.0,0.008805588815415544,0.2,-1.0,1.5625137815238924e-05,25.0,0.021994822902732417,0.0005231734829461952
12,0.010845479454738,0.0089200791492316,0.0131925682760897,55.61399601290624,35.37317830054968,103.03691557208916,22189525.0,0.008402250343919258,0.1,-0.5,2.7048023161033636e-14,50.0,0.00906707311861869,0.00028830089801570175
14,0.0006178668955948,0.000498457412363,0.0008022279143963,83.28621457880415,35.82212229917383,273.50031571472977,12493255.0,0.009713676047234832,0.1,-0.3,2.9984456358719407e-16,200.0,0.0003837817976073947,0.00038421863954667574
16,0.0001559463853199,0.0001080275115236,0.0002271319868028,212.92217305074232,92.01720986111488,500.8924354663576,8169581.0,0.010903545308858065,0.1,-0.3,2.4600071601319464e-17,500.0,3.1486512836773735e-05,0.0004751303478651148
