filter_idx,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t
2,31.70499471173972,22.52700444377125,42.142499956919856,12.014942246962518,6.009548991014785,19.644677118490755,491520.0,dual_color,0.0072211835435871,0.1,2.1,2.453148341714112e-15,100.0,28.39899841780179,0.001936799274036,0.0066544135080359,0.09,2.5,4.309653793419216e-18,100.0,43740,3.06425,0.0507808,0.0,2.70679,0.0239947,2.88614e-246,2.15724,0.0225894,2.6073599999999996e-218
3,7.481200376254051,5.566471878744717,10.543581073700825,12.409298442000749,4.55699955156629,50.58505068365567,491520.0,single_edge,0.0043655077162423,0.2,0.2,6.138066702308959e-05,0.0,7.481200376254051,0.001936799274036,0.0037759879609364,0.24,-0.1,0.0018663859550022,0.0,122880,1.59242,0.0505019,0.0,1.40181,0.0232372,5.48338e-231,1.1178,0.0229672,1.1652099999999999e-225
4,36.8306249972909,28.769431258339264,47.0116875473712,7.514249184428442,3.901823584737176,11.93801300096635,491520.0,dual_color,0.0055958509198785,0.3,-0.3,0.1630314553869755,0.0,36.8306249972909,0.001936799274036,0.0047255064177695,0.32,-0.4,0.3548936949393356,0.0,87480,3.66593,0.0509975,0.0,3.21665,0.0233082,2.1271899999999996e-232,2.56343,0.0236555,2.30453e-239
5,26.65455508020478,21.11200436514754,32.38945769513299,5.603046991423431,3.0774972801509524,8.929390724425142,491520.0,dual_color,0.0077358538279426,0.5,-0.6,5.088841186597832,50.0,26.65455508020478,0.001936799274036,0.0072350651216492,0.38,-0.4,0.8877284058536131,0.0,34560,3.33978,0.0480552,0.0,2.92449,0.0203396,4.558289999999997e-177,2.36272,0.0236344,6.147389999999999e-239
6,14.452232343989271,11.2448889754256,17.838990627753,6.285979493875871,3.205153527278872,19.23548279806801,491520.0,single_edge,0.0086082351078218,0.3,-0.1,0.0421850475993136,0.0,14.060502032104198,0.001936799274036,0.0082467756353252,0.3,-0.05,0.0372754206691417,25.0,25920,2.48017,0.0475875,0.0,2.16263,0.0199805,6.942259999999997e-171,1.73844,0.0225358,2.8123299999999994e-217
9,4.051778997493767,2.900102388306178,5.885604870528016,19.09718443060316,3.991984471828953,70.7313179254255,491520.0,multi_edge,0.0059292987237582,0.3,-0.4,0.0225785457905243,0.0,4.051778997493767,0.001936799274036,0.003705373602302,0.26,-0.2,0.0033477637512327,0.0,138240,1.181,0.0500659,0.0,1.03546,0.0222591,5.520789999999998e-212,0.835154,0.0231903,4.66553e-230
10,9.32110381071161,7.204218205189612,12.306690701112869,8.19445008944712,3.3176761559297865,28.08011722499271,491520.0,single_edge,0.0059184756102403,0.5,-0.6,1.745674633677642,50.0,9.32110381071161,0.001936799274036,0.0058808973117071,0.4,-0.46,0.4770799230259183,0.0,51840,1.95764,0.0472798,0.0,1.71086,0.0191441,6.529129999999997e-157,1.39995,0.0226456,2.1408999999999998e-219
11,13.38130881658039,10.280961337809412,17.824929174946348,10.238946082670251,4.185528328904315,48.76912458964179,491520.0,single_edge,0.0070342719940586,0.3,-0.3,0.055581999178735,50.0,13.38130881658039,0.001936799274036,0.0064694433424739,0.25,-0.1,0.0055392961860006,0.0,46080,2.1671,0.0519935,0.0,1.90277,0.0247284,1.5637599999999995e-261,1.5144,0.0251171,8.318669999999999e-270
12,9.25049039058488,7.043249318165296,11.724245580837978,8.413574535578611,4.079546897736362,16.975550029673325,491520.0,single_edge,0.0104630750122681,0.3,-0.2,0.0284771113541378,200.0,7.975492394239505,0.001936799274036,0.0101891777124161,0.3,-0.18,0.0273245203644692,200.0,17280,1.79362,0.0515742,0.0,1.56779,0.024186,3.34394e-250,1.25548,0.0271125,
13,11.093932426874234,8.31256734328079,14.787578499260494,11.891808174741165,4.843060161277877,44.152543592759486,491520.0,single_edge,0.0067465298224881,0.3,-0.4,0.0576724466468302,50.0,11.093932426874234,0.001936799274036,0.0059976268871796,0.26,-0.3,0.0117098274729474,0.0,51840,1.87968,0.0538473,0.0,1.64898,0.0261203,9.303429999999998e-292,1.33343,0.0262252,4.203539999999999e-294
16,7.301698428613108,5.661515189639592,9.368644170663108,7.430608471182294,3.460228979838393,17.915383750058197,491520.0,multi_edge,0.0061946815769731,0.2,0.6,2.4712971526471627e-05,0.0,7.078661582428061,0.001936799274036,0.0059929706031359,0.25,0.2,0.0015475293225743,25.0,51840,1.72483,0.0465602,0.0,1.51351,0.0188455,4.556869999999998e-152,1.22194,0.019845,1.3989599999999993e-168
17,21.73798695511777,16.34769118182006,27.89922677904539,7.825621983637655,5.04718987189514,12.257502135522524,491520.0,dual_color,0.0132400827882239,0.2,-0.2,0.0005055397934845,50.0,20.895934429532847,0.001936799274036,0.0120573064723167,0.26,-0.5,0.0380109749839124,50.0,12960,2.30649,0.0653377,0.0,2.02262,0.0394163,0.0,1.57528,0.0397406,0.0
18,7.461864874648031,5.547410310990649,9.78466579841092,9.425084581007292,4.565212805109525,22.744342775685144,491520.0,multi_edge,0.0051429052361751,0.2,0.2,6.122202590587389e-05,0.0,7.461864874648031,0.001936799274036,0.0051429052361751,0.2,0.2,6.122202590587389e-05,0.0,69120,1.59108,0.0513433,0.0,1.39478,0.0236599,1.8779199999999999e-239,1.11539,0.0245317,2.1480899999999996e-257
20,34.50162840846012,26.66056280693932,44.07667957344917,9.260088920179848,5.748908119123094,13.635322811013976,491520.0,dual_color,0.0058261390479839,0.1,2.1,2.843664430481656e-15,50.0,33.63291419268583,0.001936799274036,0.0054773477732152,0.1,2.0,3.735336709438983e-15,25.0,61440,3.31879,0.0491064,0.0,2.93139,0.0226035,1.3934399999999998e-218,2.32908,0.0197873,1.3252099999999994e-167
22,6.999515908392691,5.280538100736197,9.33218099017332,11.840488734068156,4.427564849703007,29.540821109693617,491520.0,multi_edge,0.0051179161791937,0.3,-0.3,0.0287153148722264,50.0,6.999515908392691,0.001936799274036,0.0039790356707849,0.23,0.0,0.0007840352961759,0.0,122880,1.56591,0.0496929,0.0,1.37215,0.0218284,7.089349999999998e-204,1.10587,0.0221845,1.4381799999999996e-210
24,9.685040608029846,6.993579334781532,13.278145809548024,12.951597280078778,4.912910542870475,39.65707824398483,491520.0,single_edge,0.0082993285721227,0.3,-0.5,0.0691623704797004,0.0,9.25150504991625,0.001936799274036,0.0077748076162238,0.3,-0.45,0.0582208579795048,25.0,30720,1.73574,0.0570082,0.0,1.5197,0.0291164,0.0,1.2241,0.0295974,0.0
25,4.203372376357754,2.8975185608924434,6.067895139411966,22.8649889304482,5.868892403510559,69.7744525334239,491520.0,multi_edge,0.0072779351939404,0.1,1.5,1.8220135784133115e-15,0.0,3.7523992027226174,0.001936799274036,0.0072097464521506,0.11,1.4,1.279616080756317e-13,50.0,34560,1.07552,0.0530126,0.0,0.944258,0.0260749,9.563989999999998e-291,0.758922,0.0237456,3.4574599999999995e-241
27,4.911069254992632,3.602245264156035,6.925604338501477,13.969815821573924,4.843329437636399,47.04472102640496,491520.0,multi_edge,0.004751303792826,0.4,-0.6,0.2949933716895278,100.0,4.911069254992632,0.001936799274036,0.0034906301280536,0.25,-0.2,0.0025800889369451,0.0,155520,1.27045,0.0514635,0.0,1.1161,0.0239423,3.41199e-245,0.894881,0.024438,1.9568099999999998e-255
30,8.770793649123624,6.302614815468263,12.22130517511488,13.874847329917884,5.170675138636258,60.59474411567879,491520.0,single_edge,0.0081251117303172,0.3,-0.4,0.0452173364281869,50.0,8.360055049947855,0.001936799274036,0.0078300056999606,0.23,-0.1,0.0011937619297596,25.0,30720,1.64868,0.0554046,0.0,1.44195,0.0280344,0.0,1.14367,0.0294049,0.0
33,7.141403594720392,5.099984891752835,10.554201166481144,22.39897902459103,5.346590820947896,83.01998613134963,491520.0,multi_edge,0.0041132790626374,0.1,1.8,1.3374486281707265e-15,0.0,7.141403594720392,0.001936799274036,0.0041132790626374,0.1,1.8,1.3374486281707265e-15,0.0,103680,1.46355,0.0493677,0.0,1.28869,0.0221657,3.264839999999999e-210,1.03272,0.0212604,2.0033899999999994e-193
38,24.48698352211153,18.3584720276687,32.32501408072353,10.676298017387076,5.780743234831775,17.598957289099964,491520.0,dual_color,0.0074790457516683,0.1,1.9,3.3198399586846205e-15,50.0,24.48698352211153,0.001936799274036,0.0074394773579831,0.09,2.2,8.090916897013622e-18,0.0,34560,2.72402,0.0520744,0.0,2.40056,0.0252439,1.5594799999999997e-272,1.89505,0.0248592,2.656389999999999e-264
41,9.734125789548566,7.198825246335599,15.166677161367032,17.592247246016044,4.821381934856755,88.95838503632932,491520.0,multi_edge,0.0055728282079369,0.1,2.0,1.0810908976750153e-15,0.0,9.734125789548566,0.001936799274036,0.0052451619065027,0.11,1.7,1.5123193183371126e-13,0.0,69120,1.78911,0.0500319,0.0,1.5727,0.022572,5.646329999999999e-218,1.25808,0.0224402,1.9282999999999996e-215
42,29.18981897122805,20.108110078760827,40.01199948962282,15.538260692435596,8.597525012995003,24.986915457638155,491520.0,dual_color,0.0105332483161618,0.1,1.5,1.0256276708277838e-14,200.0,23.19981513831292,0.001936799274036,0.0092808832798425,0.1,1.5,1.0056301087297996e-14,225.0,21870,2.48177,0.054325,0.0,2.21577,0.0294192,0.0,1.73111,0.0247499,5.493909999999999e-262
44,21.247908359658307,16.250065691751715,29.69127884113145,13.113070673078354,5.102112674060731,29.371591114840083,491520.0,dual_color,0.0062964045246724,0.1,2.8,3.26824571369556e-16,100.0,19.20052446977831,0.001936799274036,0.0062061578874019,0.09,3.2,5.723467749635962e-19,75.0,46080,2.75074,0.0447137,0.0,2.42879,0.0178783,6.689769999999997e-137,1.92838,0.0176887,5.068339999999997e-134
47,20.561622665936177,16.39028618576744,25.74247197102669,6.630244871940871,3.809452142426252,10.665425320110428,491520.0,dual_color,0.0099767757693261,0.3,-0.3,0.0873480755551459,50.0,18.866113543829773,0.001936799274036,0.0099221854396647,0.3,-0.25,0.0748699392412625,125.0,19440,2.72485,0.0527013,0.0,2.38864,0.0257798,3.278519999999999e-284,1.88103,0.027225,
48,5.9353717969034685,4.334552164927557,8.328611696530858,14.799285700696595,5.56929014278652,44.82552733912671,491520.0,single_edge,0.0097372749976069,0.1,2.6,1.290072658156938e-16,200.0,4.808880390863577,0.001936799274036,0.0097372749976069,0.1,2.6,1.290072658156938e-16,200.0,19440,1.38307,0.0483393,0.0,1.21904,0.0217452,2.5044399999999994e-202,0.962985,0.0209449,9.724519999999996e-188
49,23.696575665840264,18.352262537257936,30.434731451333185,8.574878159214034,4.28574907728579,19.6406462912818,491520.0,single_edge,0.0061061694670732,0.3,-0.3,0.0994687037380297,50.0,23.696575665840264,0.001936799274036,0.005167210018637,0.3,-0.35,0.117448625100599,0.0,69120,2.91341,0.0507579,0.0,2.55785,0.0231654,1.4514799999999999e-229,2.05233,0.022732,4.532749999999999e-221
