filter_idx,params,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
19,"(3.0, 0.5, 0.306)",321.70187,221.96304,479.5277,24.825539,10.54513,96.986824,65536000.0,"(3.0, 0.5, 0.306)",0.0054854666692647,0.3,-1.0,10.90630465652347,50.0,280.43927001953125,0.0001677585889693,0.0048032741292372,0.31,-1.0,13.295397014768469,75.0,81000,5.81594,0.0766039,0.0,5.06836,0.0513017,0.0,3.89654,0.0509868,0.0,0.0
20,"(3.0, 0.5, 0.45)",159.4351,99.5562,259.3324,31.513683,12.682337,114.41006,65536000.0,"(3.0, 0.5, 0.45)",0.00819433473577,0.2,-0.9,0.0632678985595702,0.0,141.2353515625,0.0001677585889693,0.0076968966578608,0.21,-0.9,0.1052653942320865,50.0,32000,3.28028,0.0854318,0.0,2.87972,0.0602646,0.0,2.20081,0.0589295,0.0,0.0
21,"(3.0, 1.0, 0.044)",51052.195,38748.312,70046.02,11.11703,5.271424,38.193348,65536000.0,"(3.0, 1.0, 0.044)",0.0067552267238815,0.4,-0.9,7540.638348235098,0.0,47893.62890625,0.0001677585889693,0.0052360614238949,0.5,-0.97,21933.33435897142,50.0,64000,112.266,0.0659953,0.0,97.4121,0.0392187,0.0,77.1101,0.0409747,0.0,0.0
22,"(3.0, 1.0, 0.065)",18193.469,12895.415,25358.47,14.231808,6.3186035,56.42935,65536000.0,"(3.0, 1.0, 0.065)",0.0075695270040414,0.3,-0.8,315.52575487598057,0.0,18193.46875,0.0001677585889693,0.0056584213306571,0.34,-0.9,1078.4431765132174,0.0,60750,59.5663,0.0703252,0.0,51.8767,0.0438555,0.0,40.6112,0.0444161,0.0,0.0
23,"(3.0, 1.0, 0.096)",6965.8066,5032.2793,10565.114,20.489113,7.670237,79.2877,65536000.0,"(3.0, 1.0, 0.096)",0.0067575135889437,0.3,-0.9,173.5855443233377,0.0,6965.806640625,0.0001677585889693,0.0057034725522917,0.26,-0.8,34.66846460409635,0.0,54000,33.2665,0.0725143,0.0,29.0592,0.0462288,0.0,22.6386,0.046115,0.0,0.0
24,"(3.0, 1.0, 0.141)",2463.0537,1588.0222,4007.8723,27.97654,8.825868,139.62875,65536000.0,"(3.0, 1.0, 0.141)",0.0068972896934419,0.3,-0.9,51.002893766747825,100.0,2463.0537109375,0.0001677585889693,0.005051487956183,0.21,-0.7,0.7180162454903779,0.0,72000,18.0481,0.0725808,0.0,15.8878,0.0464617,0.0,12.3142,0.0452179,0.0,0.0
25,"(3.0, 1.0, 0.208)",940.5836,598.1563,1565.5133,31.72916,10.993246,105.96643,65536000.0,"(3.0, 1.0, 0.208)",0.0062259584990153,0.2,-0.7,0.1229804720197405,50.0,940.5836181640624,0.0001677585889693,0.0044632466215376,0.16,-0.5,0.001270629322199,0.0,96000,10.3207,0.0714249,0.0,9.12009,0.0458711,0.0,7.00094,0.0441155,0.0,0.0
26,"(3.0, 1.0, 0.306)",383.1721,237.33542,631.6159,41.130527,12.302233,157.77295,65536000.0,"(3.0, 1.0, 0.306)",0.0065977412400357,0.2,-0.8,0.0907352413211787,0.0,301.04962158203125,0.0001677585889693,0.004782542318652,0.25,-0.9,1.5527498307319056,100.0,81000,5.85027,0.0726643,0.0,5.13461,0.0476066,0.0,3.92342,0.046556,0.0,0.0
27,"(3.0, 1.0, 0.45)",166.43944,95.11527,290.55713,46.33122,13.740106,196.43729,65536000.0,"(3.0, 1.0, 0.45)",0.0093553866271924,0.1,-0.2,7.092945322077211e-11,0.0,166.43943786621094,0.0001677585889693,0.0065865048810325,0.15,-0.7,0.0001673240552915,0.0,40500,3.20603,0.0827564,0.0,2.81773,0.0575489,0.0,2.16234,0.0558585,0.0,0.0
28,"(4.0, 0.5, 0.044)",39986.56,31623.79,53196.94,7.5767508,3.4794068,30.90907,65536000.0,"(4.0, 0.5, 0.044)",0.0067304412026437,0.6,-1.0,33953.91361960478,0.0,39986.55859375,0.0001677585889693,0.0047712300714266,0.7,-1.03,51419.27992401834,0.0,81000,110.524,0.0632141,0.0,95.2531,0.0369023,0.0,75.7744,0.0397295,0.0,0.0
29,"(4.0, 0.5, 0.065)",14740.787,10933.211,19194.377,10.0606575,4.8833094,30.737167,65536000.0,"(4.0, 0.5, 0.065)",0.0075161909438793,0.5,-1.0,6944.42236328125,50.0,14740.787109375,0.0001677585889693,0.0055255363820656,0.5,-1.02,7834.176822584504,0.0,64000,58.3537,0.0703398,0.0,50.4638,0.044083,0.0,39.6994,0.0456754,0.0,0.0
30,"(4.0, 0.5, 0.096)",5437.471,3913.6204,7637.0576,16.151087,5.9227643,83.10324,65536000.0,"(4.0, 0.5, 0.096)",0.0068080126675786,0.4,-1.0,1114.300309978783,0.0,5437.471,0.0001677585889693,0.0068080126675786,0.4,-1.0,1114.300309978783,0.0,40500,31.535,0.0740855,0.0,27.3877,0.0479296,0.0,21.3987,0.0485494,0.0,0.0
31,"(4.0, 0.5, 0.141)",1979.101,1368.7692,2943.2603,17.68681,7.2870393,69.25422,65536000.0,"(4.0, 0.5, 0.141)",0.0088565422971391,0.3,-0.9,45.21693588550555,50.0,1979.1009521484375,0.0001677585889693,0.006931556289734,0.3,-0.93,55.479202715807915,0.0,40500,17.0243,0.0761844,0.0,14.9328,0.0500105,0.0,11.5956,0.0491947,0.0,0.0
32,"(4.0, 0.5, 0.208)",751.4492,512.5111,1143.637,22.803314,8.281695,123.6246,65536000.0,"(4.0, 0.5, 0.208)",0.0071297025904582,0.3,-0.9,16.009253619569307,100.0,705.3013916015625,0.0001677585889693,0.0057391861423229,0.28,-0.9,10.153864705128504,25.0,54000,10.0955,0.0724134,0.0,8.88524,0.0467737,0.0,6.83157,0.045569,0.0,0.0
33,"(4.0, 0.5, 0.306)",314.1522,203.16562,510.9675,30.467094,10.196237,154.4439,65536000.0,"(4.0, 0.5, 0.306)",0.0050099740747262,0.3,-1.0,10.487713738253484,50.0,314.1521911621094,0.0001677585889693,0.0044843455510827,0.24,-0.9,1.073464533830824,0.0,96000,5.62652,0.0762536,0.0,4.90606,0.0510303,0.0,3.7676,0.0506713,0.0,0.0
34,"(4.0, 0.5, 0.45)",142.66475,85.758514,243.0867,41.183468,12.841265,167.29707,65536000.0,"(4.0, 0.5, 0.45)",0.0104848001421105,0.2,-0.9,0.0488435563587006,50.0,129.53729248046875,0.0001677585889693,0.0096873512500237,0.17,-0.8,0.0024877468763472,25.0,20250,2.8496,0.0878604,0.0,2.52111,0.06256,0.0,1.93192,0.0602871,0.0,0.0
35,"(4.0, 1.0, 0.044)",45943.43,34135.164,60650.99,12.09618,5.4015245,37.388645,65536000.0,"(4.0, 1.0, 0.044)",0.0060310797392947,0.6,-1.0,36436.5866535299,50.0,45943.4296875,0.0001677585889693,0.0026678339397679,0.4,-0.85,5854.85235266042,0.0,256000,109.824,0.0605807,0.0,95.1541,0.0340118,0.0,75.5097,0.0363031,0.0,0.0
36,"(4.0, 1.0, 0.065)",16675.236,12215.381,25470.191,16.925564,6.6148458,72.45882,65536000.0,"(4.0, 1.0, 0.065)",0.0034090336948562,0.3,-0.8,289.1953482024705,0.0,16675.236,0.0001677585889693,0.0034090336948562,0.3,-0.8,289.1953482024705,0.0,162000,57.6839,0.0663913,0.0,50.1427,0.0399046,0.0,39.4014,0.0410667,0.0,0.0
37,"(4.0, 1.0, 0.096)",6021.716,4047.567,9126.458,24.063675,7.73936,115.74704,65536000.0,"(4.0, 1.0, 0.096)",0.0064109230509243,0.3,-0.9,150.0591205522771,0.0,6021.7158203125,0.0001677585889693,0.0049582977817168,0.26,-0.8,29.96977271159221,0.0,72000,30.3964,0.0714412,0.0,26.467,0.0451818,0.0,20.6838,0.0456519,0.0,0.0
38,"(4.0, 1.0, 0.141)",2283.2947,1483.5393,3628.0127,30.915592,9.917178,147.11781,65536000.0,"(4.0, 1.0, 0.141)",0.0060929418440061,0.2,-0.7,0.3397759937104724,0.0,2283.294677734375,0.0001677585889693,0.0050334946077057,0.2,-0.69,0.3251435858127374,0.0,72000,16.6845,0.0734913,0.0,14.6517,0.0472892,0.0,11.384,0.046357,0.0,0.0
39,"(4.0, 1.0, 0.208)",908.6674,559.4014,1682.3041,45.331863,11.121518,243.57413,65536000.0,"(4.0, 1.0, 0.208)",0.0050435547577757,0.2,-0.7,0.1168644314720517,50.0,908.6674194335938,0.0001677585889693,0.0036309732106267,0.14,-0.4,3.944267411627135e-05,0.0,144000,9.67002,0.0719572,0.0,8.5126,0.0462945,0.0,6.54616,0.0451261,0.0,0.0
40,"(4.0, 1.0, 0.306)",356.08856,200.5241,634.06635,49.267483,14.248818,215.8198,65536000.0,"(4.0, 1.0, 0.306)",0.0031292553795615,0.2,-0.8,0.0713794452075701,50.0,320.5384216308594,0.0001677585889693,0.0028502648448729,0.2,-0.81,0.0797238931416158,25.0,216000,5.34302,0.0753748,0.0,4.66459,0.050112,0.0,3.58291,0.0495717,0.0,0.0
41,"(4.0, 1.0, 0.45)",158.14862,90.173164,327.013,66.95464,15.592508,269.80887,65536000.0,"(4.0, 1.0, 0.45)",0.0081850932451056,0.2,-0.9,0.0456790681869264,100.0,158.14862060546875,0.0001677585889693,0.0064173617830048,0.14,-0.7,3.5143161446993224e-05,0.0,45562,2.78358,0.0867438,0.0,2.45588,0.0616868,0.0,1.87462,0.0597394,0.0,0.0
