filter_idx,obs_var,var_exclude_0,var_exclude_50,var_exclude_100,var_exclude_200,kstest_stat_0,kstest_stat_50,kstest_stat_100,kstest_stat_200,kstest_stat_plus100,best_augmented_var,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
0,45245.527,45245.527,43573.047,42438.496,40590.914,0.0084750293629979,0.0083831885820209,0.0093451536313022,0.0100535750877195,0.007116061296264353,44255.62,0.006529432980897587,0.006469288461539491,0.0064185948605263166,0.005932929934406195,0.005198232297383365,0.005341085454710237,,
1,16159.348,16159.348,15422.288,14945.79,14178.371,0.0074206109247074,0.0080469042429389,0.0084855465693259,0.0081124682806076,0.006762664383660244,16159.348,0.006786389632689294,0.006466055122281267,0.006433859050218094,0.005916269866360957,,,,
2,5922.317,5922.317,5622.4434,5425.003,5111.0938,0.0102105131469928,0.0110759383308873,0.0110947494448788,0.0087383160079014,0.008620221998118405,5258.366,0.008450576611478633,0.00854293492302527,0.008638761969387454,0.00849292439411043,0.008181560370810581,0.007574575230227601,0.007755022257395383,0.008086111697990117
3,2186.1821,2186.1821,2053.1396,1966.8988,1835.3055,0.0062036747077827,0.0074167003437343,0.0092035537834755,0.0099396697351702,0.0073760749227264055,2105.9727,0.007093964329885072,0.006779452526236018,0.006191582094336956,0.006203674707782714,,,,
4,896.74567,896.74567,833.8375,795.3863,736.212,0.00637591046611,0.0074275401743445,0.0087381455632097,0.0080234270398615,0.00619404660028286,896.74567,0.0056473879161402785,0.005592848574686199,0.00528204701063939,0.005281590129525504,,,,
5,319.7792,319.7792,294.96033,279.01505,255.1747,0.0081445274050377,0.0109650366650515,0.0097970007824059,0.0086778353450375,0.008125744038839255,319.7792,0.008124107385893753,0.008124741753953724,0.008125312742877089,0.008124025980158822,,,,
6,201.8078,201.8078,185.68651,175.46838,160.27753,0.009421863686051,0.0099358848677219,0.0121962452197298,0.0120926608393056,0.009419635890945854,185.68651,0.009420041450164396,0.009418642506405783,0.009419159886511652,0.009419921015976773,,,,
7,62793.043,62793.043,60041.023,58237.28,55407.88,0.0027298257859973,0.0051530740271991,0.004672622423077,0.0062514575005055,0.004565389330885794,62793.043,0.004147821067673647,0.0034584535851592824,0.0029698103090397554,0.0024050639909340976,,,,
8,22699.832,22699.832,21534.607,20784.828,19628.338,0.0071080034729453,0.0078106411924414,0.0060867892486823,0.0070769515040901,0.005767332828203742,22699.832,0.005543554684640073,0.005489141748417303,0.005041423254765087,0.004599269717576404,0.004978832711809877,0.0044033523054411855,0.004385514988877681,0.003523286307304932
9,8380.244,8380.244,7868.4546,7552.395,7079.177,0.009020810961648,0.0058466698230214,0.0064168251220604,0.0073453801472652,0.005683717860452964,8380.244,0.005030769338668528,0.005690830519776591,0.005469371477774376,0.00485586405871756,0.004395310702921984,0.003956499552881909,,
10,3242.9932,3242.9932,3017.1343,2880.775,2678.9038,0.0057899935537146,0.0081564407462287,0.0097274789047955,0.0095216854507436,0.005295964659458585,3242.9932,0.0052052287811807235,0.004785987798095276,0.004460475707150399,0.004436725909516492,,,,
11,1197.3448,1197.3448,1101.5615,1045.674,961.31885,0.0042315429799503,0.0063889315674442,0.0048352289180718,0.0078919644631273,0.0048352289180718655,1197.3448,0.004385215829345146,0.003884631654738735,0.004132234362432152,0.0037528086362525886,,,,
12,468.3411,468.3411,423.99335,398.4909,362.0592,0.0083659005443104,0.00826067118677,0.0059108380224865,0.0077485128116395,0.0059001454107285856,440.85883,0.0058989155699070706,0.005898852769855634,0.005898105482745941,0.005898392709843436,0.005897615621569485,0.0058979810843449165,0.005897228639505037,0.005897906839526013
13,220.53648,220.53648,196.16138,182.75339,163.39474,0.0110425495623557,0.0110218068008633,0.0110086394424437,0.0110176947464192,0.010992102913590651,220.53648,0.010992959445046635,0.010993855916548556,0.010989406848431527,0.010990490580646883,0.010988625714843547,0.010989944253707085,0.010988292866908778,0.01098738265605459
14,42997.684,42997.684,41094.066,39875.125,37962.227,0.0071288966024034,0.0071288966024034,0.0071656612176901,0.0073648114758672,0.0062252776767131035,41847.64,0.005617711840597228,0.005944483088112018,0.005421491306286552,0.005680630968881328,,,,
15,15353.167,15353.167,14579.726,14078.338,13292.717,0.0105374607549091,0.0113442956761494,0.0103959652796024,0.0091059735711066,0.008788111201720628,13861.344,0.008565237144170013,0.008478714361971895,0.008738132471407256,0.008786852267686718,0.008248354844964445,0.007924870010474358,0.007338249403764263,0.008110028498457156
16,5436.802,5436.802,5096.322,4885.545,4558.998,0.0093831803970828,0.0071529493423752,0.0080750276125083,0.0109650999006355,0.008361260281631089,5228.1777,0.008208562914128865,0.0075239018973918895,0.0073056714972303816,0.007152949342375203,0.0067837066039661,0.007240778095135458,,
