band,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,best_scale,kstest_stat_best,n_pval_0.05
2,47614.0,0.27,0.5,0.0126163855492756,0.276,0.44,88234.82045657471,0.012399639363918857,11903
5,102030.0,0.28,0.0,0.0123701544875934,0.281,-0.02,97177.18250305587,0.012249335548310203,12753
8,326496.0,0.3,-0.13,0.010892717506481,0.3,-0.132,62978.82538591232,0.010872305820397221,15304
11,904666.0,0.36,-0.3,0.010295503151547,0.362,-0.32,97341.67730263041,0.010058768741520785,17887
14,2727602.0,0.42,-0.5,0.0077384515438339,0.416,-0.5,93703.18271109881,0.007572600553331088,31963
17,8298440.0,0.59,-0.6,0.0040719526599056,0.583,-0.61,100000.0,0.0038352846961992038,129663
20,25140192.0,0.06,6.2,0.003093652653094,0.059,6.29,2.4612687415747822e-32,0.002875304789163216,220957
23,65734528.0,0.07,7.8,0.0020129615321614,0.069,7.89,7.942102656908343e-28,0.001788645143235082,577744
