band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,best_augmented_var,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
2,1177821300.0,1177821300.0,1149743000.0,1129441500.0,1111579400.0,1095236400.0,1065681600.0,1039082500.0,1014660700.0,991938500.0,970578500.0,912841000.0,0.0331800940316678,0.0333435476734812,0.0324302709095775,0.0328253931552884,0.0333717615863699,0.0343798017571495,0.0353162139335327,0.0349592335915918,0.0348438042179959,0.0356456253211545,0.0368881610778998,0.03209325575366373,1177821300.0,0.0323667849799233,0.03184825119258696,0.032375931978186,0.03238325289881028,0.031724315009263204,0.03161453241279644,,
5,2883461000.0,2883461000.0,2847057000.0,2816649500.0,2789155600.0,2763614000.0,2716636400.0,2673666600.0,2633715000.0,2596211500.0,2560731000.0,2463702000.0,0.0272437321484768,0.0271211257495511,0.0269270046153358,0.0276410087208989,0.0282704968702872,0.0277405261315389,0.028903552974485,0.0286901359302838,0.0293968373197801,0.0295955763480978,0.0303645140227916,0.02774052613153899,2816649500.0,0.027821207431886555,0.027628849606828834,0.026959183931527964,0.0266706738829261,0.026841561869709762,0.02672349354124405,,
8,1825075000.0,1825075000.0,1799941000.0,1778196600.0,1758474400.0,1740303600.0,1707400600.0,1677825400.0,1650691200.0,1625469600.0,1601784300.0,1537618300.0,0.0194623246715469,0.0205095499549804,0.0206666308772549,0.0204134831778387,0.0212015931550662,0.0212066624499894,0.0222912608634786,0.022014292002344,0.0230460843344311,0.0229054837578858,0.0241977367578238,0.02006037565925156,1825075000.0,0.020413483177838754,0.020348255089043032,0.019526754075554736,0.01929441076510008,,,,
11,1410021000.0,1410021000.0,1395870700.0,1383401000.0,1371766700.0,1360718300.0,1339932200.0,1320492400.0,1302098200.0,1284568800.0,1267772400.0,1220956200.0,0.0295772204891116,0.0297271290181837,0.0293443937359058,0.0290049809281028,0.0294908722755207,0.0304157488836649,0.0312899552055386,0.0309825739694514,0.0309993400494226,0.0317939989017429,0.0323401198383325,0.03018895651145659,1410021000.0,0.03041574888366498,0.029960749118739874,0.029490872275520733,0.029004980928102886,0.02850586989530396,0.028201481047497423,0.027824398663843897,
14,291033920.0,291033920.0,283457400.0,277462140.0,272167400.0,267339140.0,258669200.0,250956780.0,243949440.0,237496050.0,231498400.0,215616420.0,0.0192794270097716,0.018262825659993,0.0179065311080285,0.0189635719645026,0.0199467386609493,0.0217583278184412,0.0216464610799418,0.0209579286962237,0.0224143624752359,0.0238139234654171,0.0243981165805706,0.019291472501230533,291033920.0,0.019170356275647227,0.01861694888547527,0.017636267988204057,0.017340018665111367,0.017399948419440925,0.016658217600049152,,
18,54242736.0,54242736.0,52431980.0,51262220.0,50292300.0,49443310.0,47982156.0,46731936.0,45626820.0,44630220.0,43718212.0,41342670.0,0.0150553584240237,0.0165731218826544,0.0158915470812479,0.0167741758595696,0.0177243395544917,0.0179321596749407,0.0187448446976698,0.0200632774785926,0.0195000934882848,0.0206242213927191,0.0221452258251824,0.015696056966731417,54242736.0,0.014769465478500998,0.01482477698654898,0.013585962738712834,0.013405363593838635,,,,
21,23821240.0,23821240.0,22589044.0,21824540.0,21209864.0,20685496.0,19807826.0,19082254.0,18459214.0,17909610.0,17414044.0,16150406.0,0.0111239882515931,0.0125000671644331,0.0142628159395652,0.0157515499216296,0.0150697831615538,0.0151184758073138,0.0169651025916919,0.0186479557346186,0.0175987986710118,0.0183403358667644,0.020635417686554,0.01148685187071996,23821240.0,0.010613113910780514,0.010996062977797205,0.00943516855168361,0.008970890460899897,,,,
24,18142666.0,18142666.0,17058064.0,16253665.0,15571742.0,14971637.0,13941291.0,13072219.0,12319200.0,11655042.0,11061760.0,9596549.0,0.0095736312286209,0.0099331619913893,0.0096883100302603,0.0106005002490148,0.0114681122540311,0.0131385884294182,0.0147504131032624,0.0163171431368152,0.0155152094482668,0.0130681857246369,0.0149473076259762,0.01026371051777919,18142666.0,0.009518758174293492,0.008592260726944696,0.008751617415649893,0.008046442803680331,,,,
27,8244824.5,8244824.5,7643638.0,7198944.0,6824755.0,6497817.0,5943327.5,5482128.0,5087690.0,4743864.0,4440229.0,3704378.8,0.0162429156936995,0.0160362726791889,0.0154475500108878,0.0147373227361508,0.0156190892540845,0.0154010471946702,0.015648262214137,0.0169316634712138,0.0167317911501075,0.0163969076779127,0.0141422563346619,0.012266034488269073,4044154.2,0.011937672125153898,0.011983355189499334,0.012029671778241657,0.012079277795255527,0.01212980541692743,0.012182381276701959,0.01183348102993731,0.011885087364757851
31,217505.1,217505.1,190961.17,176400.12,164863.95,155172.97,139381.58,126756.6,116285.83,107403.44,99739.09,81826.74,0.0375526753742621,0.0372730754228325,0.0370994425750671,0.0369497693775737,0.036814518825789,0.0365722872912208,0.0363553410101451,0.0365934559825625,0.0363601850530103,0.036135464253187,0.0355023329468441,0.02926922097150858,72782.26,0.02926922097150858,0.02926922097150858,0.02926922097150858,0.02926922097150858,0.02926922097150858,0.02926922097150858,0.02926922097150858,0.02926922097150858
