band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,best_augmented_var,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
2,685342700.0,685342700.0,653146500.0,629541600.0,609007200.0,590506100.0,557764100.0,529098180.0,503391680.0,480054200.0,458754600.0,404479260.0,0.0129736725924679,0.0119510022329522,0.0126978155354097,0.0133829523581288,0.0140240958036617,0.0135531574227065,0.0146410946847225,0.0156763717498348,0.0152696448769602,0.0162105847804866,0.0176466758645941,0.01284904026030002,0.012261282999208919,0.01174542735857335,629541600.0,0.011080576793340294,0.011951002232952233,0.011384819662848211,,,
5,1721802200.0,1721802200.0,1686649700.0,1657801600.0,1631772400.0,1607767300.0,1564142700.0,1524643500.0,1488280300.0,1454460300.0,1422802700.0,1338065300.0,0.0355620509101484,0.0365633982019283,0.0369767186820823,0.0369767186820823,0.0369045159181539,0.0369767186820823,0.0369767186820823,0.0363784757511502,0.0355150948300668,0.034698192870219,0.0360303618170989,0.034669662234611986,0.034520791519445815,0.03408425988026555,1422802700.0,0.03398775000597548,0.03370682452214657,0.034105776185458236,0.03446980522700627,0.03435195176079127,0.03378857524670478
8,1588726900.0,1588726900.0,1563826000.0,1542134800.0,1522263300.0,1503787300.0,1470007700.0,1439387800.0,1411181800.0,1384940400.0,1360329900.0,1293887700.0,0.0251608877004662,0.0261821121301997,0.0270844975266258,0.0276267503812709,0.0272975372015875,0.0266879615357908,0.027942627680779,0.0292135886645342,0.0287491964429114,0.0285125452126734,0.0302128983996594,0.02601058375731119,0.026046283104215917,0.025584374532678644,1588726900.0,0.025414889551739386,0.02511959043304257,,,,
11,1416652800.0,1416652800.0,1401338500.0,1387424400.0,1374269200.0,1361681900.0,1337878500.0,1315575700.0,1294482600.0,1274409900.0,1255217500.0,1201982600.0,0.0293077257483834,0.0299275290998065,0.030498258015301,0.0305027240723732,0.0301886827830187,0.0295912349916084,0.0304372356100867,0.0313572966178589,0.032249097863797,0.0323989362400314,0.0329600790071092,0.02897166537751586,0.028540076370787537,0.02867158756785243,1416652800.0,0.02845454148847304,0.028259711009305466,,,,
14,412908540.0,412908540.0,404217630.0,396769570.0,389979970.0,383667700.0,372128600.0,361690900.0,352108260.0,343209470.0,334884260.0,312606140.0,0.0198983233390889,0.0195137291342004,0.0204310151337728,0.02128523155067,0.022094613238636,0.0236206897380057,0.0250482222563538,0.0247012364998559,0.0238170479334635,0.0240213589780428,0.027411051375364,0.02117752373988735,0.020665346835186837,0.020238147986190724,412908540.0,0.019902558011973603,0.019513729134200464,0.01900658855854831,,,
18,86651440.0,86651440.0,83964290.0,82041910.0,80406760.0,78954104.0,76421120.0,74233160.0,72288900.0,70529890.0,68918400.0,64741444.0,0.0198803152613322,0.0214477784548949,0.0208165253921094,0.0205481604959076,0.0215612146082891,0.02338929261267,0.0228515877097437,0.0235569993128992,0.0249289855229962,0.025115474088973,0.0272156887942114,0.020122040882020298,0.019549172058389686,0.018429582227881935,86651440.0,0.01794195452974323,0.017552405746912858,,,,
21,33558250.0,33558250.0,32210282.0,31308454.0,30562776.0,29913908.0,28807196.0,27873806.0,27060432.0,26336310.0,25681682.0,24013956.0,0.018565648451581,0.0208328039738293,0.0214735616510814,0.020817136995031,0.0202470220711461,0.0220478432199371,0.0238254307133452,0.0238403048635489,0.0231012491569866,0.0244051605820583,0.0261040808627808,0.0183865860056891,0.01861208364467626,0.018447018908223478,33558250.0,0.01705787468280129,0.015110703435709957,,,,
24,16474387.0,16474387.0,15436296.0,14697531.0,14084056.0,13552396.0,12656024.0,11913508.0,11279723.0,10727427.0,10239060.0,9050581.0,0.007105306637825,0.0094295280219501,0.0117790291218533,0.0138532618254071,0.0157465585503955,0.0168229244731213,0.014795527748194,0.0148650442491001,0.0170267718583294,0.019104461309691,0.0204208300024217,0.010616693926044932,0.00927745987051494,0.0073520518500967,15436296.0,0.00534587760005506,0.005763686417268002,,,,
27,7202204.5,7202204.5,6643767.5,6249489.5,5923882.0,5642984.5,5172590.0,4785922.0,4457948.5,4173921.2,3924144.0,3322468.0,0.0132258741016572,0.0126904684957542,0.0105117903539854,0.0103930204714099,0.0102941019982041,0.0101277504488761,0.0099878180039237,0.0098663653125654,0.0114690534192885,0.014622202753414,0.0140570607196357,0.008816985129986299,0.008676660135927494,0.008699837691225398,4615678.0,0.008724432279600736,0.008750297580111366,0.008605814946556878,0.008631829777370315,0.008659542456723401,0.008688340680273132
31,212352.7,212352.7,186296.4,172123.53,161006.83,151784.72,136940.05,125236.49,115629.66,107525.84,100555.47,84292.29,0.0293875720023481,0.0291067217364218,0.0289336761109376,0.0287860692737552,0.0286545271238515,0.0289430510409441,0.0287002895293609,0.0284747854845691,0.0282621853291654,0.028059754781172,0.0305021169727663,0.021963262396964556,0.021963262396964556,0.021963262396964556,89090.71,0.021963262396964556,0.021963262396964556,0.021963262396964556,0.021963262396964556,0.021963262396964556,0.021963262396964556
