band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,initial_scale,kstest_stat_initial,kstest_stat_cutoff_0.05,best_r_eta0,best_scale_eta0,kstest_stat_eta0,best_r,best_eta,best_scale,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,14.564291,13.887027,15.268839,1.3298607,0.96238965,1.77264,31800.0,0.26,8.0,1.2290135599304449e-05,0.0036042589393695,0.0076105772670922,5.8,0.002690760623385,0.4735411659335679,0.261,7.96,1.336787073991368e-05,0.0036009511812422,0.261,7.96,0.0036009511812422,135831,3.51369,0.0128269,5.65842e-05,3.14265,0.0207025,2.85597e-12,2.5257,0.0222526,4.12853e-14,0.8026566
5,7.6819944,7.3237705,8.055925,1.392025,0.909872,2.123118,41340.0,0.13,19.0,8.117169870095606e-17,0.0022629621171142,0.0066754871311422,5.8,0.002690760623385,0.4800059292463215,0.128,19.4,3.366371605092064e-17,0.0022120895762568,0.128,19.4,0.0022120895762568,397309,2.57347,0.0111477,6.84602e-05,2.27799,0.0204318,2.01339e-15,1.84131,0.0223056,2.6748400000000003e-18,0.9872271
8,4.073018,3.8843184,4.26734,1.3771291,0.96771985,1.9176652,66780.0,1.04,1.2,1.6384445129611025,0.0030087027695941,0.0052529256547175,5.8,0.002690760623385,0.4845830626161361,1.049,1.18,1.679367134255048,0.0030063377920536,1.049,1.18,0.0030063377920536,213934,1.87601,0.0111258,1.31116e-07,1.65772,0.020464,1.0049100000000001e-24,1.33462,0.0217977,5.3916000000000006e-28,0.58108404
11,2.2429276,2.1333718,2.3574595,1.7273335,1.0428352,3.0285838,104940.0,0.17,13.0,8.333794661272171e-12,0.001160795188055,0.0041907897336608,5.8,0.002690760623385,0.4881360340665313,0.176,12.5,3.025343676103033e-11,0.0011571255488004,0.176,12.5,0.0011571255488004,1344745,1.38637,0.0107739,5.21531e-11,1.21857,0.0190895,1.1942700000000002e-33,0.984688,0.0218142,8.23703e-44,0.99894844
14,1.1774055,1.1218545,1.2360055,1.5637116,0.98590016,3.0214248,162180.0,0.35,5.8,0.0001771573147796,0.0032339814724916,0.003371320732074,5.8,0.002690760623385,0.4909376543649342,0.351,5.78,0.0001845501074765,0.0032339559095213,0.351,5.78,0.0032339559095213,182452,1.00284,0.0113467,1.44832e-18,0.890651,0.0201631,1.0476699999999999e-57,0.717145,0.0218136,1.8120399999999998e-67,0.067114214
17,0.63100886,0.6005414,0.662828,1.6528234,1.0620842,3.0633144,257580.0,0.42,3.9,0.0012770888661656,0.0012974091505636,0.0026752851133031,5.8,0.002690760623385,0.4930118604652267,0.417,3.94,0.0011797617562419,0.0012898150347591,0.417,3.94,0.0012898150347591,1100247,0.729572,0.0120765,4.646640000000001e-33,0.645618,0.0183045,2.1283099999999997e-75,0.520072,0.0207154,1.891049999999999e-96,0.78432288
20,0.30141032,0.2864174,0.31791484,2.0606022,1.1709815,6.707925,381600.0,0.23,7.7,2.735782625793655e-08,0.0007548408477542,0.0021980660924352,5.8,0.002690760623385,0.4948461021171548,0.228,7.78,2.201055049754828e-08,0.0007495012552701,0.228,7.78,0.0007495012552701,3259996,0.502478,0.0121157,4.38364e-49,0.442115,0.0175161,3.931639999999997e-102,0.356538,0.0200887,3.3363299999999983e-134,0.98275206
23,0.13488819,0.12792848,0.14241649,2.336577,1.42222,4.876342,610560.0,0.19,8.5,9.569362850366164e-11,0.0015121522655665,0.0017377962858799,5.8,0.002690760623385,0.4962419712282123,0.191,8.44,1.1323720085595515e-10,0.0015042436864588,0.191,8.44,0.0015042436864588,825184,0.330777,0.0135456,9.711379999999994e-98,0.292966,0.0171117,1.0028099999999996e-155,0.236633,0.0193746,1.6136699999999993e-199,0.12603512
26,0.053216,0.04969158,0.05750664,5.787819,2.4792078,17.814651,973080.0,0.13,9.3,6.760444473169935e-17,0.0032877152095208,0.0013765848003003,5.8,0.002690760623385,0.4971061260850661,0.129,9.36,4.681798823103988e-17,0.0032584561441959,0.129,9.36,0.0032584561441959,182452,0.200854,0.0148935,6.410509999999997e-188,0.176969,0.0156557,1.3314899999999996e-207,0.142909,0.0175677,2.673089999999999e-261,2.1186349e-09
29,0.018184604,0.016213004,0.021055924,23.688461,6.6877375,80.94592,1376940.0,0.08,10.0,1.1974598340497457e-29,0.0094532010630677,0.0011572531101864,5.8,0.002690760623385,0.497649197687505,0.079,10.1,4.159236428237906e-30,0.0094248660844625,0.079,10.1,0.0094248660844625,21514,0.108554,0.0156754,2.6231399999999995e-294,0.0954214,0.0155887,4.578339999999999e-291,0.0774955,0.0164653,0.0,1.1490709999999994e-106
32,0.0015811581,0.0015080764,0.0016563542,1.305109,0.8938685,2.0176268,419760.0,0.14,18.0,6.576789414311906e-19,0.0011534226836662,0.0020957932105484,5.8,0.002690760623385,0.4995453038077571,0.134,18.8,7.232753164692169e-20,0.0011039520498423,0.134,18.8,0.0011039520498423,1593775,0.0371644,0.0100388,3.5805700000000002e-37,0.0327172,0.0200704,2.5945799999999986e-147,0.0264277,0.0220919,2.1487299999999987e-178,0.68530943
