band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,initial_scale,kstest_stat_initial,kstest_stat_cutoff_0.05
2,14.564291,13.887027,15.268839,1.3298607,0.96238965,1.77264,31800.0,0.26,8.0,1.2290135599304447e-05,0.0036042589393695534,0.007610577267092261
5,7.6819944,7.3237705,8.055925,1.392025,0.909872,2.123118,41340.0,0.13,19.0,8.117169870095606e-17,0.0022629621171142977,0.006675487131142218
8,4.073018,3.8843184,4.26734,1.3771291,0.96771985,1.9176652,66780.0,1.04,1.2,1.6384445129611025,0.003008702769594196,0.005252925654717587
11,2.2429276,2.1333718,2.3574595,1.7273335,1.0428352,3.0285838,104940.0,0.17,13.0,8.333794661272171e-12,0.001160795188055036,0.004190789733660874
14,1.1774055,1.1218545,1.2360055,1.5637116,0.98590016,3.0214248,162180.0,0.35,5.8,0.0001771573147796416,0.003233981472491654,0.0033713207320740964
17,0.63100886,0.6005414,0.662828,1.6528234,1.0620842,3.0633144,257580.0,0.42,3.9,0.0012770888661656889,0.0012974091505636443,0.0026752851133031844
20,0.30141032,0.2864174,0.31791484,2.0606022,1.1709815,6.707925,381600.0,0.23,7.7,2.735782625793655e-08,0.0007548408477542345,0.002198066092435259
23,0.13488819,0.12792848,0.14241649,2.336577,1.42222,4.876342,610560.0,0.19,8.5,9.569362850366166e-11,0.001512152265566502,0.0017377962858799252
26,0.053216,0.04969158,0.05750664,5.787819,2.4792078,17.814651,973080.0,0.13,9.3,6.760444473169935e-17,0.003287715209520828,0.0013765848003003353
29,0.018184604,0.016213004,0.021055924,23.688461,6.6877375,80.94592,1376940.0,0.08,10.0,1.1974598340497457e-29,0.009453201063067782,0.0011572531101864485
32,0.0015811581,0.0015080764,0.0016563542,1.305109,0.8938685,2.0176268,419760.0,0.14,18.0,6.576789414311906e-19,0.0011534226836662498,0.0020957932105484973
