band,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,best_scale,kstest_stat_best,n_pval_0.05
2,31800.0,0.54,1.8,0.0033631365121993,0.538,1.81,4758.50445416887,0.003356055444899253,160987
5,41340.0,0.19,8.9,0.0021744728737904,0.191,8.84,5.740764468679415e-05,0.0021662190243704194,397309
8,66780.0,0.16,11.0,0.0032627935723594,0.155,11.4,1.515838187466913e-08,0.003262496610835053,169036
11,104940.0,0.18,9.7,0.0016967878255895,0.179,9.78,1.8736150277967174e-06,0.0016777669876130163,672372
14,162180.0,0.35,4.6,0.0025441847457668,0.349,4.62,3.31190261455354,0.002536586462869972,273678
17,257580.0,0.17,10.0,0.0008863783698672,0.164,10.4,2.8987665966942882e-08,0.0008384496329479907,2643573
20,381600.0,0.27,5.7,0.0009719501646495,0.27,5.71,0.01761145900701809,0.0009351583480399217,2173330
23,610560.0,0.19,8.7,0.0010890144776882,0.189,8.76,1.0717637518234432e-06,0.001073358034867855,1545480
26,973080.0,0.12,13.0,0.0017851501276554,0.112,13.8,5.774490857664643e-17,0.0016977292488176143,615775
29,1376940.0,0.11,11.0,0.0046385123850085,0.102,11.9,4.061151940926681e-19,0.0045798218414235675,86058
32,419760.0,0.63,2.2,0.001633614958824,0.632,2.19,2.531163208724747,0.001631183322280516,708345
