band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
2,1179.3898,1097.9713,1266.5854,5.7695923,4.0881534,8.210641,47614.0,0.005172299030336613,3.9,-0.9,2902.359361982718,100.0,1035.7906,0.0062204080553092435
5,437.0224,401.9452,476.60712,8.911059,5.4116354,14.53011,102030.0,0.007780150208108572,2.0,-0.9,903.7763057995182,350.0,351.72287,0.004250109478285763
8,126.23157,115.50593,139.04625,10.603689,5.844242,28.60345,326496.0,0.006045380251155308,1.6,-0.9,248.74044927505795,250.0,104.93446,0.002376287493954915
11,33.334743,30.622417,36.353336,9.182022,5.6235123,17.436111,904666.0,0.005868101051977104,1.7,-0.9,66.53432170838265,300.0,27.350098,0.0014276807376072355
14,10.371416,9.49919,11.419547,10.649118,5.9477906,27.891129,2727602.0,0.00523817773674784,0.8,-0.8,9.62865929430275,100.0,9.361871,0.0008222587962986603
17,2.5487747,2.287402,3.1454275,34.724674,6.520165,200.0735,8298440.0,0.00393439578460808,0.6,-0.6,0.8211434327899965,150.0,2.1728492,0.00047142713729943133
20,0.429869,0.36312225,0.795385,315.7859,6.7074366,1304.6344,25140192.0,0.0019297936930127157,0.1,3.9,8.165636562969572e-19,25.0,0.37870646,0.0002708547073073513
23,0.10037543,0.09115234,0.1280392,39.690784,4.401588,247.71967,65734528.0,0.0018116194015068698,0.1,6.0,9.486053846759789e-21,25.0,0.09504277,0.00016750507336682816
