layer,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500
2,35358.266,35358.266,,,,,,,,,,,0.5,,,,,,,,,,
3,39182.285,39182.285,,,,,,,,,,,0.10233649714818105,,,,,,,,,,
4,8570.7705,8570.7705,2140.9688,610.0473,13.703384,,,,,,,,0.07679390805816366,0.2141060839053155,0.32618454938099506,0.47907063384700826,,,,,,,
5,1760.1243,1760.1243,898.94196,599.8906,400.20547,272.11325,115.340614,37.201042,7.33377,0.28944713,,,0.029745070251426586,0.0587357235664393,0.08564262701157502,0.12839478325319764,0.16645597509853438,0.22892621938807256,0.29297484451335354,0.37074410085354825,0.4548055491125709,,
6,451.53027,451.53027,312.68744,247.33301,204.85301,173.24031,127.14885,95.703064,71.82212,54.551483,41.835342,19.294384,0.02505521693953433,0.025873231176533062,0.029185745950077932,0.03963684059364325,0.04988347753323663,0.06915358984311659,0.08851148850993196,0.10795571358212941,0.12599049979630705,0.14093270767520427,0.1975414308822666
7,81.4864,81.4864,69.086555,61.971302,56.47563,51.775566,44.265682,38.58024,34.233814,30.700369,27.770744,21.076284,0.011295379788563542,0.011509949171629508,0.011234731368529816,0.013626736633154612,0.016276013939037992,0.02184640338976207,0.026552683758089723,0.030729908058316435,0.035445341418310156,0.04071515504112455,0.05678828730507972
8,14.8428955,14.8428955,13.864947,13.146246,12.570609,12.095566,11.320698,10.673699,10.112493,9.627838,9.190672,8.092103,0.009844821298639839,0.011837089422998881,0.013096310677178091,0.013095229072058734,0.010985457516444141,0.011165934328724036,0.012560199085298152,0.013394937508867999,0.014503046184728752,0.015704460577133594,0.019367626452652886
9,2.5742025,2.5742025,2.4852312,2.4156442,2.3566153,2.3056567,2.2175097,2.141411,2.07363,2.0125902,1.9577007,1.8164482,0.008129346892950862,0.009385904269578638,0.010410408295461249,0.011309701468256717,0.011805376329147688,0.010440981969463081,0.009048079697176914,0.01034453998831586,0.011551639724177831,0.012811466275114536,0.013325955524315591
10,0.4004841,0.4004841,0.38357994,0.37251657,0.3634401,0.3555548,0.34219667,0.33081242,0.32077292,0.31174454,0.30352125,0.28228024,0.013215801127499205,0.012097100458580035,0.011636151609067058,0.011803880537640588,0.013127487936654747,0.015277750082775321,0.01364254004967666,0.012742542742342544,0.012958990067300169,0.013186815962030807,0.01386705217869355
