layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
2,1372.283,1206.6862,1549.1652,2.7393374,1.7762325,3.951763,2006.0,0.0110764562257013,0.8,-0.3,756.1457289755385,0.0,1372.282958984375,0.030238176430869766,0.010460482533442228,0.67,-0.1,392.2882090193807,0.0,17131
3,306.62595,287.39026,326.49527,2.9398966,2.4358459,3.4959693,8024.0,0.0135970106158544,1.4,-1.0,793.4523781710733,0.0,306.6259460449219,0.015140345828992074,0.01272913815502652,1.7,-1.03,909.7409862763529,0.0,12036
4,64.093056,59.77165,68.55486,5.1342697,4.2764096,6.1630387,32096.0,0.0209382189380913,5.5,-1.2,221.89221349341375,250.0,47.937428,0.007575426642488798,0.0209382189380913,5.5,-1.2,221.89221349341375,250.0,4012
5,12.861583,11.860967,13.899074,7.5396757,6.28588,9.074041,128384.0,0.0423399999999997,1.4,-1.2,52.44346761490691,0.0,12.861583,0.0037890191408675262,0.0423399999999997,1.4,-1.2,52.44346761490691,0.0,1003
6,2.565435,2.3400364,2.8070223,10.590967,8.536936,13.486422,513536.0,0.0793499999999998,1.1,-1.3,13.638940086788503,0.0,2.565435,0.001894835072058157,0.0793499999999998,1.1,-1.3,13.638940086788503,0.0,280
7,0.5747222,0.5207186,0.6332086,12.501986,9.616921,17.318787,2054144.0,0.1219499999999997,1.1,-1.3,3.055466796119376,0.0,0.5747222,0.0009474987921691133,0.1219499999999997,1.1,-1.3,3.055466796119376,0.0,125
8,0.19737625,0.17936163,0.2166479,11.300205,8.657792,15.557276,8216576.0,0.1640299999999998,0.2,-0.3,6.526992434547052e-06,0.0,0.19737625,0.0004737696952028646,0.1640299999999998,0.2,-0.3,6.526992434547052e-06,0.0,69
9,0.09500594,0.08686452,0.10387101,10.053569,7.2133155,15.665902,32866304.0,0.2070099999999998,0.2,-0.3,3.141730718275222e-06,0.0,0.09500594,0.00023688992051635398,0.2070099999999998,0.2,-0.3,3.141730718275222e-06,0.0,-1
