layer,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,7072,2.9,-0.8,0.0111233144848371,25.0,2.9,-0.8,6639.27113682738,0.0111233144848371,25.0,15102
3,28288,1.6,-1.0,0.0057936765579896,25.0,1.8,-1.02,2348.0314667631574,0.0057011724963590416,0.0,57343
4,113152,1.5,-1.1,0.0039869554487567,100.0,1.53,-1.1,607.3749663932052,0.0036618715058106543,125.0,143208
5,452608,0.7,-1.1,0.0078435912446401,0.0,1.1,-1.16,144.353476735221,0.007073790345159703,50.0,35802
6,1810432,0.8,-1.2,0.0164530033610679,50.0,1.2,-1.23,41.07397014755406,0.01645000000000002,125.0,7072
7,7241728,0.4,-1.1,0.0397399999999998,0.0,0.4,-1.12,0.7575472182953488,0.039739999999999776,100.0,1117
8,28966912,1.1,-1.3,0.0727899999999998,0.0,1.1,-1.3,3.379517638269716,0.0727899999999998,0.0,331
9,115867648,1.1,-1.3,0.1116399999999997,0.0,1.1,-1.3,0.946120778873214,0.1116399999999997,0.0,138
10,463470592,1.1,-1.3,0.1539299999999998,0.0,1.1,-1.3,0.3242789983204324,0.1539299999999998,0.0,75
