filter_idx,obs_var,var_exclude_0,var_exclude_50,var_exclude_100,var_exclude_200,kstest_stat_0,kstest_stat_50,kstest_stat_100,kstest_stat_200,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,best_augmented_var,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50
0,46131.414,46131.414,44595.133,43533.117,41795.83,0.00352684993971,0.0054752032173349,0.0052950159285599,0.0065472748466648,0.0039771462449067485,0.0037751626331537155,0.0036530169337444657,0.003517682858257043,46131.414,0.0028242162384799485,,
1,18139.113,18139.113,17491.91,17048.693,16327.39,0.00408673926881,0.0044535765264379,0.0053716570015198,0.005272157487827,0.004152980644374971,0.00409680387254964,0.0035444217962100066,0.0035758550350290727,18139.113,0.003044471549706218,,
2,7360.4673,7360.4673,7057.924,6858.487,6539.3154,0.0043625328885418,0.0060970832745607,0.0052734479894566,0.0058352803724786,0.004486282294751079,0.004149602342448433,0.004160188528836373,0.003478939188477824,7360.4673,0.0032744936630467736,,
3,3073.3093,3073.3093,2930.675,2838.863,2695.7578,0.0043785937185033,0.0050117535653719,0.006386142426689,0.0069238354648593,0.004876140485364444,0.0043598713278301116,0.004473641055035858,0.003788632559520083,3073.3093,0.0035363405098370326,,
4,1221.242,1221.242,1162.4622,1124.7438,1065.9454,0.0052532669861794,0.0048632398845533,0.0058505217871531,0.0077456867598225,0.005476542614297142,0.005117697600580118,0.004924350043099879,0.004668139040740371,1221.242,0.004863239884553394,0.004259135835100833,0.00363620394744546
5,442.21344,442.21344,417.5932,401.9143,377.91913,0.0044106262524399,0.0043590583501295,0.0059460420917807,0.0066644794083177,0.005543654635963735,0.005070652365247286,0.005263104538509644,0.004836799636692958,442.21344,0.004359058350129508,0.0042604033121338425,0.003631765506149298
6,297.58856,297.58856,280.61783,269.94266,253.51587,0.0031848954159967,0.0046097042629411,0.0049117850776368,0.0058795345247534,0.0041748503975470586,0.004185783582237201,0.003618613166142315,0.0032604677029032247,297.58856,0.0027846556675173995,,
7,60847.473,60847.473,58332.133,56689.0,54098.742,0.0024061133308366,0.0043493395771176,0.004172338086764,0.0051753052485048,0.003589851746107972,0.003210432612153813,0.003165898722000071,0.002590964920024197,60847.473,0.002117799270298107,,
8,24836.66,24836.66,23770.164,23072.77,21981.443,0.0022963896456252,0.0035332733354883,0.0036459506252123,0.0051619292852421,0.0035417617979655105,0.0030825299773947767,0.0029543510243588145,0.002556631484016858,24836.66,0.001963708942083753,,
9,9981.794,9981.794,9499.041,9190.025,8714.323,0.003914838604014,0.0034590541377999,0.0037093620363647,0.0046728501089727,0.0037945296759066306,0.003466974740277358,0.003043290876841631,0.002981530725643111,9981.794,0.0025203155736085447,0.0019912881329238186,0.0015730976466845625
10,4076.9739,4076.9739,3863.1902,3730.873,3530.764,0.002881771274996,0.0047861786546348,0.0054863343517375,0.0054324527818065,0.0034801042473215915,0.0033201370494795324,0.0027534252159832073,0.0030088170407773784,4076.9739,0.0020762545706093927,,
11,1696.9718,1696.9718,1599.2744,1541.6664,1454.2596,0.0029419485958486,0.0033131618396397,0.0048367354959201,0.0049451988909419,0.003571131768776159,0.00352424484053504,0.002938210970015266,0.0028980563845961704,1696.9718,0.0022435909196992163,,
12,641.02893,641.02893,599.0755,574.7376,538.52277,0.0036758902312821,0.0051766239775389,0.0045722860251856,0.0056112737524933,0.004323848003508553,0.0038616071345313405,0.0036669236555595397,0.0031572100274706513,641.02893,0.002637588748635393,,
13,304.68442,304.68442,280.3061,266.87888,247.26578,0.0038007362762793,0.0024255265171446,0.004276151949299,0.0052988314305223,0.003937539982513571,0.0036869106069211677,0.003383706110330731,0.0028432528789232303,304.68442,0.0024255265171446716,0.002393276327225441,0.0014456999812352267
14,43349.26,43349.26,41546.0,40396.176,38565.008,0.0048400724589321,0.0043328692253956,0.0056875902459055,0.0061997671742812,0.004898720043847504,0.0046994649356104645,0.00431816999215448,0.00413324261743564,43349.26,0.0035875941371076303,0.003567591996737618,0.002834157715751573
15,18252.504,18252.504,17409.88,16873.676,16032.11,0.0038701778752654,0.0043856155104073,0.0058423394669773,0.0064642753060107,0.004558252378662808,0.004128664224054446,0.003911871118945698,0.0034042212511220526,18252.504,0.0033177965493183526,,
16,7098.4897,7098.4897,6752.936,6534.2837,6193.749,0.0057714948342569,0.0070145998482229,0.0059732134470213,0.0071185926811314,0.00531744382679971,0.004770844238034942,0.0045435642104840746,0.003991659867728203,7098.4897,0.0036292916823148502,,
17,2903.9312,2903.9312,2747.0017,2651.0496,2502.348,0.0048611729837498,0.0056935784743694,0.0065412507164433,0.00908720296899,0.005595219167787269,0.005148073174412016,0.004786247466052718,0.005296237977039708,2903.9312,0.004608796474703268,,
18,1180.1448,1180.1448,1107.5895,1064.1848,998.90845,0.0061865810005352,0.0053392886879167,0.006388890772993,0.0082223913211499,0.006535449726056464,0.006277131999215868,0.005956759098909026,0.0054546648938301745,1180.1448,0.005339288687916777,0.005137347660144939,0.004306895343632711
19,453.4479,453.4479,421.4834,403.0618,375.2072,0.0046153840826951,0.0044234728188924,0.0058975384520086,0.0074535664608793,0.005704433301624179,0.005572180816266037,0.005028102303109072,0.004883943465528139,453.4479,0.004423472818892493,0.004785119275097949,0.003779608207442664
20,215.15285,215.15285,197.88869,188.03592,173.34486,0.0033739904944268,0.0035787590876025,0.0050691575649225,0.005626030664567,0.003765400654393236,0.003686892625679474,0.003566769924829922,0.0029705015647151153,204.12125,0.0030374997462173647,,
