band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,best_augmented_var,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
2,933623740.0,933623740.0,902094600.0,878427100.0,857704700.0,838940540.0,805613800.0,776303170.0,749901800.0,725738800.0,703365100.0,644432500.0,0.0214959927763106,0.0223882224393153,0.0230784155291256,0.0236986003006695,0.0242729501838239,0.0238110314026027,0.0242214827460848,0.0251194756111892,0.0259702990029546,0.0267819830294125,0.0272953255870883,0.021532547362517973,0.020957861857365145,933623740.0,0.020737614912637925,0.020045535513750212,0.019916503329379054,,,,
5,2286039600.0,2286039600.0,2249812500.0,2219976000.0,2193025500.0,2168054800.0,2122358900.0,2080773000.0,2042255500.0,2006209000.0,1972203500.0,1879920900.0,0.034741367690621,0.0344454213104084,0.0352199058614718,0.0359273082047058,0.0365892261369008,0.0378212314257742,0.0379035824037951,0.0372904045934168,0.0372523701097308,0.0382492581031796,0.0400559635628927,0.03560597826757558,0.035368468496691785,2286039600.0,0.035104572838954406,0.03480441440291193,0.0344454213104084,0.034075358965727554,,,
8,1702450400.0,1702450400.0,1677600500.0,1655861000.0,1635948400.0,1617420800.0,1583464000.0,1552589600.0,1524085600.0,1497488000.0,1472488400.0,1404858600.0,0.0235768932051402,0.0240898339267512,0.0237297497139192,0.0234068434403531,0.0239502263156609,0.0253982198453984,0.0249516423422787,0.0253101693793773,0.0265039430042868,0.0262263945808777,0.027432361059215,0.023870387214765976,0.024149233081572685,1677600500.0,0.024440415927989845,0.023950226315660947,0.02328047474045307,0.02288514292362559,0.02222587364218087,0.02222587364218087,
11,1339574300.0,1339574300.0,1324527200.0,1310978000.0,1298253200.0,1286160400.0,1263458700.0,1242287900.0,1222323300.0,1203350700.0,1185219700.0,1134925800.0,0.0262423397459996,0.0268760590974856,0.0274556206812733,0.0280074795167317,0.0285378297846115,0.0284460581256306,0.0279523240849811,0.0288587752761676,0.0297320401945902,0.0305838926229845,0.0308540422450976,0.02709100330890718,0.026913489720994,1339574300.0,0.02665632463766965,0.02634166398653605,0.025974571891987486,,,,
14,353058050.0,353058050.0,344555970.0,337460770.0,331097660.0,325249250.0,314668640.0,305189120.0,296542560.0,288560930.0,281123360.0,261343650.0,0.0203074742979193,0.0216056156853707,0.0219768730162033,0.0213148497442859,0.0207106964769858,0.0207638428234933,0.0223729265419024,0.0238898071051419,0.0253167721819568,0.0244080200623809,0.026072670979552,0.01977721581156555,0.019423256203600525,353058050.0,0.019093739957172506,0.018091871834826856,0.017885730080015705,,,,
18,69455650.0,69455650.0,67049476.0,65411056.0,64044292.0,62846056.0,60780028.0,59011740.0,57452824.0,56051544.0,54774468.0,51489132.0,0.0169513527532022,0.0172324662680684,0.0186475901506668,0.019496813421256,0.0189581547463458,0.0197534956712397,0.0214222497206134,0.0207401287233444,0.0217743072726763,0.0230624837611176,0.0243700642914519,0.017009751724800348,0.017125979003074193,69455650.0,0.01594131733985585,0.016258689819769467,0.014246118040290703,,,,
21,29347818.0,29347818.0,28048416.0,27199044.0,26501580.0,25898206.0,24875404.0,24016434.0,23270528.0,22608932.0,22012732.0,20491956.0,0.0178223300094,0.0170799358518902,0.0166008787469994,0.0178813068470676,0.0190290702257014,0.021065951146603,0.0204616691950538,0.020465090035478,0.0218767672420569,0.0231960985395477,0.0236094168889812,0.016005176093061735,0.01622845221200886,29347818.0,0.01594970853463866,0.01483326545100827,0.015221086466820855,0.014206706457005072,0.014156152349400264,,
24,11301114.0,11301114.0,10371153.0,9772072.0,9297625.0,8900077.0,8254342.0,7738601.5,7309549.5,6942953.5,6623717.5,5860972.0,0.0091667976776905,0.0066130369940666,0.0089029869443256,0.010960763838609,0.0128513701373609,0.0155189862903731,0.0126123759935042,0.0138128000508575,0.0158032173388892,0.0176928263046376,0.0177235328122864,0.008143274526654753,0.006999845041116337,11301114.0,0.0073021208366945145,0.005635862965547328,0.005645985545223858,0.004835944900521194,,,
27,4068715.5,4068715.5,3565637.8,3260063.0,3028557.5,2840931.0,2547226.2,2322755.8,2142403.0,1992881.0,1866016.1,1575577.2,0.0119807217532987,0.0119807217532987,0.0119807217532987,0.0119807217532987,0.0119807217532987,0.0119807217532987,0.0119807217532987,0.0119807217532987,0.0119807217532987,0.0119807217532987,0.0119281332004771,0.012498117207121351,0.012280404676895618,1706986.4,0.012077916320483106,0.012109582048407175,0.011928133200477142,0.011958357954211851,0.011859784087657838,0.011353291372928787,0.0113809010057625
31,128309.3,128309.3,105221.69,94501.22,86717.66,80575.16,71255.055,64354.445,58941.934,54525.656,50826.25,42509.387,0.032581173343072,0.0324974304894558,0.0321669777823699,0.0318918434979698,0.0316487437769783,0.0337851871792595,0.0342459735575273,0.0340476298688788,0.0338651686214627,0.0336946834432336,0.0332347835511706,0.024912966082222876,0.024273818540143488,67574.89,0.024273818540143488,0.024273818540143488,0.024273818540143488,0.024273818540143488,0.024273818540143488,0.024273818540143488,0.024273818540143488
