filter_idx,obs_var,var_exclude_0,var_exclude_50,var_exclude_100,var_exclude_200,kstest_stat_0,kstest_stat_50,kstest_stat_100,kstest_stat_200,kstest_stat_plus100,best_augmented_var,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
0,38922.664,38922.664,37773.965,36928.4,35466.715,0.0090053742706952,0.0086439620504787,0.0090428276230313,0.0102997497076577,0.006211611540975159,37773.965,0.005702680332022182,0.00569618484363088,0.005491196336989232,0.005212420902658055,0.00521449786144268,0.005216080226727482,,
1,13811.338,13811.338,13315.708,12965.477,12399.891,0.0090544921543662,0.0094072908349725,0.0097275188462142,0.0092915433168689,0.007936328343105703,13811.338,0.008194173252436765,0.007485024841577703,0.007800966401556975,0.007160147460440469,,,,
2,5212.1113,5212.1113,5017.7847,4879.9253,4655.9404,0.0067351525265331,0.0072756772700973,0.0077430943514156,0.0076799557947236,0.005999501994949308,5099.9453,0.006028372935429016,0.006050069239951994,0.005994787684147962,0.006042286391757856,,,,
3,1797.79,1797.79,1710.3678,1647.2574,1548.5208,0.0178162260468816,0.0178156260389042,0.017819506404532,0.017807827655764,0.017788751131207592,1507.5304,0.0177887980747794,0.01778874189386892,0.017788773084493448,0.01778879941488315,0.017788822091812817,0.01778884229796951,0.017788857112370382,0.017788870581355976
4,583.1873,583.1873,551.45404,530.01404,496.72684,0.0099290395996675,0.0104608040867711,0.0112699572981541,0.0107484168193739,0.008989689641611287,551.45404,0.00849680163377775,0.008274169461169989,0.008409789321985328,0.008310189261272138,,,,
5,181.50945,181.50945,167.09756,158.16559,146.44786,0.010095722892134,0.0100950011742069,0.0100897390053221,0.010295448407064,0.010086749706629428,162.24547,0.010086944619186466,0.010087151783271242,0.010087376882341903,0.010086605506839985,0.010086343352283589,0.010086689341603228,0.010086516208123564,0.010091425166494083
6,111.37292,111.37292,102.64712,97.41076,90.353676,0.0050178085819604,0.0049546271481055,0.0055521702975337,0.0064208390688025,0.00577617767234484,111.37292,0.005307642055982664,0.005180429614813242,0.004660419159676965,0.004571065643745431,0.003956128728700714,0.003582699133745537,,
7,52155.28,52155.28,49976.973,48368.13,45655.227,0.0055572569786227,0.0041588972434954,0.0041829902748493,0.0060364114320479,0.0042412287309655,47614.566,0.003919841311058936,0.003922109678103802,0.003924405022801114,0.003924865953722212,0.003924865953722212,0.003924865953722212,,
8,19633.502,19633.502,18795.781,18213.586,17277.875,0.0065959103531436,0.006344502423641,0.0061637636189563,0.0060895765618801,0.006155513775810917,17718.28,0.0060895647193934255,0.006089553448219431,0.006089564877842735,0.006089551040974417,0.006089562529435155,0.006089546918248923,0.006092167881926458,0.006092222982035156
9,7266.4287,7266.4287,6912.5386,6661.397,6288.441,0.014356951044715,0.0143566211913545,0.0143563713277125,0.0143559730037221,0.014355362359494417,6661.397,0.01435531848161642,0.014355336862879042,0.014355357040836514,0.014355310661265552,0.014355261969245026,0.014355288587161452,0.014355241811929376,0.014355196449876984
10,2767.6428,2767.6428,2608.0017,2508.8923,2364.2402,0.0073032692565668,0.0065098515127116,0.0080453994673608,0.0076458676543351,0.006575852654929881,2767.6428,0.006087095735979542,0.0065883250255997505,0.006572571677717132,0.006257834360709369,0.005675402632537185,0.0051230884348164585,,
11,996.8963,996.8963,930.745,892.34283,833.2825,0.0181321640577746,0.018130493312181,0.0181313351022559,0.0181309618672026,0.018130208123004476,892.34283,0.018130207429461087,0.018130195201663202,0.018130281517553914,0.018130259793059433,0.018130313731982484,0.018130336256016122,,
12,305.44904,305.44904,280.28467,268.57742,252.34325,0.0073500715329567,0.0090711589401853,0.0083108138813117,0.0095185683308167,0.007271677392923004,305.44904,0.00687765666347262,0.006583201425292451,0.006203572198653584,0.006148230677991376,,,,
13,83.43419,83.43419,67.756935,60.685406,53.48259,0.0196689789320353,0.0196310243280677,0.0196265500622239,0.0196345467968407,0.019626568276758516,83.43419,0.019626510863746005,0.019626559445391267,0.019626149010754934,0.019625869314245814,0.019625770430777068,0.0196250785402472,0.019623837824532475,0.019623476135412488
14,28972.158,28972.158,27895.6,27077.854,25788.92,0.0023797749806095,0.0027911187834587,0.0042228890299062,0.0049314032732247,0.003412135804666913,28972.158,0.0030591070962996715,0.0027740953721790973,0.0024957763940477162,0.0019403409258615945,,,,
15,11871.661,11871.661,11363.005,10997.242,10419.614,0.011933398776135,0.0119144179749944,0.0118999717892799,0.0118756447526957,0.011861431274561018,10997.242,0.011859819746736444,0.011858081416521782,0.011859767688699951,0.011857774549578703,0.011855668925363383,0.011857625522367188,0.011859853751123528,0.011853584954038099
16,4800.171,4800.171,4554.4775,4391.25,4137.3276,0.0073327619421492,0.0073690615408684,0.0094908355611391,0.0081967401881823,0.007172594388846765,4391.25,0.007185432150056181,0.007189462365360888,0.0071943088044092995,0.007202404123328843,,,,
17,1633.9363,1633.9363,1536.1036,1471.279,1375.387,0.0237207442306049,0.0237188864078422,0.0237175546003258,0.0237342138145704,0.023716406146368885,1578.0184,0.023716409226215096,0.02371642650512601,0.02371646725018106,0.02368326860375425,0.02360574571678331,0.023607618205167213,0.02360443398900247,0.02360729084669877
