filter_idx,obs_var,var_exclude_0,var_exclude_50,var_exclude_100,var_exclude_200,kstest_stat_0,kstest_stat_50,kstest_stat_100,kstest_stat_200,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,best_augmented_var,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
0,66.0275,66.0275,64.04041,62.73269,60.653595,0.0008278203872011,0.0016581191302528,0.0024550727755139,0.0037791562820956,0.002408293349125734,0.002034120015931007,0.0016220851222150875,0.0011755540339543798,0.0006254417920011912,66.0275,,,,
1,26.310843,26.310843,25.487577,24.95247,24.097033,0.0014693451794816,0.0019950784086499,0.0027163029545989,0.0040264202831599,0.00270367617561703,0.002267515750994254,0.001831022569401819,0.0014071404272654187,0.0008164264919700223,26.310843,,,,
2,9.566076,9.566076,9.208061,8.987088,8.6416445,0.0012720441478567,0.00168476679391,0.0025911169284282,0.0040030445350342,0.0024714700396727407,0.002084134972954437,0.0016811427045100302,0.0012368281720654996,0.0006077554708004418,9.566076,,,,
3,3.6542144,3.6542144,3.502801,3.4122245,3.2716758,0.0034402852445747,0.0026001114128662,0.0038370898785279,0.0044277981461573,0.0035969733404180512,0.003443807172040847,0.0032042764711888785,0.002647430073541332,0.002318094277753778,3.6542144,0.00227642662774985,0.001729512283758755,,
4,1.2468936,1.2468936,1.1871328,1.1524197,1.0994649,0.0033265824107509,0.0044193474327392,0.0046784779625594,0.0056844138490947,0.004165949800964963,0.003945652470452865,0.0035189397663656363,0.003297381222660989,0.002860485224983389,1.2468936,,,,
5,0.31195986,0.31195986,0.29283413,0.28273615,0.267807,0.0043551449314889,0.0055280624594713,0.0068893052894168,0.0062371811597288,0.004788869707956556,0.004577440830212498,0.004310719048759529,0.004107140626528616,0.0035604858244857457,0.31195986,,,,
6,0.17440787,0.17440787,0.16302608,0.15728894,0.1488772,0.0043010232402619,0.00577544824615,0.0063578604920796,0.0066244423009662,0.005279620732823731,0.004832370460511659,0.004864498906282988,0.004397938406759061,0.003659602437476317,0.17440787,,,,
7,87.42761,87.42761,84.637634,82.8044,79.92444,0.0006203890942929,0.0015927146882193,0.0023354342748397,0.0035809827303205,0.0026975956845073715,0.002227735600893843,0.0017170812337314878,0.0012313213505387166,0.0005720827620433085,87.42761,,,,
8,35.73371,35.73371,34.54495,33.766556,32.53435,0.0011967571405874,0.0017476243493996,0.0025135174836842,0.0038461318611682,0.002964557345002193,0.0024939858165178297,0.0019873771519561823,0.0014167711345475231,0.0007472313325494195,35.73371,,,,
9,13.965508,13.965508,13.433376,13.10866,12.601343,0.0011229144148607,0.002281720696569,0.0027143496039069,0.0040141085631775,0.002621460460167202,0.002215839272820791,0.001810796139534665,0.00132710154600435,0.0008861910758155567,13.965508,,,,
10,5.132245,5.132245,4.9150367,4.7849298,4.5838675,0.0011157491801483,0.0022783385991848,0.0027181654935823,0.00411704154084,0.0027116672819492704,0.002357845309512413,0.0018838503644290627,0.0015409564186697894,0.0010489858628195473,5.132245,,,,
11,1.8196675,1.8196675,1.730425,1.6788111,1.600154,0.0024344489953984,0.0025000741225029,0.0038084468775074,0.0043977098510048,0.003078780223137151,0.0029438853685185284,0.002398085133108574,0.0022961505913714486,0.0018133404935992414,1.8196675,,,,
12,0.5527461,0.5527461,0.52056086,0.50287634,0.47661152,0.0037866698810108,0.0036061472302092,0.0041988644237685,0.0057333016289252,0.004369746088550508,0.003950168886818317,0.0039071216383330665,0.003474887160082041,0.0033859516839761516,0.5527461,0.0026660892390859003,0.002572214147385732,,
13,0.18217844,0.18217844,0.16878699,0.16208825,0.15249275,0.0038813580780608,0.004103695534813,0.004729814350315,0.0055513717132441,0.00545605877372575,0.005159972377008382,0.004664241677693685,0.003796619088934472,0.00272398017968975,0.18217844,,,,
14,66.36079,66.36079,64.21995,62.833286,60.64377,0.0007930362227554,0.0020475706167083,0.002485391447476,0.0038229776152883,0.002533943479452294,0.002103901819105247,0.001651396426212929,0.0012178283563834824,0.0006461322044268858,66.36079,,,,
15,24.72557,24.72557,23.827362,23.264318,22.381258,0.0014793210612423,0.0017296063121839,0.0024248808162999,0.0037967398901586,0.00242488081629999,0.0020131259707529825,0.0016152863599842963,0.001133138700555477,0.0005885124618755233,24.72557,,,,
16,9.054409,9.054409,8.681177,8.454384,8.103251,0.0013058083041346,0.0028859738983413,0.0030995864785081,0.0044025972347101,0.0026207911579580676,0.0024643402321626318,0.002097588444044618,0.0016874978619892955,0.0013058083041346258,,,,,
17,3.2259433,3.2259433,3.0816023,2.9946668,2.8603463,0.0038101285836593,0.0044262223397929,0.0040314896097072,0.0050986772502483,0.0037010081573812803,0.00345340387081379,0.0030869622402687202,0.0027638815795758553,0.002434707652096413,3.2259433,,,,
18,1.1075789,1.1075789,1.0464836,1.0119047,0.95937663,0.0041537558478413,0.0065845430032944,0.0057104673976934,0.0070311756812684,0.005523745363656851,0.005060543804362425,0.004905312070439483,0.004595523579519756,0.004153755847841334,,,,,
19,0.3052548,0.3052548,0.28533548,0.27434298,0.25799334,0.005867154500973,0.0059161381950337,0.0072473868636557,0.0078335342087052,0.006695126987943278,0.006185345687829136,0.005596414358125697,0.005313547573529531,0.00486808098427708,0.3052548,,,,
20,0.08817584,0.08817584,0.08048833,0.07672804,0.07142182,0.0043466986355317,0.0058337271171384,0.005935564644881,0.0063832981705885,0.0065617442335392795,0.005956366575185279,0.005433911829637039,0.004822694021248929,0.004346698635531776,,,,,
