filter_idx,params,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
25,"(3.0, 1.0, 0.208)",1.0830297,0.8055877,1.6407472,15.311661,4.847357,93.57971,16384000.0,"(3.0, 1.0, 0.208)",0.0024604103529773935,0.2,0.2,8.88588527695117e-06,0.0,1.0830297,0.0003355120903509215
26,"(3.0, 1.0, 0.306)",0.34488,0.24839777,0.5077067,19.486803,5.6518755,106.53867,16384000.0,"(3.0, 1.0, 0.306)",0.00441003400850648,0.1,2.1,2.7058748183394886e-17,50.0,0.313247,0.0003355120903509215
27,"(3.0, 1.0, 0.45)",0.09697406,0.0664871,0.15893608,27.027178,6.126651,160.49196,16384000.0,"(3.0, 1.0, 0.45)",0.004957547070716051,0.1,2.7,1.753068729296716e-18,100.0,0.08128587,0.0003355120903509215
28,"(4.0, 0.5, 0.044)",39.024323,32.28039,48.646004,3.727819,1.5258117,10.387553,16384000.0,"(4.0, 0.5, 0.044)",0.0008366965541102833,0.4,0.7,0.4052860002621849,0.0,39.024323,0.0003355120903509215
29,"(4.0, 0.5, 0.065)",16.513273,13.147481,20.778437,5.956148,2.1518257,25.383379,16384000.0,"(4.0, 0.5, 0.065)",0.0010348408445034485,0.3,0.8,0.011802322230802076,0.0,16.513273,0.0003355120903509215
30,"(4.0, 0.5, 0.096)",6.377927,5.088208,8.069004,6.706234,2.571723,39.09784,16384000.0,"(4.0, 0.5, 0.096)",0.0011840908855822452,0.4,-0.1,0.1766340775684819,0.0,6.377927,0.0003355120903509215
31,"(4.0, 0.5, 0.141)",2.331385,1.7761538,3.244876,8.869164,3.0667255,57.525543,16384000.0,"(4.0, 0.5, 0.141)",0.0020656529736868823,0.5,-0.5,0.36637620131174725,50.0,2.1982572,0.0003355120903509215
32,"(4.0, 0.5, 0.208)",0.82677805,0.624548,1.1267319,12.197852,4.089393,73.74137,16384000.0,"(4.0, 0.5, 0.208)",0.0031627717827563684,0.2,0.4,4.271047624793986e-06,0.0,0.82677805,0.0003355120903509215
33,"(4.0, 0.5, 0.306)",0.27373427,0.20046884,0.39715263,15.370531,4.923204,82.773735,16384000.0,"(4.0, 0.5, 0.306)",0.0037075752725360678,0.1,2.2,1.8505236115461254e-17,0.0,0.27373427,0.0003355120903509215
34,"(4.0, 0.5, 0.45)",0.071296915,0.049834374,0.14108856,36.821304,5.4894505,278.3203,16384000.0,"(4.0, 0.5, 0.45)",0.0036452898280074364,0.1,3.1,5.636438417982673e-19,100.0,0.059823748,0.0003355120903509215
35,"(4.0, 1.0, 0.044)",45.61281,37.313046,55.460876,4.2925735,1.8349894,12.022167,16384000.0,"(4.0, 1.0, 0.044)",0.0006444816570047585,0.3,1.3,0.018225844483591876,0.0,45.61281,0.0003355120903509215
36,"(4.0, 1.0, 0.065)",17.962212,14.5555105,24.371304,6.371621,2.0753462,37.156044,16384000.0,"(4.0, 1.0, 0.065)",0.000715705990685378,0.3,0.8,0.012837903564964575,0.0,17.962212,0.0003355120903509215
37,"(4.0, 1.0, 0.096)",6.4984436,5.1859884,8.233367,6.318163,2.3848984,26.883192,16384000.0,"(4.0, 1.0, 0.096)",0.0017161228500311154,0.5,-0.3,0.7963778925876988,0.0,6.4984436,0.0003355120903509215
38,"(4.0, 1.0, 0.141)",2.5873678,1.9797453,3.737034,12.463106,3.7019928,99.24368,16384000.0,"(4.0, 1.0, 0.141)",0.002065358386500557,0.2,0.7,7.179952750183234e-06,0.0,2.5873678,0.0003355120903509215
39,"(4.0, 1.0, 0.208)",0.95037735,0.72282267,1.3330853,13.081337,4.255026,75.75151,16384000.0,"(4.0, 1.0, 0.208)",0.003167649762268576,0.2,0.4,4.909548435133669e-06,0.0,0.95037735,0.0003355120903509215
40,"(4.0, 1.0, 0.306)",0.30052027,0.21125075,0.45412606,18.520124,5.11882,121.87049,16384000.0,"(4.0, 1.0, 0.306)",0.0038676499996320723,0.1,2.1,2.5959394544956364e-17,0.0,0.30052027,0.0003355120903509215
41,"(4.0, 1.0, 0.45)",0.07947232,0.05534538,0.16505794,40.099052,6.3683615,283.67993,16384000.0,"(4.0, 1.0, 0.45)",0.004701807854396552,0.1,3.3,3.840106006234201e-19,200.0,0.060175437,0.0003355120903509215
