band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,initial_scale,kstest_stat_initial,kstest_stat_cutoff_0.05,best_r_eta0,best_scale_eta0,kstest_stat_eta0,best_r,best_eta,best_scale,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,164622.75,156708.31,172875.03,1.5730996,1.1551127,2.07445,31800.0,0.52,2.6,2790.940565791764,0.0036210925511723,0.0076105772670922,0.89,19.32900155964781,0.0106514648045673,0.525,2.56,3010.844489235777,0.0036070738512861,0.525,2.56,0.0036070738512861,135831,368.614,0.0142825,4.59462e-06,326.037,0.0173155,1.0327e-08,265.128,0.0212819,6.07511e-13,0.80099034
5,89105.41,84883.04,93516.57,1.5012345,1.0109708,2.1425598,41340.0,2.0,0.4,100000.0,0.0030135192693151,0.0066754871311422,1.67,43.52232196052538,0.0156480221489698,1.97,0.38,100000.0,0.0029669218022759,1.97,0.38,0.0029669218022759,209283,275.212,0.0118318,1.86524e-05,243.635,0.0194628,4.92666e-14,197.356,0.0217118,2.3238e-17,0.85886312
8,49459.945,47133.05,51857.87,1.4750681,1.0284976,2.0876257,66780.0,0.74,2.0,5777.599412805147,0.0029809427773314,0.0052529256547175,6.0,61.41777463337415,0.0263202803331525,0.731,2.04,5442.038788713715,0.0029656716033023,0.731,2.04,0.0029656716033023,213934,204.569,0.0117639,1.86302e-08,182.427,0.0203769,1.6163100000000002e-24,147.053,0.0217664,6.46898e-28,0.59859219
11,28516.895,27105.725,29987.748,1.8179421,1.125604,2.9672084,104940.0,0.24,8.6,0.004185921417812,0.0022227849862437,0.0041907897336608,6.0,61.41777463337415,0.0868395770065703,0.24,8.61,0.0041693080122573,0.0022200042447244,0.24,8.61,0.0022200042447244,378207,155.629,0.0114168,2.61004e-12,137.351,0.0194927,4.558230000000001e-35,110.478,0.0213649,4.83729e-42,0.67828728
14,15809.663,15056.35,16603.172,1.633317,1.06396,2.714023,162180.0,0.31,6.3,0.4174376001207055,0.0023674956776088,0.003371320732074,6.0,61.41777463337415,0.1472656709409591,0.314,6.2,0.5177193988046389,0.0023651602912575,0.314,6.2,0.0023651602912575,346372,115.688,0.0115486,3.2329500000000003e-19,102.936,0.0198047,1.0927899999999998e-55,83.1718,0.0217383,5.2511699999999994e-67,0.3239368
17,8928.17,8495.979,9380.361,1.6748462,1.0774019,3.061004,257580.0,0.28,6.5,0.0482598486457576,0.0009509851751412,0.0026752851133031,6.0,61.41777463337415,0.2009947524507962,0.28,6.51,0.0480540173189587,0.0009224692539512,0.28,6.51,0.0009224692539512,2200495,86.9401,0.0119101,3.6327700000000004e-32,76.3775,0.0176186,6.9451e-70,61.6915,0.0204631,3.996039999999998e-94,0.98061951
20,4547.4067,4326.058,4780.4346,1.7790294,1.113188,4.0506554,381600.0,0.4,4.0,5.694754456496058,0.0008522557684143,0.0021980660924352,6.0,61.41777463337415,0.2577152959547019,0.393,4.09,4.640543709694291,0.0008463339761682,0.393,4.09,0.0008463339761682,2610936,61.8336,0.0119724,6.11039e-48,54.4795,0.0175423,1.9501799999999986e-102,43.8128,0.0203035,4.435209999999998e-137,0.94723677
23,2160.4749,2054.5764,2273.1846,1.8601742,1.1629676,3.4032485,610560.0,0.35,4.7,0.5076688624020432,0.00134447558846,0.0017377962858799,6.0,61.41777463337415,0.3114429156762565,0.346,4.77,0.4319216484810211,0.0013439208463289,0.346,4.77,0.0013439208463289,1030320,42.5356,0.0123992,5.785339999999997e-82,37.604,0.0179533,2.231289999999999e-171,30.3013,0.0203484,4.89493e-220,0.21990108
26,900.7158,848.15436,965.5392,4.115283,1.5789286,15.710218,973080.0,0.11,15.0,1.1679836218556209e-17,0.0017285285820874,0.0013765848003003,5.9,61.37698330025889,0.3631336379587569,0.107,15.5,1.9019842297581276e-18,0.0017005384174369,0.107,15.5,0.0017005384174369,615775,26.9973,0.0129191,1.676709999999999e-141,23.8045,0.0172018,1.5185e-250,19.1932,0.0193738,,0.007183601
29,316.848,290.46594,357.9198,14.169542,3.1071591,60.432312,1376940.0,0.1,12.0,1.13770539410187e-19,0.0053280481053992,0.0011572531101864,5.9,61.37698330025889,0.4095048571986276,0.094,12.7,1.4931183614442445e-21,0.0052279211552557,0.094,12.7,0.0052279211552557,64543,15.3828,0.0132657,6.721219999999998e-211,13.5317,0.0169395,0.0,10.9377,0.0188228,0.0,4.088737000000001e-33
32,36.040783,34.37498,37.77347,1.3440132,0.8827634,2.3539827,419760.0,0.38,5.4,0.0156322581718723,0.0013219914029189,0.0020957932105484,5.8,61.33296836816337,0.4613303425248674,0.385,5.31,0.018493635293892,0.0013192208510794,0.385,5.31,0.0013192208510794,1062517,5.58052,0.0107921,6.7952399999999994e-43,4.93339,0.0193475,6.388289999999997e-137,3.98575,0.0219583,3.0087499999999985e-176,0.4578068
