band,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,best_scale,kstest_stat_best,n_pval_0.05
2,31800.0,0.52,2.6,0.0036210925511723,0.525,2.56,3010.8444892357775,0.0036070738512861134,135831
5,41340.0,2.0,0.4,0.0030135192693151,1.97,0.38,100000.0,0.002966921802275979,209283
8,66780.0,0.74,2.0,0.0029809427773314,0.731,2.04,5442.038788713715,0.0029656716033023,213934
11,104940.0,0.24,8.6,0.0022227849862437,0.24,8.61,0.0041693080122573445,0.0022200042447244606,378207
14,162180.0,0.31,6.3,0.0023674956776088,0.314,6.2,0.5177193988046389,0.002365160291257551,346372
17,257580.0,0.28,6.5,0.0009509851751412,0.28,6.51,0.04805401731895871,0.0009224692539512858,2200495
20,381600.0,0.4,4.0,0.0008522557684143,0.393,4.09,4.640543709694291,0.0008463339761682689,2610936
23,610560.0,0.35,4.7,0.00134447558846,0.346,4.77,0.43192164848102116,0.0013439208463289498,1030320
26,973080.0,0.11,15.0,0.0017285285820874,0.107,15.5,1.9019842297581273e-18,0.0017005384174369476,615775
29,1376940.0,0.1,12.0,0.0053280481053992,0.094,12.7,1.4931183614442445e-21,0.0052279211552557145,64543
32,419760.0,0.38,5.4,0.0013219914029189,0.385,5.31,0.018493635293892013,0.0013192208510794945,1062517
