band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,initial_scale,kstest_stat_initial,kstest_stat_cutoff_0.05,best_r_eta0,best_scale_eta0,kstest_stat_eta0,best_r,best_eta,best_scale,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05
2,164622.75,156708.31,172875.03,1.5730996,1.1551127,2.07445,31800.0,0.52,2.6,2790.940565791764,0.0036210925511723,0.0076105772670922,0.89,19.32900155964781,0.0106514648045673,0.525,2.56,3010.8444892357775,0.0036070738512861134,0.525,2.56,0.0036070738512861134,135831
5,89105.41,84883.04,93516.57,1.5012345,1.0109708,2.1425598,41340.0,2.0,0.4,100000.0,0.0030135192693151,0.0066754871311422,1.67,43.52232196052538,0.0156480221489698,1.97,0.38,100000.0,0.002966921802275979,1.97,0.38,0.002966921802275979,209283
8,49459.945,47133.05,51857.87,1.4750681,1.0284976,2.0876257,66780.0,0.74,2.0,5777.599412805147,0.0029809427773314,0.0052529256547175,6.0,61.41777463337415,0.0263202803331525,0.731,2.04,5442.038788713715,0.0029656716033023,0.731,2.04,0.0029656716033023,213934
11,28516.895,27105.725,29987.748,1.8179421,1.125604,2.9672084,104940.0,0.24,8.6,0.004185921417812,0.0022227849862437,0.0041907897336608,6.0,61.41777463337415,0.0868395770065703,0.24,8.61,0.0041693080122573445,0.0022200042447244606,0.24,8.61,0.0022200042447244606,378207
14,15809.663,15056.35,16603.172,1.633317,1.06396,2.714023,162180.0,0.31,6.3,0.4174376001207055,0.0023674956776088,0.003371320732074,6.0,61.41777463337415,0.1472656709409591,0.314,6.2,0.5177193988046389,0.002365160291257551,0.314,6.2,0.002365160291257551,346372
17,8928.17,8495.979,9380.361,1.6748462,1.0774019,3.061004,257580.0,0.28,6.5,0.0482598486457576,0.0009509851751412,0.0026752851133031,6.0,61.41777463337415,0.2009947524507962,0.28,6.51,0.04805401731895871,0.0009224692539512858,0.28,6.51,0.0009224692539512858,2200495
20,4547.4067,4326.058,4780.4346,1.7790294,1.113188,4.0506554,381600.0,0.4,4.0,5.694754456496058,0.0008522557684143,0.0021980660924352,6.0,61.41777463337415,0.2577152959547019,0.393,4.09,4.640543709694291,0.0008463339761682689,0.393,4.09,0.0008463339761682689,2610936
23,2160.4749,2054.5764,2273.1846,1.8601742,1.1629676,3.4032485,610560.0,0.35,4.7,0.5076688624020432,0.00134447558846,0.0017377962858799,6.0,61.41777463337415,0.3114429156762565,0.346,4.77,0.43192164848102116,0.0013439208463289498,0.346,4.77,0.0013439208463289498,1030320
26,900.7158,848.15436,965.5392,4.115283,1.5789286,15.710218,973080.0,0.11,15.0,1.1679836218556209e-17,0.0017285285820874,0.0013765848003003,5.9,61.37698330025889,0.3631336379587569,0.107,15.5,1.9019842297581273e-18,0.0017005384174369476,0.107,15.5,0.0017005384174369476,615775
29,316.848,290.46594,357.9198,14.169542,3.1071591,60.432312,1376940.0,0.1,12.0,1.13770539410187e-19,0.0053280481053992,0.0011572531101864,5.9,61.37698330025889,0.4095048571986276,0.094,12.7,1.4931183614442445e-21,0.0052279211552557145,0.094,12.7,0.0052279211552557145,64543
32,36.040783,34.37498,37.77347,1.3440132,0.8827634,2.3539827,419760.0,0.38,5.4,0.0156322581718723,0.0013219914029189,0.0020957932105484,5.8,61.33296836816337,0.4613303425248674,0.385,5.31,0.018493635293892013,0.0013192208510794945,0.385,5.31,0.0013192208510794945,1062517
