filter_idx,skew,skew_ci_low,skew_ci_high,filter_group,nonskewed
0,0.2,-0.28,0.69,dual_color,1.0
1,0.3,0.25,0.35,misc,0.0
2,0.17,-0.58,0.89,dual_color,1.0
3,-0.08,-1.25,0.97,single_edge,1.0
4,-0.0,-0.38,0.34,dual_color,1.0
5,0.08,-0.17,0.34,dual_color,1.0
6,-0.01,-0.44,0.45,single_edge,1.0
7,-0.12,-0.27,0.03,inside_out,1.0
8,-0.11,-0.7,0.48,misc,1.0
9,0.26,-1.07,1.82,multi_edge,1.0
10,0.03,-0.53,0.79,single_edge,1.0
11,0.0,-0.58,0.54,single_edge,1.0
12,0.07,-0.67,0.99,single_edge,1.0
13,0.08,-0.48,0.73,single_edge,1.0
14,-0.13,-0.8,0.46,single_edge,1.0
15,0.08,-0.01,0.17,inside_out,1.0
16,0.01,-1.06,1.19,multi_edge,1.0
17,-0.24,-0.7,0.2,dual_color,1.0
18,0.02,-1.06,1.03,multi_edge,1.0
19,-0.36,-0.46,-0.25,inside_out,0.0
20,-0.12,-0.64,0.41,dual_color,1.0
21,0.35,0.28,0.43,eye,0.0
22,-0.04,-0.77,0.84,multi_edge,1.0
23,-0.0,-0.51,0.52,single_edge,1.0
24,-0.02,-0.84,0.74,single_edge,1.0
25,0.05,-1.25,1.71,multi_edge,1.0
26,-0.14,-0.46,0.2,dual_color,1.0
27,-0.03,-1.14,1.05,multi_edge,1.0
28,0.06,-0.68,0.91,single_edge,1.0
29,0.08,-0.39,0.55,single_edge,1.0
30,0.02,-0.77,0.81,single_edge,1.0
31,0.02,-0.2,0.25,eye,1.0
32,-0.07,-0.45,0.33,single_edge,1.0
33,0.0,-0.67,0.7,multi_edge,1.0
34,0.06,-0.66,0.74,single_edge,1.0
35,0.4,0.29,0.51,inside_out,0.0
36,0.31,0.26,0.36,misc,0.0
37,-0.35,-0.45,-0.27,eye,0.0
38,-0.17,-0.54,0.29,dual_color,1.0
39,0.06,-0.22,0.3,eye,1.0
40,-0.11,-0.18,-0.04,inside_out,0.0
41,0.03,-0.84,1.02,multi_edge,1.0
42,-0.22,-1.12,0.69,dual_color,1.0
43,0.01,-0.49,0.55,single_edge,1.0
44,-0.11,-0.89,0.68,dual_color,1.0
45,0.05,-0.27,0.38,eye,1.0
46,-0.13,-0.32,0.07,eye,1.0
47,-0.12,-0.42,0.18,dual_color,1.0
48,-0.03,-1.05,1.04,single_edge,1.0
49,-0.04,-0.64,0.47,single_edge,1.0
50,-0.03,-0.7,0.53,single_edge,1.0
51,-0.27,-0.31,-0.22,inside_out,0.0
52,0.07,-0.01,0.14,inside_out,1.0
53,-0.29,-0.34,-0.23,inside_out,0.0
54,0.01,-1.28,1.84,multi_edge,1.0
55,-0.09,-0.98,0.71,single_edge,1.0
56,0.06,-0.39,0.53,dual_color,1.0
57,0.02,-0.68,0.84,single_edge,1.0
58,-0.14,-0.22,-0.07,inside_out,0.0
59,0.06,-0.37,0.5,dual_color,1.0
60,0.08,-0.63,0.8,misc,1.0
61,0.11,-0.58,0.91,misc,1.0
62,0.22,-0.24,0.71,misc,1.0
63,0.01,-0.83,0.87,multi_edge,1.0
