filter_idx,obs_var,var_exclude_0,var_exclude_50,var_exclude_100,var_exclude_200,kstest_stat_0,kstest_stat_50,kstest_stat_100,kstest_stat_200,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,best_augmented_var,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
0,51.872887,51.872887,32.51488,29.012688,25.548838,0.016802927267472,0.0054105311682352,0.0023349543098045,0.0030967030161279,0.0031320496903469008,0.0027639090361161606,0.002384913392968313,0.0020825896900188434,27.898396,0.002334954309804557,0.0034650639249156345,0.004894573241659705,0.007345901689503553,0.015187268984442934
1,23.47731,23.47731,15.470115,14.3342085,13.079947,0.0124835521670159,0.0014736256813167,0.0015479507589353,0.0029772239224854,0.0031973490994156306,0.0025759250390827715,0.001984751562970899,0.0014944199412569859,,0.0014736256813167037,0.002738659818844469,0.011610119659540119,,
2,18.258923,18.258923,11.597221,10.097536,8.851629,0.0140506816927618,0.0025487675284141,0.0019428252441117,0.0033538760099529,0.005441528179919164,0.0046189390056532165,0.003958251859014439,0.0029365022270909646,10.70352,0.001603273747124656,0.0010873713397014928,0.0022454858904258357,0.00508196014539275,0.012427192027178895
3,10.848763,10.848763,6.1073375,5.610655,5.032302,0.0155559830904328,0.0045368580008895,0.0025973877433562,0.0041853108891496,0.004868362750082601,0.0043379514898144525,0.0038936812852740123,0.003252526364464065,,0.002597387743356272,0.002628401920696022,0.00414405917437588,0.004523616466120428,0.013614998547302415
4,6.6134057,6.6134057,3.0805771,2.5928571,2.1170406,0.0284967188233383,0.01490159403831,0.0112427919950439,0.006012581088126,0.004871325842855656,0.004495307729951659,0.004815398681201538,0.004950815970031053,1.9071168,0.0058157978321572434,0.006910303021400138,0.008042449123428885,0.008526607209413672,0.009655340284993819
5,0.87283534,0.87283534,0.5015694,0.4576763,0.40940794,0.0175356960924515,0.0068933231483369,0.0050641581553611,0.0055477127761411,0.005314623299887633,0.004863981891697011,0.00444822397445984,0.004627015294822401,0.4302122,0.004933649031202303,0.005583570399395776,0.006324531239039977,0.006958450861667187,0.014829286448504814
6,0.7567278,0.7567278,0.3769472,0.30600464,0.25149262,0.0232802964548862,0.0117907529657137,0.00746792079981,0.0045635006287263,0.006572346783877858,0.006085499663614824,0.005562952851433489,0.005050446370057398,0.26101473,0.004404823338603925,0.004292425188097249,0.004910374147199026,0.005861980617021034,0.006843129000045911
7,95.54084,95.54084,42.78957,37.225708,32.068394,0.0272909072321769,0.0081568408215677,0.0047563714355538,0.0030325482263924,0.004313660664791774,0.003968914524573375,0.0036238576456321114,0.003311846171904942,34.168156,0.0030325482263924286,0.002714787584138123,0.0026910660854376767,0.003511243942824205,0.004750217681886215
8,41.442993,41.442993,20.86049,18.262276,15.88197,0.0220537051576915,0.005553531859232,0.0016779425084428,0.002595850733778,0.00264682782140091,0.0023054435971351372,0.002043875937655981,0.0018007391945200624,,0.001677942508442859,0.002870268281770172,0.0050531252779216496,0.008322009354474802,0.019617637888085904
9,17.597395,17.597395,12.041245,11.090223,9.997417,0.0114821732707236,0.0021442167764302,0.0017579316904547,0.0032242156223301,0.00381844661497055,0.0032529394345953144,0.00274506220355707,0.002203917113247189,11.500203,0.001757509581742367,0.001376984535715997,0.0021442167764302855,0.003729368131092592,0.010900173222786802
10,14.930193,14.930193,7.8523397,7.009262,6.2670035,0.0164799466510869,0.0025246059799139,0.0026298530083721,0.0036973662077851,0.003761874544299021,0.003253745832521221,0.002419433022887073,0.0020766168964764797,7.3350406,0.002136640428718528,0.004313538871814737,0.014364650217809603,,
11,11.726542,11.726542,5.5748415,4.198413,3.2211928,0.0302118921936666,0.0156456086736644,0.0110808730776186,0.0052786020208966,0.0046190212565223165,0.004137709643444709,0.0036942639779384834,0.004252356689023573,2.9704196,0.004814002515519333,0.005536886177966077,0.007240205140396583,0.007463824272485153,0.009162779249744069
12,2.1433356,2.1433356,1.1630385,1.0406541,0.9034688,0.0208925194216719,0.0098309716112959,0.0081320304385702,0.005161435707225,0.006097689813909742,0.005703243842509302,0.005351426231739127,0.004928678118428516,0.8789053,0.004994848190350454,0.005081443579554257,0.005410903925937904,0.005899123316536414,0.006662866761304967
13,0.83858764,0.83858764,0.3507183,0.29131594,0.24089026,0.0271933595865444,0.0111295161964653,0.0073219509653258,0.0041607994693602,0.005936669811151374,0.005505725722185828,0.0051080905134234245,0.0046388674084372195,,0.004160799469360266,0.004632980021522126,0.005340560444634157,0.0065375078405331966,0.007321950965325841
14,48.090115,48.090115,28.125841,25.253958,22.276834,0.0169522514811255,0.0042555574463665,0.0015666620991552,0.0027828492676039,0.002918705236563568,0.0024800636443182977,0.0021346924865559558,0.001823211666642116,,0.0015666620991552208,0.0022073079788437755,0.0036433533536227025,0.005944814332572657,0.015528653629940936
15,38.40321,38.40321,17.632387,14.775722,12.693781,0.0243901192954282,0.0060182773983188,0.0014095860582937,0.0026207045006686,0.0032208778835268737,0.0022857718115892878,0.0019166281464605313,0.0016521914203819765,,0.001409586058293777,0.0032505214640752705,0.005686078126941885,0.009965728521930832,0.021351314964862207
16,31.962946,31.962946,15.8819065,12.747089,10.3981905,0.0231273044954503,0.0091985390131782,0.0039791529248845,0.0029407343675045,0.004700109342326231,0.00420191728148878,0.0036547899852944488,0.0031431256305363142,10.777475,0.0027446999604344713,0.002434912837551151,0.003248129966494484,0.003899350051263961,0.005300140253108321
17,29.144705,29.144705,9.7918415,7.1785398,5.7724757,0.0328347660784398,0.0125182031399882,0.005606577205413,0.0041998182435575,0.006501332329153842,0.005958905312869283,0.005376504014210415,0.004734277154246656,6.2710376,0.004174749091460095,0.003495523654536401,0.002980734982833022,0.004081977098677719,0.005196770433253062
18,3.9895124,3.9895124,2.257871,1.8792771,1.5897738,0.0218543546293608,0.0098048027836441,0.0066805656985277,0.0050919052544537,0.006830405839694489,0.006415610982015832,0.0060659042551247655,0.005590794889234418,1.6988302,0.005068455341918798,0.004493304162211519,0.004037782554589642,0.005086639579302554,0.005450151604451059
19,1.0756308,1.0756308,0.59353215,0.5066247,0.42010185,0.0237740630471384,0.0133909119085168,0.011378231051082,0.0086878008183542,0.005880431965654034,0.006404694490573126,0.0067384667190848735,0.006932369659901072,0.37069282,0.00721444857939102,0.007643396595893748,0.008748466628759277,0.009944706827389294,0.010017703898193009
20,0.29424062,0.29424062,0.11223458,0.095269926,0.07980207,0.0326836871110826,0.0140616015210993,0.0105582283092569,0.0073938676632774,0.006447941274861452,0.006546505386732793,0.0069591222296652155,0.006607182811956935,0.07085489,0.007393867663277431,0.008596023033192096,0.008650634019954778,0.009107142270671997,0.009766573300512976
