band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,best_augmented_var,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
2,0.0159602437339604,0.0159602437339604,0.0131045232723862,0.0116150888662968,0.0106705118414347,0.0099720989474157,0.0090741424989207,0.008508038192612,0.0080866910040802,0.0077495680147108,0.0074674058471229,0.0068193307283822,0.0078162716727792,0.0054249241188806,0.0031563588377626,0.008252668804824,0.0051036820618324,0.004854627833821,0.0064929620436916,0.0064588235529181,0.0046616276139636,0.0064545658554267,0.0079000540846171,0.0035475525429407295,0.0032558263297196577,0.0022590771869440696,0.01067051184143473,0.002103426745095782,0.003156358837762663,0.004840237540070957,0.007000916364705789,,
3,0.1770614877080991,0.1770614877080991,0.1581206320976997,0.1438610273679876,0.1320417412500117,0.1217715329327067,0.1050015760618653,0.0920541649117169,0.0816920948303401,0.073504002118611,0.0667694113902649,0.0523486503385676,0.030485349348734,0.033294764171204,0.0302832338020855,0.02642925685877,0.0240888580186898,0.0276692694410481,0.0221903167470056,0.0207606773617332,0.0228977967487965,0.0178787875285002,0.0161293787496088,0.011925745491182638,0.01244382145571954,0.012991277658715883,0.0543372965631379,0.013072376946895337,0.012652061622253685,0.011903597436962898,0.013866287817354994,0.014895018854510333,0.01562491063309357
5,1.8016560837959563,1.8016560837959563,1.7544586635097144,1.7164045932359802,1.6822485315965825,1.650807192402495,1.5937640043909396,1.5425699689582242,1.4958597392426627,1.4528331047164555,1.4129594092562163,1.3080574874331852,0.0135454465796539,0.0123440403717347,0.0113575997769682,0.0104606952240748,0.0109678127903846,0.0123802004629843,0.0136820683780781,0.0149053628074504,0.0161020366978465,0.0163884234146342,0.0151146431383699,0.011771265098465544,0.011226644109631367,0.011034583661938921,1.8016560837959565,0.010967812790384654,0.01046069522407489,0.010095866155181044,0.009948388721085819,0.009754291411600446,
6,1.5333096084033158,1.5333096084033158,1.5000995838900508,1.4708691626829773,1.4438072622395255,1.4184997118052878,1.3719420736692467,1.329628918312617,1.290701491341021,1.2545859816311906,1.2208466501394368,1.1308068170648509,0.0122536137124177,0.0111745756452101,0.010776840449492,0.0110541168486558,0.0113194574643749,0.011823736445574,0.0123260295423865,0.0132085666009866,0.0141701605237767,0.0150963799908288,0.014150223791497,0.01047653654453612,0.01082887590891124,0.01063277052368139,1.5333096084033158,0.01094764399699033,0.010776840449492009,0.011174575645210183,0.01042752160583972,,
8,0.1895796508676354,0.1895796508676354,0.1753177875101778,0.166329982566564,0.1593348020398406,0.1534945129466307,0.144039664136328,0.1365021196858556,0.1302119284614035,0.1247925172857647,0.1200290610350287,0.1084391410626081,0.004416770701201,0.0064900594899278,0.0081169265456719,0.0096120863812889,0.0090820880854204,0.0067858042254408,0.0039377870704021,0.0056024845872885,0.007648473843399,0.0096039521007928,0.0090675316154588,0.00479515121696944,0.004346609770854208,0.004142137900641107,0.14845950082123197,0.004298405928582438,0.0039377870704021545,0.0029428840579737575,0.003122287503628071,0.0025625296849440676,0.0027091293576668174
9,0.0462346172087606,0.0462346172087606,0.0432652577796686,0.0417276653381522,0.0405419270070637,0.0395500085045482,0.0379196546340304,0.0365807397170107,0.0354274378757696,0.0344040177926599,0.0334792011206361,0.0311247665660914,0.0033758649507776,0.0071225901285218,0.008969140960584,0.0076637913687817,0.0065565948279119,0.0067334268917771,0.008492492664791,0.0084086607228298,0.0081982919033804,0.0080714713061191,0.0077777325752347,0.003771691698127133,0.0032663063516534807,0.003327033371165314,0.04326525777966867,0.002232270198967934,0.0024366637062583213,,,,
11,0.0164304042096686,0.0164304042096686,0.0147080107161582,0.0137411780755092,0.0129918918105286,0.0123683089321553,0.0113594142095221,0.0105557944803515,0.0098890537068725,0.0093196220711199,0.0088244409341858,0.0076487279992715,0.0106309001064454,0.0117880208554185,0.0090955376265324,0.0069824704317436,0.0065950702967862,0.0075529515061147,0.0084399128182154,0.0093017031588888,0.0106794437700064,0.013278408408443,0.0127110034299193,0.005233294975185654,0.005724193140895395,0.005952044149958147,0.016430404209668698,0.00482808893252841,0.005256935717158795,0.0036941093969368455,0.0037796602823102488,0.003334054794863789,0.0032718753885628837
12,0.0069255037394811,0.0069255037394811,0.0059693384866064,0.0054845169768762,0.0051183002815075,0.004819906734037,0.0043462498164484,0.0039764709880646,0.0036742582482056,0.003419602265554,0.003200529369735,0.0026892117561055,0.0093117605933317,0.0047223246092074,0.007478657031202,0.0088428259713352,0.0094720593724748,0.008222606416718,0.0087525077133381,0.0062526316016085,0.0072809261154991,0.008362559425651,0.0111593672146099,0.004758287832101138,0.004695948782140795,0.004987619420015854,0.006925503739481185,0.003258509428834811,0.002984812588934396,0.0029512593873300963,,,
14,0.0004664283209838,0.0004664283209838,0.000374543157509,0.0003447501831322,0.0003224326597276,0.0003042545666513,0.0002753870767221,0.0002528068883217,0.0002343038010727,0.0002186468637907,0.0002051475685862,0.0001734556365413,0.0065936209456525,0.0031576859965784,0.0046830732660744,0.0056955532346582,0.0051485932245534,0.0071163531521769,0.0074041475400888,0.0092778658807682,0.0095202933165292,0.0074889991538946,0.0105979807369173,0.0047079575954546826,0.005066918508186476,0.0044652386089570895,0.00037454315750907725,0.0034543016230853523,0.003041848343128045,0.004559784117611043,,,
16,0.0001010506598452,0.0001010506598452,6.944977886116494e-05,5.788885040032552e-05,5.0211528689979305e-05,4.454903147486637e-05,3.6547007473346494e-05,3.105606556751373e-05,2.704612608785393e-05,2.397245491763432e-05,2.153845495870777e-05,1.6565209112738154e-05,0.0219762756757999,0.0162015197991118,0.0203151442087264,0.0145683998001056,0.0132711193070577,0.0118547384309143,0.0109882331418381,0.0087493811616042,0.0076281830599428,0.0086976718237103,0.0116622616253508,0.007508484753509959,0.008028365475390056,0.0074504945414617385,2.3972454917634318e-05,0.006728401970626012,0.006150142444019912,0.006176972044612816,0.006213807082007139,0.006181427968835251,0.007860582729104226
