filter_idx,params,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
0,"(2.0, 0.5, 0.044)",52153.13,41293.8,63351.703,4.5895295,2.767363,8.658168,65536000.0,"(2.0, 0.5, 0.044)",0.0075729684246069,0.8,-1.0,78467.64378514144,0.0,52153.12890625,0.00016775858896935606,0.0058036549224265155,0.9,-1.03,98693.7651657912,0.0,54000
1,"(2.0, 0.5, 0.065)",19445.803,15267.077,24628.367,5.863659,3.4811437,13.033057,65536000.0,"(2.0, 0.5, 0.065)",0.0046502673246163,0.9,-1.1,43578.08668446236,0.0,19445.802734375,0.00016775858896935606,0.00336445564662613,1.0,-1.12,51173.16509046053,0.0,162000
2,"(2.0, 0.5, 0.096)",7714.107,6043.032,9730.833,7.0881557,3.8592358,16.072926,65536000.0,"(2.0, 0.5, 0.096)",0.0042914196490235,0.7,-1.1,12023.060752480693,0.0,7714.10693359375,0.00016775858896935606,0.003784461570331743,0.72,-1.1,12628.836703323987,0.0,128000
3,"(2.0, 0.5, 0.141)",3096.094,2347.4585,3979.3044,8.659405,4.749448,19.396645,65536000.0,"(2.0, 0.5, 0.141)",0.0044655645745846,0.6,-1.1,3521.1976019320778,0.0,3096.093994140625,0.00016775858896935606,0.0034855220359674144,0.63,-1.1,3925.6863502578576,0.0,153772
4,"(2.0, 0.5, 0.208)",1261.2007,930.4138,1607.2511,9.7200985,5.608321,23.154419,65536000.0,"(2.0, 0.5, 0.208)",0.0059062084431452,0.5,-1.1,875.8338080512154,0.0,1261.20068359375,0.00016775858896935606,0.004394468820400399,0.53,-1.1,1042.1266110691545,0.0,96000
5,"(2.0, 0.5, 0.306)",525.8119,385.7015,683.5661,10.908921,5.890527,25.895,65536000.0,"(2.0, 0.5, 0.306)",0.0079692366434757,0.8,-1.2,1262.7100111511843,100.0,446.7216796875,0.00016775858896935606,0.00796759353195603,0.82,-1.2,1217.9072298247236,200.0,30375
6,"(2.0, 0.5, 0.45)",351.48444,258.49753,464.54666,10.517778,5.9917593,25.871414,65536000.0,"(2.0, 0.5, 0.45)",0.0093528570142175,0.8,-1.2,792.8028311587054,200.0,314.4289245605469,0.00016775858896935606,0.00934431483148146,0.68,-1.2,653.623961989702,125.0,20250
7,"(2.0, 1.0, 0.044)",74528.445,59965.98,93167.52,5.635832,3.2260888,11.598611,65536000.0,"(2.0, 1.0, 0.044)",0.0057096746463636,0.7,-0.9,66625.2451424732,100.0,72838.8125,0.00016775858896935606,0.0034304294011078817,0.8,-0.96,100000.0,25.0,162000
8,"(2.0, 1.0, 0.065)",27890.346,21676.424,34895.67,6.7905703,3.6312983,15.273127,65536000.0,"(2.0, 1.0, 0.065)",0.0039487997997324,1.2,-1.1,74688.5791075917,100.0,27185.935546875,0.00016775858896935606,0.002119517402602491,0.9,-1.06,55134.837650777874,25.0,432000
9,"(2.0, 1.0, 0.096)",10625.615,8166.0874,13714.582,9.043222,4.588309,30.234829,65536000.0,"(2.0, 1.0, 0.096)",0.0035852605944934,0.8,-1.1,19421.91600218446,50.0,10625.615234375,0.00016775858896935606,0.002334058426691654,0.7,-1.08,15629.501374677599,0.0,324000
10,"(2.0, 1.0, 0.141)",4079.0178,3081.818,5428.3535,10.818388,5.1007094,35.054955,65536000.0,"(2.0, 1.0, 0.141)",0.0032764441895048,0.8,-1.1,7100.951416449471,100.0,4079.017822265625,0.00016775858896935606,0.0018307950104297088,0.6,-1.06,4098.9577535824965,0.0,576000
11,"(2.0, 1.0, 0.208)",1757.257,1261.9061,2364.0747,11.925705,5.8170176,38.79054,65536000.0,"(2.0, 1.0, 0.208)",0.0036757647556558,0.6,-1.1,1872.9588592572472,50.0,1757.2569580078125,0.00016775858896935606,0.003666306495116345,0.54,-1.1,1530.1068015242304,0.0,144000
12,"(2.0, 1.0, 0.306)",731.0304,515.5813,994.396,14.114601,6.6073437,41.514282,65536000.0,"(2.0, 1.0, 0.306)",0.0060794075507074,0.5,-1.1,471.4250776502822,50.0,622.2576293945312,0.00016775858896935606,0.005326970626422178,0.7,-1.17,1215.470062531569,150.0,64000
13,"(2.0, 1.0, 0.45)",393.4526,292.0861,529.1748,14.538462,7.061204,48.91959,65536000.0,"(2.0, 1.0, 0.45)",0.0100347359090822,0.8,-1.2,853.4767979671544,200.0,328.5899353027344,0.00016775858896935606,0.009811092779989705,1.2,-1.24,1423.7397653740284,175.0,20250
14,"(3.0, 0.5, 0.044)",50395.01,40328.086,63165.152,6.046918,3.4103124,14.606301,65536000.0,"(3.0, 0.5, 0.044)",0.0067058113651104,0.7,-1.0,57672.961365464216,50.0,50395.01171875,0.00016775858896935606,0.0039152159855209145,0.8,-1.05,85286.12086256524,0.0,121500
15,"(3.0, 0.5, 0.065)",18874.373,14493.048,24484.291,7.6128626,4.2087183,19.88412,65536000.0,"(3.0, 0.5, 0.065)",0.0041376189672024,0.8,-1.1,34705.05294278461,50.0,18874.373046875,0.00016775858896935606,0.004043540094036957,0.7,-1.09,28568.889866542184,0.0,108000
16,"(3.0, 0.5, 0.096)",7003.579,5365.82,9128.589,10.228154,5.140794,32.42982,65536000.0,"(3.0, 0.5, 0.096)",0.0054902833238512,0.6,-1.1,7965.192912112663,0.0,7003.5791015625,0.00016775858896935606,0.003963515208995516,0.5,-1.06,4233.304582665922,0.0,121500
17,"(3.0, 0.5, 0.141)",2755.617,2014.6864,3721.3176,12.492169,6.2755585,47.274113,65536000.0,"(3.0, 0.5, 0.141)",0.0049133521091874,0.5,-1.1,1913.6228773328996,0.0,2578.792236328125,0.00016775858896935606,0.0048224243353472,0.52,-1.1,2016.733904793638,50.0,81000
18,"(3.0, 0.5, 0.208)",1250.4196,887.7707,1747.8986,13.643116,6.9785376,45.10332,65536000.0,"(3.0, 0.5, 0.208)",0.005469296659979,0.5,-1.1,773.3247545030383,100.0,1250.4195556640625,0.00016775858896935606,0.0033638288285845613,0.45,-1.1,606.7009546725819,0.0,162000
19,"(3.0, 0.5, 0.306)",557.48553,413.1001,752.6986,14.427507,7.30582,49.464375,65536000.0,"(3.0, 0.5, 0.306)",0.0066675796132463,0.4,-1.1,167.74801687371712,0.0,533.5858154296875,0.00016775858896935606,0.0045120924505832605,0.5,-1.16,467.07441826828375,25.0,96000
20,"(3.0, 0.5, 0.45)",285.6177,204.66261,399.00867,14.493071,7.6870594,51.266323,65536000.0,"(3.0, 0.5, 0.45)",0.0088143028973453,0.5,-1.2,297.5184440612793,0.0,266.48968505859375,0.00016775858896935606,0.007590631919960733,0.5,-1.19,265.32226708342665,50.0,32000
21,"(3.0, 1.0, 0.044)",57508.56,44040.926,77848.83,9.82793,4.765486,32.864075,65536000.0,"(3.0, 1.0, 0.044)",0.0036177713571793,0.6,-1.0,48832.42518363084,0.0,55489.9609375,0.00016775858896935606,0.0027991512768894555,0.63,-1.0,52980.21348767247,25.0,243000
22,"(3.0, 1.0, 0.065)",22854.822,16387.89,31764.883,13.042349,5.549559,41.08552,65536000.0,"(3.0, 1.0, 0.065)",0.004354393103677,0.5,-1.0,10636.1875,50.0,22854.822265625,0.00016775858896935606,0.002606627859097932,0.48,-1.0,9924.23284401018,0.0,273375
23,"(3.0, 1.0, 0.096)",8368.242,6238.4194,12114.152,16.4032,6.8427324,69.56224,65536000.0,"(3.0, 1.0, 0.096)",0.0034628420891471,0.4,-1.0,1714.9028537836164,0.0,8368.2421875,0.00016775858896935606,0.0026979014920730515,0.4,-0.99,1655.9622083457791,0.0,256000
24,"(3.0, 1.0, 0.141)",3410.8313,2350.5735,5150.157,20.247528,7.219859,91.77988,65536000.0,"(3.0, 1.0, 0.141)",0.0045502243838764,0.4,-1.0,635.5644516091054,50.0,3410.831298828125,0.00016775858896935606,0.0026186451440129987,0.37,-1.0,473.0718023338417,0.0,256000
25,"(3.0, 1.0, 0.208)",1420.3724,983.1407,2134.3276,20.705956,8.275726,79.80651,65536000.0,"(3.0, 1.0, 0.208)",0.0055663703191918,0.5,-1.1,845.4817030164933,100.0,1339.5726318359375,0.00016775858896935606,0.002699110695753487,0.4,-1.05,329.85994273474034,25.0,256000
26,"(3.0, 1.0, 0.306)",650.17523,448.83148,958.604,21.08689,8.177763,81.205894,65536000.0,"(3.0, 1.0, 0.306)",0.0026436263697805,0.4,-1.1,195.63844978009612,0.0,650.17523,0.00016775858896935606,0.0026436263697805,0.4,-1.1,195.63844978009612,0.0,256000
27,"(3.0, 1.0, 0.45)",292.79483,197.76765,441.48557,22.798649,8.552553,99.321365,65536000.0,"(3.0, 1.0, 0.45)",0.0079653950604794,0.5,-1.2,275.0364621480306,50.0,292.7948303222656,0.00016775858896935606,0.006767483094104465,0.4,-1.16,115.2136486550495,0.0,40500
28,"(4.0, 0.5, 0.044)",48894.043,39005.258,63864.91,6.911498,2.9389715,27.336803,65536000.0,"(4.0, 0.5, 0.044)",0.00477414649151,0.8,-1.0,73564.14518837236,0.0,48894.04296875,0.00016775858896935606,0.0024476459458441235,0.9,-1.04,94640.41383045679,0.0,324000
29,"(4.0, 0.5, 0.065)",18151.559,13828.525,23143.342,8.231595,4.025433,27.773432,65536000.0,"(4.0, 0.5, 0.065)",0.0045230542515378,0.9,-1.1,38591.165232940526,50.0,18151.55859375,0.00016775858896935606,0.0036847825920055255,0.7,-1.07,25962.192419263247,0.0,136687
30,"(4.0, 0.5, 0.096)",6960.643,5207.741,9303.911,11.747753,4.9183345,60.98642,65536000.0,"(4.0, 0.5, 0.096)",0.0050368437141279,0.7,-1.1,10147.674532838046,50.0,6671.6806640625,0.00016775858896935606,0.00479504853454249,0.68,-1.1,9860.264293434366,25.0,81000
31,"(4.0, 0.5, 0.141)",2778.9055,1977.8042,4185.728,15.495306,5.7404103,90.55677,65536000.0,"(4.0, 0.5, 0.141)",0.0055823020837006,0.5,-1.1,1929.7954983181428,0.0,2778.905517578125,0.00016775858896935606,0.004438970482228438,0.5,-1.09,1862.038004273737,0.0,96000
32,"(4.0, 0.5, 0.208)",1210.6433,875.57275,1737.9393,16.508595,6.2248225,95.79696,65536000.0,"(4.0, 0.5, 0.208)",0.0043842292483151,0.5,-1.1,840.7245212131078,0.0,1210.643310546875,0.00016775858896935606,0.0028033010427003444,0.49,-1.1,788.4642688159495,0.0,243000
33,"(4.0, 0.5, 0.306)",572.4577,409.76407,850.76056,17.494171,6.778893,104.84018,65536000.0,"(4.0, 0.5, 0.306)",0.0063503491288188,0.8,-1.2,1230.9459949472473,200.0,502.6423645019531,0.00016775858896935606,0.004949795837841164,0.6,-1.17,730.5600388875122,100.0,72000
34,"(4.0, 0.5, 0.45)",282.74603,197.66747,407.89157,17.42131,7.4930024,87.05755,65536000.0,"(4.0, 0.5, 0.45)",0.0138239290306269,0.5,-1.2,258.2989692687988,100.0,282.74603271484375,0.00016775858896935606,0.010361933809607926,0.45,-1.2,211.58142178832222,0.0,18000
35,"(4.0, 1.0, 0.044)",57645.94,43070.14,75839.84,11.56703,5.297483,32.421753,65536000.0,"(4.0, 1.0, 0.044)",0.0034927460317398,0.5,-0.9,19582.439630681816,100.0,53932.64453125,0.00016775858896935606,0.0019092263483904137,0.6,-0.99,44605.67037824989,50.0,512000
36,"(4.0, 1.0, 0.065)",20408.373,15257.692,31677.396,16.654362,6.1112704,121.12866,65536000.0,"(4.0, 1.0, 0.065)",0.0025872728291166,0.5,-1.0,9456.375,50.0,18443.0,0.00016775858896935606,0.0024864132646868486,0.51,-1.0,9843.071510337495,75.0,288000
37,"(4.0, 1.0, 0.096)",8413.885,5720.0986,12774.06,22.983448,7.093849,130.38564,65536000.0,"(4.0, 1.0, 0.096)",0.0036171751117194,0.4,-1.0,1724.256381767967,0.0,7196.39013671875,0.00016775858896935606,0.0032806022988717265,0.43,-1.0,2037.4156576239316,100.0,172993
38,"(4.0, 1.0, 0.141)",3081.8123,2072.0095,5112.6865,28.892057,8.807064,183.931,65536000.0,"(4.0, 1.0, 0.141)",0.0055814193670368,0.4,-1.0,527.6431543409979,100.0,3081.812255859375,0.00016775858896935606,0.0021971516569342375,0.3,-0.92,83.02455460375089,0.0,384000
39,"(4.0, 1.0, 0.208)",1307.6943,877.9839,2064.0452,26.122835,8.557677,129.07455,65536000.0,"(4.0, 1.0, 0.208)",0.0045717227238737,0.5,-1.1,691.3492414686416,200.0,1099.0582275390625,0.00016775858896935606,0.0032495785313370086,0.4,-1.04,260.5509758991248,100.0,182250
40,"(4.0, 1.0, 0.306)",687.1439,429.514,1131.1577,36.28396,9.653627,169.8185,65536000.0,"(4.0, 1.0, 0.306)",0.0050937617844331,0.4,-1.1,180.71993283310135,50.0,687.1439208984375,0.00016775858896935606,0.00293202276511223,0.4,-1.13,235.44227140947035,0.0,216000
41,"(4.0, 1.0, 0.45)",283.87637,191.22757,468.07037,30.298016,9.807387,148.89159,65536000.0,"(4.0, 1.0, 0.45)",0.0104700991424391,0.4,-1.2,136.4581341965826,0.0,251.0301055908203,0.00016775858896935606,0.009522414426772374,0.4,-1.19,114.56580079608028,50.0,20250
