layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,9329.193,8680.039,10021.551,5.7283363,3.8540692,8.267125,13604.0,0.0105892765481125,2.7,-1.0,29024.61538053943,0.0,9329.193,0.011631562532897,0.0105892765481125,2.7,-1.0,29024.61538053943,0.0,17217,69.287,0.0402941,1.25214e-19,56.8307,0.0240789,2.76874e-07,47.7926,0.0284245,5.54941e-10,0.093953908
3,1371.856,1239.0074,1522.1008,14.135717,9.524071,23.4482,54416.0,0.2213503381358421,0.3,-1.3,309.6091269541648,0.0,1371.856,0.0058188717266508,0.2213503381358421,0.3,-1.3,309.6091269541648,0.0,-1,2.43894,0.22135,0.0,3.50373,0.22135,0.0,2.27685,0.22135,0.0,0.0
4,585.12445,532.1305,642.2677,11.181561,8.105103,16.543982,166649.0,0.1331699999999998,0.3,-1.3,132.05458591127876,0.0,585.12445,0.003325823185857,0.1331699999999998,0.3,-1.3,132.05458591127876,0.0,100,5.72758,0.148298,0.0,4.24218,0.138181,0.0,3.284,0.139636,0.0,0.0
5,160.71768,146.66621,175.81436,10.452751,7.6729784,15.7744255,574769.0,0.0742699999999998,0.9,-1.3,739.0986465950615,0.0,145.08392333984375,0.0017910770744051,0.0742699999999997,0.5,-1.18,138.22782330396694,100.0,315,4.28161,0.112812,0.0,3.24222,0.101703,0.0,2.60026,0.104148,0.0,0.0
6,38.403484,34.960827,42.293262,11.680919,7.6955132,23.166769,2125625.0,0.0093668234328064,1.3,-1.2,141.3333104830474,50.0,35.81829071044922,0.0009314325575636,0.008867791232757,1.7,-1.21,160.2675712578109,50.0,23641,2.97364,0.0729167,0.0,2.38,0.0551439,0.0,1.91072,0.0586615,0.0,1.2884769999999994e-145
7,8.761599,7.796952,9.9773445,20.842588,11.143603,58.113117,8502500.0,0.0087105724692372,0.5,-1.1,6.084443463219538,0.0,8.23187255859375,0.0004657358950323,0.0082575808189051,0.5,-1.09,5.515862073568582,25.0,28021,1.22515,0.0780339,0.0,1.03598,0.0538628,0.0,0.816269,0.0565334,0.0,0.0
8,1.9010442,1.6224447,2.4340475,60.53434,15.293455,272.06818,34010000.0,0.0067610303402818,0.1,0.8,8.120580411306018e-15,0.0,1.901044249534607,0.0002328728498073,0.0067128649051499,0.12,0.4,3.599265344630138e-11,0.0,42033,0.597356,0.0637838,0.0,0.525008,0.0366336,0.0,0.41527,0.035998,0.0,0.0
9,0.33889166,0.27778196,0.5481107,236.05519,12.296153,879.1586,136040000.0,0.008879746666895,0.4,-0.4,0.0106975626825662,250.0,0.2241559773683548,0.000116437650255,0.0087935899294365,0.47,-0.5,0.0285006837964372,325.0,24909,0.314981,0.0464059,0.0,0.277788,0.0194161,0.0,0.218897,0.0196788,0.0,0.0
