band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
2,68.23893,55.853195,88.27769,78.60785,22.80179,260.92975,14400832.0,0.0034144797114468,0.4,-1.0,10.440111941039316,100.0,55.518089294433594,0.0003578685014621945,0.0019060769980325798,0.3,-0.87,1.235275385725055,50.0,506278
3,29.26138,23.565706,41.71197,131.73262,23.337015,507.65497,14400832.0,0.0029545076243632,0.4,-1.0,4.117237897011557,150.0,22.331745147705078,0.0003578685014621945,0.0015247139033180502,0.37,-1.0,3.0973443130753977,75.0,759418
4,29.67605,23.769623,42.169933,130.15863,29.780764,507.69504,14400832.0,0.0026137043133285,0.2,-0.9,0.0101617101639036,25.0,25.60751,0.0003578685014621945,0.0026137043133285,0.2,-0.9,0.0101617101639036,25.0,284779
5,16.709305,13.23721,24.56992,157.44473,33.2693,601.0773,57603328.0,0.0070843115072312,0.1,-0.4,2.1324755248587577e-11,25.0,16.709304809570312,0.00017893714488626073,0.006761327815080542,0.1,-0.46,3.754895414759236e-11,0.0,42189
6,4.5731664,3.4692073,7.8632917,323.61923,36.913433,1073.4427,28801664.0,0.0080484027492889,0.1,-0.3,2.7106852608616098e-12,50.0,3.26694655418396,0.0002530536418455619,0.006954858577098572,0.1,-0.28,2.2540992107558136e-12,75.0,40044
7,1.1016033,0.85889935,1.7455782,222.43735,33.25788,816.22186,28801664.0,0.0077015732524662,0.1,-0.1,1.7355094473913473e-13,150.0,0.8684400320053101,0.0002530536418455619,0.007160612047489245,0.08,0.2,1.2463681588200757e-18,50.0,35595
8,0.4279035,0.33904716,0.59375125,118.09702,37.51739,437.8075,28801664.0,0.0089056913902106,0.1,0.1,1.7762950282020134e-14,350.0,0.23206427693367004,0.0002530536418455619,0.008194533078234928,0.08,0.5,6.384767945736435e-20,275.0,28126
9,0.3121021,0.23188207,0.4846752,221.03058,55.07567,742.6002,29251690.0,0.0079519856630027,0.1,-0.2,5.63643051136434e-14,300.0,0.13801908493041992,0.00025109957477730785,0.007010925785391642,0.1,-0.2,5.88179000941783e-14,275.0,36153
