layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,initial_scale,kstest_stat_initial,kstest_stat_cutoff_0.05,best_r_eta0,best_scale_eta0,kstest_stat_eta0,best_r,best_eta,best_scale,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05
2,1830.9346,1652.0977,2023.4438,2.9339561,1.8463945,4.1260905,3180.0,0.1,9.8,3.660938472070989e-18,0.0169368698069869,0.0240303354829301,6.0,0.3678901692038775,0.3284997831701955,0.1,9.81,3.629908438449348e-18,0.016914780613256575,0.1,9.81,0.016914780613256575,6787
3,587.78186,556.3321,620.6606,2.6045012,2.0262074,3.2706447,12720.0,0.23,3.4,0.0007130500663702,0.004774822449951,0.0120285145061138,5.9,0.3676458306466536,0.3810169789632491,0.229,3.45,0.0006323201820990343,0.00472917893382907,0.229,3.45,0.00472917893382907,81499
4,164.60674,154.98448,174.51884,3.2788167,2.623241,4.093916,50880.0,0.48,0.2,8.93555206317741,0.0049196880562414,0.0060175634983601,5.8,0.3673821828523013,0.4239592807218106,0.485,0.18,9.636336843459848,0.0048165575728161825,0.485,0.18,0.0048165575728161825,76320
5,37.86353,35.38852,40.433693,4.7892566,3.8439922,5.9254055,203520.0,0.46,-0.2,2.703939727805255,0.0020585358408063,0.0030096044936828,5.8,0.3673821828523013,0.4554761850544632,0.47,-0.23,3.14421689135232,0.0018395393399718296,0.47,-0.23,0.0018395393399718296,550120
6,7.493805,6.9297924,8.083941,6.7401295,5.2458973,8.89221,814080.0,0.33,-0.2,0.0612777344384438,0.0031584829631285,0.0015050074551751,5.8,0.3673821828523013,0.4755072837235601,0.34,-0.24,0.08382792217312543,0.0028965907684820325,0.34,-0.24,0.0028965907684820325,228960
7,1.3869972,1.2723972,1.5095419,9.084314,7.002164,12.550997,3256320.0,0.25,-0.2,0.0007286755583126,0.0052702410638079,0.0007525549699048,5.8,0.3673821828523013,0.4869871419124506,0.256,-0.21,0.000984362214686187,0.00465089514877165,0.256,-0.21,0.00465089514877165,85860
8,0.21588294,0.19615239,0.23834117,12.285479,8.5227375,23.484678,13025280.0,0.16,0.4,1.2485807446179996e-08,0.0060352247518533,0.0003762902880576,5.8,0.3673821828523013,0.4937418971919758,0.155,0.46,4.993554890560732e-09,0.0058445476064649116,0.155,0.46,0.0058445476064649116,54331
