filter_idx,params,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
0,"(2.0, 0.5, 0.044)",23.807521862174394,18.785254841310287,30.747662706361194,5.610622399019503,2.4395263067918735,32.89296041350551,196608000.0,"(2.0, 0.5, 0.044)",0.0060872145237171,5.0,-1.1,82.8825096081176,100.0,21.32993766597445,9.685608715247527e-05,0.0057704194013906696,5.0,-1.09,78.11898039762616,200.0,54000
1,"(2.0, 0.5, 0.065)",5.429974814430993,4.218070297133697,7.179697908831132,8.194879800400573,3.4002792351883966,59.30255238277407,196608000.0,"(2.0, 0.5, 0.065)",0.0077470580262862,1.0,-1.1,12.499779449209395,100.0,5.07228385744439,9.685608715247527e-05,0.0070160514074018715,0.9,-1.09,11.077017128544153,75.0,36000
2,"(2.0, 0.5, 0.096)",1.2714515746616464,0.9723885510623682,1.7026760236156655,10.514227747117992,4.390004261993116,56.97539390091533,196608000.0,"(2.0, 0.5, 0.096)",0.0109535660468746,0.5,-1.0,0.5767833732321225,100.0,1.2714515746616464,9.685608715247527e-05,0.008271369871413081,0.5,-1.03,0.6972206485312824,0.0,27000
3,"(2.0, 0.5, 0.141)",0.3244621825233931,0.2302411113533694,0.6493742899672126,30.116787106037876,6.351788927623489,266.62095931967696,196608000.0,"(2.0, 0.5, 0.141)",0.0074428570353733,0.4,-1.0,0.0606417371656985,50.0,0.32446218252339315,9.685608715247527e-05,0.0065362056239355384,0.31,-0.9,0.010302967167478016,0.0,45562
4,"(2.0, 0.5, 0.208)",0.0756959815791575,0.0489904245230266,0.1581607820116661,40.34423816478327,9.440216492218145,298.4737388991861,196608000.0,"(2.0, 0.5, 0.208)",0.0073186933638157,0.2,-0.7,1.1264282973088916e-05,0.0,0.07569598157915752,9.685608715247527e-05,0.006589214161472068,0.2,-0.69,1.0779188127694402e-05,0.0,40500
5,"(2.0, 0.5, 0.306)",32.277841843447106,25.82246656972165,40.22410895857612,6.244556340647607,2.334400053580253,31.309672351675257,196608000.0,"(2.0, 0.5, 0.306)",0.0036720717909087,1.4,-1.0,77.430781560659,100.0,32.277841843447106,9.685608715247527e-05,0.002783810064561465,1.0,-0.97,60.90158838386246,0.0,243000
6,"(2.0, 0.5, 0.45)",7.544956192664695,5.816212430447297,10.233244603590784,8.714435563510598,3.5584529272359275,64.69131879475674,196608000.0,"(2.0, 0.5, 0.45)",0.0058058865032868,0.7,-1.0,9.005299303852977,0.0,7.544956192664695,9.685608715247527e-05,0.005339763151032129,0.69,-1.0,8.754677001574633,0.0,68343
7,"(2.0, 1.0, 0.044)",1.8856804099172615,1.4034643837440592,3.685446239115589,22.288831665151132,5.006911580362315,264.312883983173,196608000.0,"(2.0, 1.0, 0.044)",0.0072848127241139,0.5,-1.0,0.8691441080891729,50.0,1.8856804099172615,9.685608715247527e-05,0.005900098151142008,0.48,-1.0,0.8188176324413742,0.0,54000
8,"(2.0, 1.0, 0.065)",0.426052291373884,0.2905507784714095,0.793683763091063,28.137059440302952,6.635847080218272,208.91507535109443,196608000.0,"(2.0, 1.0, 0.065)",0.0071564210341166,0.3,-0.8,0.0066658635791572,50.0,0.42605229137388406,9.685608715247527e-05,0.004593731748257973,0.3,-0.85,0.00880987072786129,0.0,91125
9,"(2.0, 1.0, 0.096)",0.1060539175897377,0.0699841791333498,0.2502713417664586,55.49261628367972,8.58675583773205,357.872973238949,196608000.0,"(2.0, 1.0, 0.096)",0.0061347537063785,0.3,-0.9,0.0021734965666084,100.0,0.10605391758973771,9.685608715247527e-05,0.004481720001741574,0.21,-0.7,3.091627088324656e-05,0.0,96000
10,"(2.0, 1.0, 0.141)",23.30937934024268,18.155624683455216,32.844363776224995,8.156564308499766,2.9079484751672124,63.20923035511495,196608000.0,"(2.0, 1.0, 0.141)",0.0066378130678252,0.8,-1.0,35.070418846983266,0.0,23.30937934024268,9.685608715247527e-05,0.0049151262363595905,0.9,-1.04,45.11816108767298,0.0,76885
11,"(2.0, 1.0, 0.208)",5.203323527323623,3.861938971106852,6.815746872025944,9.499843433047612,4.237018657846336,47.709935093489875,196608000.0,"(2.0, 1.0, 0.208)",0.0089539583103921,0.8,-1.1,8.64854387679925,200.0,4.605006662099341,9.685608715247527e-05,0.008515596840141026,0.7,-1.08,6.773627349392222,150.0,25627
12,"(2.0, 1.0, 0.306)",1.2257986228642967,0.8704795531134314,1.738474146287044,14.43392289216613,6.132501734369357,69.72640841939464,196608000.0,"(2.0, 1.0, 0.306)",0.0095482734479664,0.4,-1.0,0.2329978661837883,50.0,1.2257986228642967,9.685608715247527e-05,0.00845234538637124,0.38,-1.0,0.19531216659120637,0.0,27000
13,"(2.0, 1.0, 0.45)",0.2974110126203562,0.2132401440479819,0.4651496663836235,23.00970469622648,7.878003708118413,149.92532933914592,196608000.0,"(2.0, 1.0, 0.45)",0.0081960599650192,0.3,-0.9,0.0063890080811629,100.0,0.2974110126203562,9.685608715247527e-05,0.006536537184707092,0.24,-0.8,0.0006550147626302364,0.0,45562
14,"(3.0, 0.5, 0.044)",0.0807482359284506,0.0527589793720689,0.1529427725800133,36.21500713651679,10.537004103544866,224.49217104493488,196608000.0,"(3.0, 0.5, 0.044)",0.0069628244257396,0.2,-0.7,1.0607843321555595e-05,50.0,0.0807482359284506,9.685608715247527e-05,0.0054869307090181785,0.17,-0.6,5.535473417486383e-07,0.0,60750
15,"(3.0, 0.5, 0.065)",27.465901716923405,21.18502167061491,35.872381701960904,8.486463996927643,3.3284101426184467,40.36851537443595,196608000.0,"(3.0, 0.5, 0.065)",0.0048800072523372,0.9,-1.0,44.460207006253775,100.0,27.465901716923405,9.685608715247527e-05,0.004303610134963887,0.7,-0.96,29.861959223902193,0.0,96000
16,"(3.0, 0.5, 0.096)",6.263591627976329,4.669794129879238,8.45256137686509,13.33809220793157,4.814265683648353,69.98693599022157,196608000.0,"(3.0, 0.5, 0.096)",0.0072792719493132,0.5,-1.0,2.909856396262962,50.0,5.819712792525924,9.685608715247527e-05,0.006909825985771723,0.51,-1.0,3.1059941000085987,50.0,40500
17,"(3.0, 0.5, 0.141)",1.458755820284433,1.011769002689258,3.0628290162794394,31.423549329859156,7.280565885759193,290.37645037377587,196608000.0,"(3.0, 0.5, 0.141)",0.0075623170351594,0.3,-0.9,0.0363517014127441,0.0,1.458755820284433,9.685608715247527e-05,0.006977306009044393,0.3,-0.89,0.03498776657262493,0.0,36000
18,"(3.0, 0.5, 0.208)",0.3489295041409953,0.2173062029141351,0.5684429199630218,32.51752886031805,9.862506133138998,144.6790924998295,196608000.0,"(3.0, 0.5, 0.208)",0.0078296449601051,0.1,0.3,1.1397862604547515e-14,0.0,0.34892950414099533,9.685608715247527e-05,0.007719706271189543,0.11,0.1,1.1045814177158666e-12,0.0,30375
19,"(3.0, 0.5, 0.306)",0.0933874989468125,0.0585256591299881,0.2213588926585553,70.71017064752019,11.69519363828113,372.3118079022847,196608000.0,"(3.0, 0.5, 0.306)",0.0052151976458761,0.1,0.1,7.873043967764412e-15,0.0,0.09338749894681256,9.685608715247527e-05,0.0035758363647785396,0.13,-0.3,3.669908053845552e-10,0.0,144000
