band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
2,61.113865,51.687786,76.95325,58.128754,16.506187,220.126,14393472.0,0.0034642630400285,0.4,-1.0,11.176155767200028,25.0,49.966224670410156,0.00035795998357040425,0.0018736187026832107,0.5,-1.05,29.22001442714044,75.0,506020
3,27.54813,22.12985,39.910866,143.2942,22.389296,550.63635,14393472.0,0.0033934601671824,0.5,-1.1,13.1479991806878,150.0,21.98238182067871,0.00035795998357040425,0.002762838450618421,0.4,-1.06,5.6262635633948035,50.0,253009
4,27.684662,21.903887,40.12647,147.50511,32.58624,560.9357,14393472.0,0.0042610975516766,0.2,-0.9,0.0078899270012265,100.0,23.64075469970703,0.00035795998357040425,0.0026484652792366226,0.19,-0.9,0.004613387246020003,25.0,253009
5,8.802888,6.760228,13.6950655,214.38351,39.10545,764.4296,57573888.0,0.0041932336038897,0.1,-0.2,2.879995240278728e-12,50.0,8.802887916564941,0.00017898288742047673,0.0032644777399073455,0.08,0.0,4.3622764060590195e-17,0.0,168673
6,1.8857526,1.4353023,3.1128192,274.28073,36.400333,938.7651,28786944.0,0.0044345837952854,0.1,0.0,1.8894988716258047e-13,75.0,1.4286808967590332,0.00025311833069086866,0.0038576877550429937,0.1,-0.04,2.4815703899470086e-13,50.0,126504
7,0.5653904,0.44258165,0.8093488,142.61438,36.913067,522.66504,28786944.0,0.0055203413880762,0.1,0.1,3.0558583142090126e-14,150.0,0.39692065119743347,0.00025311833069086866,0.004749053013964848,0.08,0.5,1.092044964546852e-19,100.0,84336
8,0.24928425,0.1888319,0.36889765,176.36858,48.082703,606.79913,28786944.0,0.0064500060833401,0.1,0.3,3.729671654682384e-15,300.0,0.12820211052894592,0.00025311833069086866,0.005581827284271784,0.08,0.7,1.3109933814143391e-20,225.0,56224
9,0.17483261,0.12622048,0.26382184,213.6898,67.59164,648.69934,29236740.0,0.0062611108263228,0.1,0.0,1.012637454777423e-14,250.0,0.07206946611404419,0.0002511637641100581,0.005425449809733862,0.08,0.4,3.356412739237472e-20,250.0,64240
