band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100,best_augmented_var
2,1317.5231,1317.5231,1255.0853,1214.7542,1182.8077,1155.111,1108.1567,1068.441,1034.627,1004.6127,977.67584,908.99835,0.0065049305727851725,0.0082887123386112,0.0073826599986269,0.0067874812493995,0.0065049305727851,0.0065250846281019,0.0067347333594324,0.0084507998302216,0.0087061353572611,0.0099597002047058,0.0134089829254372,0.007601636237502651,0.007312545076846588,0.007012195100973007,0.006760953331219621,0.007333035409390093,0.008661975643621408,0.010337999169034093,0.01275313898751844,
5,529.1666,529.1666,505.67856,492.72702,482.37106,473.6065,459.0325,447.01257,436.6683,427.2463,418.65262,396.54654,0.008339403089794861,0.0101462189445086,0.0099131099076382,0.0088031092181835,0.0089755088218183,0.008806806969284,0.0086491402492724,0.0086574234072929,0.0087209674195851,0.0087608543104074,0.0087794126220843,0.008496510013038194,0.008427869947303601,0.008322035917166959,0.008251076374268917,0.00823957417419141,0.008555527148701114,0.008533528891512265,0.0085150351553408,452.79318
8,152.61247,152.61247,145.97299,142.3167,139.42065,136.95084,132.78394,129.25488,126.14696,123.37134,120.8458,114.30556,0.007000090628124012,0.0092510413682737,0.0087512991446173,0.0085861716610613,0.0084413755822194,0.0082388294970082,0.0079915590161102,0.0076472805989848,0.0072839685705572,0.0072170925700335,0.0077082750087387,0.007227089485411842,0.007102843797388125,0.006896950236019106,0.006824951953857017,0.007078334207839099,0.007134399201860486,0.0071416287285895885,0.007138470245397377,119.656715
11,38.09905,38.09905,36.55926,35.71082,35.0252,34.429573,33.413452,32.55012,31.789806,31.102612,30.472372,28.829311,0.006294299581387053,0.0086204069896754,0.0081274891017629,0.0079577711191441,0.0078120203416537,0.0078217106175035,0.0071215469972903,0.006294299581387,0.0064550308086048,0.0065717070926528,0.0077276755069091,0.006338942367621336,0.006172816136745696,0.006321084711967018,0.00630886965611277,0.006281858379147742,0.006490074180220962,0.006613815313890825,0.006858018643782882,30.781301
14,11.219242,11.219242,10.746617,10.495022,10.290624,10.113163,9.809871,9.550354,9.321134,9.11402,8.924015,8.429741,0.005700249592520246,0.0081876307985536,0.0069883700752805,0.0057002495925202,0.0066401958487747,0.0067134330855563,0.006181522747896,0.005904895872828,0.0061733652279797,0.0062438808706545,0.0080622581215122,0.00543614143561999,0.005627990807767436,0.005584225904212814,0.0055934345945442,0.006083738120470805,0.005902003634043584,0.006375886268310205,,9.675768
17,2.7598639,2.7598639,2.5882514,2.521809,2.4688344,2.4234004,2.3462243,2.2808506,2.2233875,2.1716933,2.1246157,2.0029893,0.004131002704939268,0.0049342505249336,0.0044402420853294,0.00551942309018,0.0056640962657275,0.0053669773156278,0.0048252657833155,0.0049844771307375,0.0055786573605646,0.0061752375042964,0.0079240141756627,0.0037598409519740694,0.0036422321972615634,0.0037225515665578746,0.003763489241656537,0.004275511101246132,0.004643389752662652,,,2.3829765
20,0.45745653,0.45745653,0.4090342,0.3980375,0.3894162,0.3820793,0.36972395,0.3593286,0.35022637,0.34206226,0.33462194,0.31543675,0.002255273123471402,0.0022552731234714,0.0023738872114433,0.0029833487426698,0.0030815563979098,0.0036881870709856,0.0043228993275381,0.0050317478725023,0.0056246216416706,0.0062163605979669,0.0079671745642059,0.004588963925806433,0.004174618205857961,0.0035813582274476508,0.0029613182342537736,0.0026773968675741916,,,,
23,0.10886136,0.10886136,0.10307153,0.10101319,0.09931868,0.09783241,0.09525742,0.09303368,0.09105014,0.089246124,0.08758403,0.083225615,0.0022049165019991657,0.0022049165019991,0.0024172290762151,0.0029547765146751,0.0031583629810888,0.0038286374741138,0.0044496077896766,0.0050329908214429,0.0056388115258229,0.0061922137426047,0.0079289927217299,0.004239626596817425,0.0038204096940221977,0.0033241687639097295,0.002784692697578417,0.002556478761552461,,,,
