layer,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,kstest_stat_best,n_pval_0.05
2,10000.0,0.93,0.7,0.0037290655820219,0.939,0.74,0.0034791889926113484,153940
3,10000.0,0.82,1.5,0.0044590231996455,0.811,1.43,0.004170960264335277,108118
4,10000.0,0.62,2.8,0.0056534756260437,0.623,2.86,0.005564496855492096,56952
5,10000.0,1.62,0.9,0.0054018143612412,1.624,0.91,0.005329334485502102,64071
6,10000.0,0.7,3.1,0.0118460989057855,0.697,3.05,0.01182428115148021,12655
7,10000.0,0.67,4.7,0.006152350263097,0.668,4.64,0.0060259453991782785,50625
8,10000.0,0.52,5.3,0.0089171064103415,0.52,5.3,0.008917106410341546,22500
9,10000.0,0.83,2.8,0.0038643738404954,0.828,2.78,0.0036919959849505135,136836
