band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,2880.0,0.2,13.0,0.0070548887989571,0.0,0.2,13.0,100000.0,0.0070548887989571,0.0,36904
5,8640.0,0.1,7.3,0.0105787688423352,100.0,0.12,7.3,0.029892283934390133,0.00965098097025563,125.0,19440
8,24480.0,0.2,9.7,0.0056263185262246,200.0,0.18,9.8,3466.7679572313,0.0053391776433142635,175.0,61965
11,67680.0,0.2,18.0,0.0018373660232671,100.0,0.2,18.0,755.2409316455606,0.0018373660232671,100.0,578187
14,100000.0,0.1,-0.1,0.0210636063380911,100.0,0.08,0.2,0.00029474003965916467,0.02072392705261361,0.0,4446
17,100000.0,0.1,5.3,0.0086165376187015,0.0,0.1,5.3,9.761256956244716e-05,0.0086165376187015,0.0,25000
20,100000.0,0.1,5.6,0.0022675777542062,50.0,0.1,5.6,1.658345406715397e-05,0.0022675777542062,50.0,379687
23,100000.0,0.1,12.0,0.0010120006227607,50.0,0.1,12.0,3.5034483776030723e-09,0.0010120006227607,50.0,1824555
26,100000.0,0.1,8.7,0.0003996630873854,0.0,0.1,8.7,2.576461960637876e-08,0.0003996630873854,0.0,11690341
30,100000.0,0.1,3.8,0.0029847473605027,0.0,0.1,3.8,1.6407387711695635e-07,0.0029847473605027,0.0,213573
