layer,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,best_scale,kstest_stat_best,n_pval_0.05
2,9000.0,0.04,3.4,0.0240650808437785,0.04,3.38,1.2990224794108828e-48,0.023756441107589343,3375
3,36000.0,0.04,2.8,0.025911919929631,0.039,2.89,7.79899558325057e-50,0.02507101925943178,2845
4,144000.0,0.04,2.2,0.0286649124259349,0.039,2.24,7.887663287751082e-49,0.027053027185070744,2530
5,576000.0,0.04,2.4,0.0259728561304749,0.04,2.4,1.9663468394526175e-48,0.025972856130474967,2845
6,2304000.0,0.04,2.8,0.0278785156591213,0.039,2.9,6.793339657395467e-52,0.02751282650907716,2530
7,9216000.0,0.04,3.3,0.028445412695662,0.039,3.37,1.6078398686782226e-53,0.02762640974195668,2530
8,36864000.0,0.04,3.7,0.0214006107554078,0.04,3.7,5.340944326213022e-53,0.021400610755407834,4050
9,147456000.0,0.04,3.0,0.0247474480076984,0.04,3.02,4.432255748135254e-52,0.024378808875649582,3199
10,589824000.0,0.04,2.6,0.0292434451993772,0.039,2.69,1.0111426738855975e-53,0.028673813183169083,2250
