layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
2,1128046.6,0.0,2227615.0,-1.0498539,,,4,0.1768006548816345,0.7,2.2,98981.6966674902,0.0,1128046.6,0.6239385421352037,0.1768006548816345,0.7,2.2,98981.6966674902,0.0,57
3,405653.5,396542.34,414685.5,-1.2403457,-1.2744715,-1.2039047,20050,0.084276374239148,1.7,20.0,92060.67375109663,0.0,405653.5,0.009582872263187355,0.0842036917276964,1.77,20.0,99964.94128198638,0.0,262
4,136507.84,130978.3,142054.8,0.49469757,0.34235775,0.6936868,180942,0.004389517694543,1.5,1.3,95346.50360305273,0.0,136507.84375,0.0031918031669481294,0.004373024260144388,1.52,1.3,96859.53355568617,0.0,101779
5,30482.424,28617.07,32450.988,3.9116683,2.8086467,5.5795603,922650,0.0034482332347529,1.8,-0.7,55998.77050325569,150.0,28099.228515625,0.001413700107204172,0.0034375139395893036,1.79,-0.7,55863.94398744718,150.0,164209
6,13984.172,12737.206,15299.851,10.70763,9.402235,12.093122,4185552,0.0092142495504015,0.4,-0.7,965.6046792239396,300.0,10766.4384765625,0.000663787213541094,0.008494850103355933,0.5,-0.82,3354.448677892104,375.0,24523
7,1169.7737,1043.9502,1302.5985,16.788366,13.570639,21.554005,17688454,0.0050608413237955,0.2,-0.3,0.0347939910081328,75.0,1052.1702880859375,0.0003229042054228249,0.004296960406802122,0.2,-0.29,0.03369232806116761,75.0,103642
8,50.38604,41.927715,70.69757,114.181786,14.985191,479.17944,72685058,0.0032951678833649,0.1,1.2,4.7950147785823045e-14,25.0,44.2288932800293,0.00015929512734900233,0.0031956114337117793,0.09,1.5,1.1487708677319068e-16,25.0,179671
9,2.1556256,1.5228231,4.3764863,680.6124,18.725904,1771.1183,295085108,0.0061084361585638,0.1,5.0,4.2985757030606763e-19,350.0,1.1206194,7.905959132202486e-05,0.0061084361585638,0.1,5.0,4.2985757030606763e-19,350.0,51283
