band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100,best_augmented_var
2,302668547674595.94,302668547674595.94,207072344452879.2,178480668686090.3,159726067368261.4,145146632913228.38,121998140508514.16,103612155314135.48,89765352541189.94,78606063988205.92,68950724160171.69,46767807276308.64,0.0104332718397819,0.0151935209991189,0.0247969708372498,0.034857800654021,0.0457855918866025,0.0654052581694719,0.0833661448481005,0.0985377556525008,0.1120066076651961,0.1260171420464449,0.1636089823466287,0.05122951238519835,0.04063297717337877,0.028264745458245644,0.015249162327193977,0.010433271839781932,,,,,
5,461986969653092.0,461986969653092.0,247583163090681.2,178593348671266.97,143330286618036.94,124135422427497.22,103835462246054.6,92868573169176.48,84945026512368.22,78580537627364.83,73382160360574.23,61467253939311.17,0.0172504873982627,0.0172504873982627,0.0123284482577493,0.0110820971477877,0.0131074042812648,0.0192432314821797,0.0252151258200631,0.0338187545486805,0.0419900061483474,0.0489914700391994,0.0663668235432509,0.02708077649842186,0.020816437552660716,0.016245241689521475,0.013033364399716717,0.011082097147787743,0.013750747325500301,0.03643477717370548,0.053190553276624086,,
8,80930789219971.47,80930789219971.47,58128566262162.54,48931678085361.74,43909922945410.55,40664198168142.57,36917142274113.85,34694907916067.8,33154740165951.99,31931290098107.145,30857468792273.15,28253129389576.105,0.006752468241253,0.006752468241253,0.006752468241253,0.006752468241253,0.0057880300848742,0.0074182982822357,0.0094082048428732,0.0113646894362275,0.0149450912780289,0.0188461066142598,0.0289255264426313,0.019699004031046907,0.01688491026496286,0.013605925764311577,0.009473974826436748,0.005788030084874274,0.006752468241253015,0.006752468241253015,0.006752468241253015,0.006752468241253015,
11,8157558089721.551,8157558089721.551,7664053269881.282,7480574342720.701,7348869960420.213,7246948103186.847,7076575775934.42,6935620052270.895,6816112517760.51,6710896981044.633,6615531142886.189,6370094086231.863,0.0069451355027415,0.0040760422737981,0.003025973078972,0.0020393161502639,0.0021680075147388,0.0040120439830876,0.0063140719310429,0.0083021767038165,0.0100808865112845,0.0117165738766544,0.0160324413147756,0.004777681498324804,0.0035782640087230755,0.0025734247748312507,0.0021553467485274647,0.002039316150263981,0.0027863171174596912,0.004133312611375839,0.007851739552485304,,
14,208008922645440.62,208008922645440.62,191754814241598.8,183732299398961.84,177545051698350.25,172170417847156.9,163025670012189.1,155299140170024.25,148685476595730.06,142906633657106.28,137662377223157.31,124374089455462.69,0.0241616358383078,0.0262672943168064,0.02371859091,0.0216756614102694,0.0211386688490358,0.0230597284081029,0.0234966590671281,0.0232414699761495,0.0244352142599396,0.0252868045372194,0.0266378002755627,0.0222132147408306,0.02176697839555853,0.021599072802876873,0.021233255496109445,0.020866757878610594,0.020977807653357716,0.021627181000477336,0.02203500652341428,0.021244921658621574,172170417847156.9
17,388231177504978.1,388231177504978.1,377124564161348.8,370379369097566.5,364787228272643.2,359904103869563.75,351556513361267.2,344391451053081.44,338057748074793.06,332278824821795.25,326971508511942.06,313062726459432.25,0.00824140279267,0.0088689096969657,0.009261412117523,0.0096085502364399,0.0097962126061253,0.0105282368019981,0.0111525231831355,0.0116829035102191,0.0121515664178658,0.012592529949274,0.014025230092338,0.009646863621376456,0.009515829560327232,0.009070188062834439,0.008536451262113665,0.00824140279267005,,,,,
20,105529795134163.84,105529795134163.84,101410768375533.0,99114597479027.2,97286754216886.0,95729609362192.7,93084310261645.1,90835733404153.7,88853710570764.2,87061086431326.2,85415809808616.05,81124426390298.33,0.0034940486448092,0.0028012702102384,0.0022919437106536,0.0028605902281108,0.0033589334310722,0.0042828035273326,0.0051444081369701,0.0059708533313334,0.0067609229457456,0.0075112820868656,0.0096197991865247,0.0042235924856492794,0.0037983889032350907,0.0033236484323591713,0.0028379387476279196,0.002291943710653676,0.00280127021023846,0.003356415207075858,,,
23,10332048042010.348,10332048042010.348,9945873694568.676,9762855611958.594,9619885499513.266,9498284043568.367,9293530402753.729,9120038478384.947,8967275012744.629,8829415526396.758,8702724877526.404,8372061564773.764,0.0026941500672913,0.0022739613403097,0.0010655492008825,0.0014855054316471,0.0018016425502345,0.0026013334191624,0.0034684712451355,0.0043445931518712,0.005161752707471,0.0059349157846075,0.0080964184487001,0.0027427952396951727,0.002285785486779275,0.0018549814062755882,0.0021343988852349227,0.0010655492008825873,0.0022739613403097714,0.0033614814159580453,,,
26,4816557122466.155,4816557122466.155,4695999061563.261,4622836681581.665,4562097625993.073,4508539837989.807,4415141347885.633,4334092718600.5576,4261386955471.159,4194946852204.346,4133499953724.0464,3971363218169.962,0.0004229599858563,0.0012325762983983,0.0019007537860549,0.0025451103389999,0.0032344514245406,0.0036771118489733,0.0045386502571035,0.0053666453240874,0.0061599908650598,0.0069226144082485,0.0090432276618009,0.0029357990131101547,0.002412431615406614,0.0018648425958296445,0.001199052001900694,0.00042295998585634154,,,,,
30,63970592978.84248,63970592978.84248,61724870235.59367,60423790510.08322,59355110880.33688,58423559252.17106,56817457238.93704,55435061731.0884,54206232921.569626,53091036348.87613,52065353075.63156,49388316213.23899,0.0030216023627224,0.003189273726908,0.0038956413338811,0.0044211711085276,0.0049007367976709,0.0059417490946589,0.0066875211820394,0.0075316964039915,0.0083523798461808,0.0091120693934507,0.011153281221024,0.005645744400221579,0.0050795682543297235,0.004674895261915106,0.0038546380959297993,0.0030216023627224337,,,,,
