band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,best_augmented_var,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
2,0.0202061717995348,0.0202061717995348,0.0171095025904003,0.0153230795735029,0.0141090289042721,0.0132504727342386,0.012003704052338,0.0111374158236367,0.0105219748984392,0.0100329370561189,0.0096327517842696,0.0087137092166603,0.008059879337362,0.0070308232663137,0.0045811879485689,0.0046018460728096,0.0059766963443055,0.0030897596686053,0.0030775858063177,0.0033870196808504,0.0056972191299947,0.0053234829925448,0.0065241443784632,0.003877533082542254,0.0036155947049758413,0.0033111481243314946,0.0030302069667525666,0.012567653249419376,0.0028155047305361515,0.0025755927606635337,0.002279679483550289,0.0022136669648303853,0.0030879262728369106
3,0.2562825871534618,0.2562825871534618,0.2376099558487416,0.223204118614495,0.2109430317580956,0.2002927230863199,0.1822803233369956,0.1677090817981405,0.1553084158635994,0.144423316193587,0.1349409426602795,0.1129759861992494,0.0260866305957937,0.0224491993949342,0.0194604779924427,0.0184347882913464,0.0199322778084119,0.0231345308237635,0.0196562607516654,0.0157289362373316,0.0146213448255369,0.0169448065054146,0.016710459937829,0.015355793195855325,0.015029722611193366,0.014836102849458119,0.01450776006121796,0.14967896481943205,0.014288943356755807,0.013930918030054525,0.014231739153095963,0.014141301804853623,0.014557778957789758
5,2.0571446580267096,2.0571446580267096,2.0090383211587004,1.970375257137448,1.9356761721898663,1.9036703170724616,1.8454766434479897,1.7929660816365351,1.7448834241223603,1.700169421926375,1.6584310088130154,1.5476784452625894,0.0115482059624183,0.0118396242587917,0.0118158572472796,0.0109334320880636,0.0101129347052106,0.0097709553734988,0.0100712855635291,0.0103612588823114,0.0112575942813119,0.0107511107953474,0.0127740691447537,0.009479921483052045,0.009548115994975792,0.009619771008164801,0.00953485930605047,1.9356761721898663,0.009543165825637911,0.009518378040841255,0.008845161685791192,0.008485807862941175,0.009340000120986902
6,1.4508821862765875,1.4508821862765875,1.4184048809912724,1.3901554304745962,1.3644023689851483,1.340328073529906,1.2964193599084692,1.2567943715844765,1.2204404255114727,1.1866982405497992,1.1553162103488177,1.072133649256242,0.0087767600819151,0.0095633663629853,0.0102563737410699,0.0108954605902476,0.01149935145686,0.0127194958674308,0.0138486618208992,0.0133132445987232,0.0126581939378803,0.0131000073894214,0.0137041578667224,0.009752717624294971,0.009403571418528767,0.009050783326647993,0.009200382839595678,,0.008776760081915108,,,,
8,0.1602203790706402,0.1602203790706402,0.1471997010324821,0.1394761427141929,0.1335851557841177,0.1287477099216113,0.1210184358638712,0.1148856450159438,0.1097578203777919,0.1053519195426953,0.1014875447693093,0.0921232343621042,0.0075633728657972,0.0047930873654886,0.0061390576729464,0.0041138759198104,0.0048504998914924,0.0054968147384794,0.007660264882618,0.0060038139424114,0.0049421496744613,0.0062862799777683,0.0080762682155657,0.0032612517655479095,0.0025867683904401417,0.003384122725501537,0.003049221521045392,0.14719970103248212,0.0023397417690173006,0.001725866401277587,0.0014212554561375823,0.0021626881290378597,
9,0.0396203212318406,0.0396203212318406,0.0369810694306312,0.0356584261393007,0.034636038654907,0.0337861211114386,0.032386889476231,0.0312330299855023,0.0302359299316718,0.0293505913720781,0.0285507785655779,0.0265128939280841,0.0031187063112321,0.006087799291984,0.0081285327518176,0.008697136954047,0.0074820222801539,0.0060885170091408,0.0078066288220795,0.0093823042388806,0.0101702749327212,0.0088860478389266,0.0105297470637655,0.004654907879166448,0.004029743958537377,0.004033579316173985,0.0034100265715028832,,0.0031187063112321223,,,,
11,0.0103445131178352,0.0103445131178352,0.0089582390908617,0.0082774252338231,0.007771826802939,0.0073625471821195,0.0067214543151028,0.0062261847833609,0.0058241313376507,0.0054879462200845,0.0052000119809674,0.0045277054698989,0.0101385572707969,0.0061487690082253,0.0058703678218892,0.0069410197857017,0.0082195772421244,0.0125536501548789,0.0094776536875607,0.0108368559381018,0.0130812916947885,0.0112270747620331,0.0096467503161436,0.006397750812440768,0.006703132588089626,0.005337650956416466,0.004772898242839142,0.008958239090861788,0.004662831861715178,0.004172260794486515,0.005504176070857417,,
12,0.0039195187870789,0.0039195187870789,0.0031582187105273,0.0028405706838616,0.0026169349710254,0.0024431266771501,0.0021811575526201,0.0019863005356187,0.0018320560282623,0.0017054227014177,0.0015986156002601,0.0013557179503115,0.0075658322968697,0.0038948328447769,0.0052635369011282,0.0048057527279694,0.007870717487366,0.0074656580008388,0.0106362639634967,0.006392093665368,0.0072116069870354,0.0086846994492856,0.0090661973545942,0.0038668530471295676,0.003793658045591012,0.0032275535488096585,0.0030092701152305765,0.003158218710527351,0.0016241416406296422,0.00243886342570232,,,
14,0.000315910121344,0.000315910121344,0.0002299914568886,0.0002065706703939,0.0001899725405478,0.0001770250194467,0.0001573785842193,0.0001427121875321,0.0001311391055113,0.0001216550847788,0.0001136774062216,9.563221424561917e-05,0.0133655029682592,0.0094328646661252,0.0072647039010546,0.0065413971077673,0.0064193823142678,0.0047588089693309,0.0054005805088328,0.0062538679786184,0.0074210748572819,0.0066214306562175,0.0090152462158449,0.005837897166704648,0.0052144761062017965,0.004639558564284132,0.004683615169965138,0.00017702501944679517,0.004642471891338505,0.0037305066296431134,0.0034395477926794874,0.003871879420467794,0.005454715790941145
16,6.496193448355957e-05,6.496193448355957e-05,3.832111834218492e-05,3.096325591665087e-05,2.639242821304895e-05,2.316308627710675e-05,1.8819117649849597e-05,1.5991217072678476e-05,1.3988366099770232e-05,1.2484806510177002e-05,1.1308612521861088e-05,8.916086851759855e-06,0.0283247575466057,0.0252070193803988,0.0183250808891268,0.0170960572539041,0.0160513399112557,0.0124137919145798,0.0084521029431161,0.0077830490071392,0.0087323076946667,0.0063201900793142,0.0092824400627961,0.007473650422764686,0.007325275651163365,0.007099864072369174,0.00650431426621908,1.3988366099770232e-05,0.005844683687256984,0.005794193311751128,0.005568280885027879,0.005090321951756849,0.004816616515291194
