layer,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
2,5235.6953,5235.6953,3843.7307,3120.1118,2598.1096,2214.796,1661.9448,1251.0956,939.2097,700.7173,526.5417,186.1175,0.0136954679770541,0.0290456276212072,0.0470681622543433,0.0645147433065969,0.0787506769310738,0.1058870775579488,0.1280366288277152,0.1533495306358582,0.1793974971406335,0.2024418467180625,0.2852217902089113,0.08355918118446816,0.06923890389457,0.05220273421473534,0.03273125307637288,0.013695467977054121,,,,
3,1197.4944,1197.4944,1025.0095,923.4603,847.19525,785.81915,686.7451,608.0984,544.02783,489.27933,442.3351,336.30707,0.0127423047373355,0.0154995207309105,0.0156659584030479,0.0184608520678406,0.022536571952069,0.0302663301964546,0.0384057741102035,0.0472135967398898,0.0555925997141366,0.0634147320346598,0.0843614602196691,0.02249423037236964,0.018351427028547085,0.015020763529703385,0.013921990284734065,0.012742304737335508,,,,
4,262.8788,262.8788,246.22952,234.64328,225.34444,217.24583,203.3259,191.70615,181.68648,172.85034,164.86269,144.72653,0.0203518394793615,0.0202708435814055,0.0203064102176504,0.0203224284204809,0.0202769368788386,0.0202789129485571,0.0202719700286758,0.0202663691377433,0.021054638168538,0.0233408838351085,0.0260565606798901,0.021681251741677232,0.021634150338591174,0.021470650726714058,0.021275034024552886,0.02026636913774338,0.02028971602197016,0.02032361518894288,0.02035848550510766,0.020395032317754636
5,51.52013,51.52013,50.151546,49.126,48.222614,47.395573,45.922768,44.60736,43.41074,42.31765,41.31039,38.666965,0.0429899999999997,0.0429899999999997,0.0429899999999997,0.0429899999999997,0.0429899999999997,0.0429899999999997,0.0429899999999997,0.0429899999999997,0.0429899999999997,0.0429899999999997,0.0429899999999997,0.04298999999999975,0.04298999999999975,0.04298999999999975,0.04298999999999975,0.04298999999999975,,,,
6,9.412067,9.412067,9.064712,8.799385,8.571249,8.370604,8.018184,7.7143903,7.4444222,7.199794,6.976192,6.401364,0.0757199999999998,0.0757199999999998,0.0757199999999998,0.0757199999999998,0.0757199999999998,0.0757199999999998,0.0757199999999998,0.0757199999999998,0.0757199999999998,0.0757199999999998,0.0757199999999998,0.07571999999999984,0.07571999999999984,0.07571999999999984,0.07571999999999984,0.07571999999999984,,,,
7,1.6749111,1.6749111,1.5925397,1.5331396,1.4829998,1.4388696,1.3624322,1.2974992,1.240677,1.1898946,1.1440654,1.0280567,0.1093299999999997,0.1093299999999997,0.1093299999999997,0.1093299999999997,0.1093299999999997,0.1093299999999997,0.1093299999999997,0.1093299999999997,0.1093299999999997,0.1093299999999997,0.1093299999999997,0.10932999999999976,0.10932999999999976,0.10932999999999976,0.10932999999999976,0.10932999999999976,,,,
8,0.3342319,0.3342319,0.312696,0.2976585,0.28529164,0.27467242,0.256877,0.24211235,0.22940053,0.21823661,0.20830831,0.18386857,0.1392699999999997,0.1392699999999997,0.1392699999999997,0.1392699999999997,0.1392699999999997,0.1392699999999997,0.1392699999999997,0.1392699999999997,0.1392699999999997,0.1392699999999997,0.1392699999999997,0.13926999999999978,0.13926999999999978,0.13926999999999978,0.13926999999999978,0.13926999999999978,,,,
9,0.090521306,0.090521306,0.084232174,0.079831935,0.07629608,0.07330801,0.06840902,0.0644486,0.061117943,0.058245085,0.055728503,0.04967305,0.1689099999999997,0.1689099999999997,0.1689099999999997,0.1689099999999997,0.1689099999999997,0.1689099999999997,0.1689099999999997,0.1689099999999997,0.1689099999999997,0.1689099999999997,0.1689099999999997,0.16890999999999978,0.16890999999999978,0.16890999999999978,0.16890999999999978,0.16890999999999978,,,,
