band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,3066.0,2.5,-0.2,0.0149600212171243,25.0,2.5,-0.2,28.2074458243013,0.0149600212171243,25.0,8283
5,6570.0,0.2,6.9,0.0101279164886095,25.0,0.2,6.9,5.0409486358146575e-08,0.0101279164886095,25.0,18706
8,11972.0,0.2,9.8,0.0089605151881941,25.0,0.2,9.8,5.523184045384792e-09,0.0089605151881941,25.0,22726
11,22922.0,0.2,7.4,0.0044937861354099,25.0,0.2,7.4,8.093589505921066e-09,0.0044937861354099,25.0,87030
14,42778.0,0.3,3.0,0.00291600514133,25.0,0.32,2.7,0.00020595802630964384,0.0028652169652694237,25.0,216562
17,79278.0,0.2,5.8,0.002562362169739,75.0,0.2,5.8,4.0054143168363505e-09,0.002562362169739,75.0,267562
20,150088.0,0.2,9.9,0.0026219630843497,150.0,0.2,9.5,2.5429116196506387e-10,0.0026087179029089524,125.0,284931
23,283386.0,0.4,7.5,0.0016023100857035,75.0,0.38,7.9,1.9193638605213734e-05,0.001581508347031962,75.0,717319
