layer,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100,best_augmented_var
2,7790.2036,7790.2036,6783.377,6153.5693,5680.3965,5299.69,4680.475,4181.523,3773.0247,3439.4287,3147.4167,2458.1743,0.009455294113701,0.0084959485694332,0.0128523469947194,0.0172029566066755,0.0215740837971942,0.0291370175627428,0.0370034172195289,0.0439270302863772,0.0505174071319886,0.0574879236484773,0.0781920378467361,0.02602945444170901,0.021994791516975476,0.017952924598000464,0.013627053023386293,0.008495948569433254,0.0130241574137272,,,,
3,2234.2837,2234.2837,2104.6023,2016.0828,1943.1561,1880.0933,1774.6903,1685.6598,1606.9753,1537.4923,1475.0153,1316.8757,0.0075001110716023,0.0072055727000223,0.0072043711165747,0.0072036037149345,0.0074108129374186,0.0094999584268936,0.0118956899966938,0.0140129731323888,0.0160169319046918,0.0178330608108387,0.0227562080426537,0.010103389328307788,0.008903802842206932,0.007609690455691487,0.007632904660996531,0.007203603714934559,0.0072154807257452935,0.008683099278754769,0.010666876294669225,,
4,638.87396,638.87396,624.3814,612.8012,602.6882,593.59235,577.36993,562.9423,549.8852,538.01215,527.1007,498.3401,0.0099782526107742,0.0097358783498639,0.0096246220191957,0.0094814759362236,0.0093868281047418,0.0092390340901872,0.0094248623544365,0.010138076074169,0.01059093354952,0.0112255918654409,0.0125226006178914,0.01042999200589767,0.010254062619871607,0.009911798266394045,0.009534419704982366,0.009239034090187226,0.009862008060970262,0.010773411870791727,0.01174640125915194,0.011348477620186148,
5,167.09065,167.09065,162.94452,159.74103,156.93523,154.39714,149.87524,145.86694,142.2292,138.861,135.72395,127.37425,0.0168128124757679,0.0167751721246814,0.0167450981781098,0.0167205957609303,0.016698617038148,0.0169243974625567,0.0168852661571237,0.0168483391025231,0.0164566494859779,0.01642574629287,0.0163381378267828,0.015989999999999893,0.015989999999999893,0.015989999999999893,0.015989999999999893,0.015989999999999893,0.015989999999999893,0.015989999999999893,0.015989999999999893,0.015989999999999893,122.51754
6,40.694473,40.694473,39.566864,38.68866,37.91778,37.222576,35.984,34.888634,33.895832,32.9838,32.139793,29.926153,0.0369699999999997,0.0369699999999997,0.0369699999999997,0.0369699999999997,0.0369699999999997,0.0369699999999997,0.0369699999999997,0.0369699999999997,0.0369699999999997,0.0369699999999997,0.0369699999999997,0.036969999999999725,0.036969999999999725,0.036969999999999725,0.036969999999999725,0.036969999999999725,,,,,
7,9.36135,9.36135,9.075212,8.852753,8.658341,8.48239,8.16926,7.8923907,7.642422,7.413753,7.202734,6.650287,0.0729699999999997,0.0729699999999997,0.0729699999999997,0.0729699999999997,0.0729699999999997,0.0729699999999997,0.0729699999999997,0.0729699999999997,0.0729699999999997,0.0729699999999997,0.0729699999999997,0.07296999999999976,0.07296999999999976,0.07296999999999976,0.07296999999999976,0.07296999999999976,,,,,
8,2.115491,2.115491,2.0431545,1.9877595,1.9396307,1.8963184,1.8197597,1.7527695,1.6927861,1.63828,1.5882194,1.4581178,0.1164499999999998,0.1164499999999998,0.1164499999999998,0.1164499999999998,0.1164499999999998,0.1164499999999998,0.1164499999999998,0.1164499999999998,0.1164499999999998,0.1164499999999998,0.1164499999999998,0.11644999999999983,0.11644999999999983,0.11644999999999983,0.11644999999999983,0.11644999999999983,,,,,
9,0.5217419,0.5217419,0.50225645,0.48766682,0.4751292,0.46394804,0.44437867,0.42744532,0.41240194,0.39881617,0.38639748,0.3543838,0.1624299999999997,0.1624299999999997,0.1624299999999997,0.1624299999999997,0.1624299999999997,0.1624299999999997,0.1624299999999997,0.1624299999999997,0.1624299999999997,0.1624299999999997,0.1624299999999997,0.16242999999999974,0.16242999999999974,0.16242999999999974,0.16242999999999974,0.16242999999999974,,,,,
10,0.15781987,0.15781987,0.15193452,0.1474812,0.14368647,0.14033018,0.13452522,0.12957506,0.12523724,0.12136493,0.11786098,0.10897247,0.2102099999999997,0.2102099999999997,0.2102099999999997,0.2102099999999997,0.2102099999999997,0.2102099999999997,0.2102099999999997,0.2102099999999997,0.2102099999999997,0.2102099999999997,0.2102099999999997,0.21020999999999979,0.21020999999999979,0.21020999999999979,0.21020999999999979,0.21020999999999979,,,,,
