layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,initial_scale,kstest_stat_initial,kstest_stat_cutoff_0.05,best_r_eta0,best_scale_eta0,kstest_stat_eta0,best_r,best_eta,best_scale,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05
2,20586.12,19258.777,21997.203,4.579008,3.067372,6.877853,27208.0,1.6,-0.97,54039.90493655532,0.013942459363082,0.0082273201196278,6.0,1.7412731557017844,0.1459278624783772,1.52,-0.964,52320.94767707414,0.013859991516777304,1.52,-0.964,0.013859991516777304,9682
3,5586.0425,5083.0303,6169.8623,12.162527,6.823176,25.538519,108832.0,0.3,-1.32,1506.59469455669,0.1330799999999997,0.0041152012481055,6.0,1.7412731557017844,0.2681035346320017,0.37,-1.321,4276.766807436368,0.1330799999999998,0.37,-1.321,0.1330799999999998,106
4,1803.6252,1653.4755,1972.1727,9.5094,6.3862934,18.198275,333298.0,0.69,-1.3,6103.234327790841,0.0777999999999997,0.0023519198649528,5.9,1.740116668776576,0.3289178920996223,0.681,-1.28,5373.295169388054,0.07779999999999987,0.681,-1.28,0.07779999999999987,306
5,518.5317,474.7186,568.60645,10.222363,6.5263047,26.454138,1149538.0,2.1,-1.3,3330.1157142298925,0.0430634954539623,0.0012665428950382,5.9,1.740116668776576,0.3840764770057148,2.0,-1.31,3467.40316069925,0.043050586513633915,2.0,-1.31,0.043050586513633915,945
6,123.44841,112.812614,135.50139,10.630472,6.9887776,22.231544,4251250.0,2.0,-1.23,606.6753693798385,0.0103753860564461,0.000658638529926,5.8,1.7388687886609993,0.429565872377477,2.2,-1.23,614.1690940566561,0.009334016508389387,2.2,-1.23,0.009334016508389387,21015
7,26.474886,23.729076,30.007523,18.564669,9.779378,60.50916,17005000.0,0.6,-1.16,37.05716303475088,0.0113150924251603,0.000329329071013,5.8,1.7388687886609993,0.459438253011936,0.6,-1.162,37.33447280577852,0.010708899442185726,0.6,-1.162,0.010708899442185726,16606
8,5.566022,4.8247104,6.9107633,45.4341,13.9184065,216.77681,68020000.0,0.3,-0.93,0.1560296671695431,0.0123928840349697,0.0001646669863926,5.8,1.7388687886609993,0.4768202908765399,0.3,-0.937,0.16048232616546043,0.012391991921396728,0.3,-0.937,0.012391991921396728,12454
9,1.0218027,0.85654026,1.4280809,105.147964,15.814442,464.5576,272080000.0,0.5,-1.03,0.5603217262557579,0.0253330994777584,8.233410583957582e-05,0.03,3.00147267324634e-61,0.4782,0.52,-1.04,0.6548213750411284,0.025331641257328452,0.52,-1.04,0.025331641257328452,2952
