layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,initial_scale,kstest_stat_initial,kstest_stat_cutoff_0.05
2,20586.12,19258.777,21997.203,4.579008,3.067372,6.877853,27208.0,1.6,-0.97,54039.904936555315,0.013942459363082027,0.008227320119627842
3,5586.0425,5083.0303,6169.8623,12.162527,6.823176,25.538519,108832.0,0.3,-1.32,1506.59469455669,0.13307999999999975,0.004115201248105526
4,1803.6252,1653.4755,1972.1727,9.5094,6.3862934,18.198275,333298.0,0.69,-1.3,6103.234327790841,0.07779999999999976,0.0023519198649528247
5,518.5317,474.7186,568.60645,10.222363,6.5263047,26.454138,1149538.0,2.1,-1.3,3330.1157142298925,0.04306349545396232,0.0012665428950382307
6,123.44841,112.812614,135.50139,10.630472,6.9887776,22.231544,4251250.0,2.0,-1.23,606.6753693798385,0.010375386056446112,0.000658638529926002
7,26.474886,23.729076,30.007523,18.564669,9.779378,60.50916,17005000.0,0.6,-1.16,37.05716303475088,0.011315092425160378,0.00032932907101302186
8,5.566022,4.8247104,6.9107633,45.4341,13.9184065,216.77681,68020000.0,0.3,-0.93,0.1560296671695431,0.012392884034969742,0.00016466698639267335
9,1.0218027,0.85654026,1.4280809,105.147964,15.814442,464.5576,272080000.0,0.5,-1.03,0.5603217262557579,0.025333099477758414,8.233410583957582e-05
