layer,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,best_scale,kstest_stat_best,n_pval_0.05
2,27208.0,1.6,-0.97,0.013942459363082,1.52,-0.964,52320.94767707414,0.013859991516777304,9682
3,108832.0,0.3,-1.32,0.1330799999999997,0.37,-1.321,4276.766807436368,0.1330799999999998,106
4,333298.0,0.69,-1.3,0.0777999999999997,0.681,-1.28,5373.295169388054,0.07779999999999987,306
5,1149538.0,2.1,-1.3,0.0430634954539623,2.0,-1.31,3467.40316069925,0.043050586513633915,945
6,4251250.0,2.0,-1.23,0.0103753860564461,2.2,-1.23,614.1690940566561,0.009334016508389387,21015
7,17005000.0,0.6,-1.16,0.0113150924251603,0.6,-1.162,37.33447280577852,0.010708899442185726,16606
8,68020000.0,0.3,-0.93,0.0123928840349697,0.3,-0.937,0.16048232616546043,0.012391991921396728,12454
9,272080000.0,0.5,-1.03,0.0253330994777584,0.52,-1.04,0.6548213750411284,0.025331641257328452,2952
