layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0
2,2543.706,2322.2668,2776.3699,1.8551836,1.2311459,2.5527425,3180.0,0.33,2.6,0.0164468225821352,0.0240303354829301,0.04876829471878075,0.24
3,880.9424,837.7076,925.666,1.832932,1.4922528,2.2081351,12720.0,0.33,1.4,0.0072544752081373,0.0120285145061138,0.03090336203865976,0.26
4,249.72429,236.01889,263.6957,2.6048474,2.158933,3.1408162,50880.0,0.34,0.5,0.0056036534151958,0.0060175634983601,0.01973771314209563,0.3
5,56.870796,53.349483,60.484978,4.0330415,3.3578613,4.833753,203520.0,0.37,-0.1,0.0024943127660284,0.0030096044936828,0.004753988351191785,0.38
6,10.734995,9.960573,11.537709,5.9360914,4.932771,7.195107,814080.0,0.42,-0.6,0.0060548740777894,0.0015050074551751,0.020612432754842813,0.57
7,1.834359,1.6885227,1.9882218,8.154408,6.703937,10.309594,3256320.0,0.6,-0.86,0.0115163753235231,0.0007525549699048,0.04197431689121944,2.3
8,0.25910306,0.23667519,0.2838725,10.494855,7.995214,17.8014,13025280.0,3.0,-1.13,0.0439061125707855,0.0003762902880576,0.1899873508073964,6.0
