band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,720.0,0.2,13.0,0.0133075620171573,0.0,0.15,13.0,12.028300141823067,0.012545589642655619,0.0,12300
5,7200.0,0.1,9.1,0.0096210190864674,100.0,0.1,9.1,6.447032644766932e-07,0.0096210190864674,100.0,20502
8,13680.0,0.2,8.6,0.0054330445522998,0.0,0.19,8.7,25712.406683881884,0.0053138581110668826,100.0,65736
11,28080.0,0.2,20.0,0.0021673873960099,75.0,0.17,20.0,2.8608886070707853,0.0021349131693090273,50.0,404806
14,56160.0,0.1,0.7,0.0236554213132189,25.0,0.12,0.3,8210.233999799622,0.022633141365925327,25.0,3510
17,100000.0,0.1,11.0,0.0055052865891877,0.0,0.1,11.0,3.580747559041056e-07,0.0055052865891877,0.0,63280
20,100000.0,0.1,12.0,0.0014048368737947,25.0,0.1,12.0,8.976936771201068e-09,0.0014048368737947,25.0,961083
23,100000.0,0.1,13.0,0.0014782448502623,75.0,0.1,13.0,1.0796760075114244e-09,0.0014782448502623,75.0,854296
26,100000.0,0.1,8.1,0.0009138057340581,25.0,0.1,8.1,6.403013031702411e-09,0.0009138057340581,25.0,2162436
30,100000.0,0.2,1.3,0.0018181444879357,0.0,0.19,1.4,20182.73487872944,0.0017875374148652798,0.0,569530
