band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,best_augmented_var,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0
12,100482621369653.23,100482621369653.23,81865033763683.45,73070123829634.36,66707033976438.15,61570565621585.2,53733078782207.31,47830074448543.625,43039710923304.75,39025872265559.9,35612245818901.21,27907476397678.133,0.0164331600322902,0.0164331600322902,0.0164331600322902,0.0164331600322902,0.0164331600322902,0.0164331600322902,0.0164331600322902,0.0164331600322902,0.0164331600322902,0.0164331600322902,0.0164331600322902,0.016375658668760562,61570565621585.2,0.016375658668760562,0.016375658668760562,0.016375658668760562,0.016375658668760562
13,256511248174896.1,256511248174896.1,245881505662633.7,239206312068298.44,233671684480923.5,228741852778442.8,220255809348299.12,212987013810575.56,206514232520289.38,200663414148491.44,195247974529277.72,181118536406789.8,0.0276629138385474,0.0292560639811173,0.0291817180991584,0.0285731948414568,0.0293892891607982,0.0308201428164329,0.0305007034587737,0.0309651024210111,0.0320592932187295,0.0328950099298921,0.0339166725768252,0.0280550516764827,256511248174896.1,0.028573194841456873,0.027853593906726773,0.027022468502237496,0.02577468558642415
15,556433821854561.75,556433821854561.75,538315333557728.0,527061430976365.4,518017374402809.6,510320607160769.25,497264461250577.44,485933794029575.4,475794770348194.9,466621946679272.4,458199499523462.5,436053747016720.3,0.0121329421976538,0.0128415155642833,0.0131584705412239,0.0134558333354146,0.0138026318626504,0.0143930338394824,0.014614587047584,0.0152696407286468,0.0157354798663503,0.0160159687807259,0.0173833568642069,0.013689887675735313,,0.013249198187444633,0.012850275474329487,0.012544847580736262,0.012132942197653818
16,542056013852580.8,542056013852580.8,525064319501749.44,515213116481586.6,507099250348566.56,500068713117932.8,487989597173815.1,477651483100652.7,468479056654135.1,460215386951512.9,452629187238516.06,432773768744631.0,0.0037824228933285,0.0044569755578411,0.0047838777840139,0.0053249309275251,0.0055956475640265,0.0063025324853102,0.0069951140238847,0.0076980577150386,0.0083210350858587,0.0090241317518386,0.0112248774002683,0.005455314208061002,,0.005122515688600449,0.004795273548048429,0.004228453216850017,0.0037824228933285298
