layer,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,best_augmented_var,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
2,1353.1903,1353.1903,1155.8708,1031.2615,931.0845,849.5838,714.612,602.9195,511.64682,436.1087,372.8594,227.51782,0.0141690031085998,0.0238629270327376,0.0340458440619111,0.0432154553782767,0.0535904558108839,0.0730357223107486,0.0931281371634128,0.1118369570629622,0.129048792649235,0.1455011010580875,0.1943797806390327,0.06160113996646999,0.05133400989251902,0.03983866892950971,0.02701378169792079,0.01416900310859981,,,,,
3,327.51788,327.51788,304.2212,288.78024,275.69534,264.3584,245.1246,228.82697,214.38568,201.3971,189.71562,160.70605,0.0062918155580714,0.0095881821884699,0.011666909337792,0.0140118360446912,0.0169712003398757,0.0228101659170113,0.0285521139814016,0.0338697129184202,0.0391246293471967,0.0441190253201998,0.0586623918139933,0.01725835899820538,0.014320799118431204,0.011758967099380735,0.008805356609169812,0.006291815558071456,,,,,
4,68.14735,68.14735,65.22703,63.469982,62.045425,60.78389,58.525414,56.53489,54.76288,53.166443,51.689186,47.81992,0.0039049636432911,0.0040379830400903,0.0042945672924393,0.0043208996210458,0.0047380069067167,0.0061429746223487,0.0079731210765934,0.0098832340729858,0.0120621321588193,0.013591954939552,0.0182310588141807,0.007127339770411134,0.006468180754766906,0.005867657814402849,0.004037983040090398,0.0037376724740560974,68.14735,,,,
5,13.558892,13.558892,13.171043,12.938088,12.743633,12.572252,12.269126,12.001592,11.757642,11.532422,11.321332,10.765843,0.0042195741646325,0.0059885948553446,0.0066393625392777,0.0059407915690344,0.0063714356172388,0.0068765380877344,0.0067003661323686,0.0066330217188835,0.0065807329220975,0.0065369758102151,0.0078966753067745,0.004623628165847271,0.004277609743155164,0.004029657261201913,0.0036057320543172455,0.0031150195181138818,13.558892,,,,
6,2.6349738,2.6349738,2.530236,2.4743733,2.4278686,2.386727,2.315599,2.2549522,2.2006466,2.1509361,2.1049864,1.9838786,0.0121665006968959,0.0123998208875623,0.0129222787752956,0.0129837123760532,0.0128450651397649,0.0125987053149326,0.0123819417161175,0.012181466137788,0.0122641182996835,0.0129138064214129,0.0131135417698395,0.011512669409982468,0.011311970534645055,0.011308610561361343,0.01116581396134575,0.01109399127548838,2.6349738,,,,
7,0.53696954,0.53696954,0.50787103,0.49484178,0.48417774,0.47493118,0.45900467,0.4453402,0.43321192,0.4222012,0.412094,0.38576072,0.014303655212672,0.0134238424666069,0.0142180200114285,0.0139948834995406,0.0136899079635773,0.0141823406870728,0.0137320100516037,0.0140543911616186,0.0137490630843239,0.0140563432323748,0.0136752058631062,0.012914493297838447,0.012740611320612216,0.012787674972723151,0.01308953424731063,0.012680008750309113,0.53696954,0.011799940645487672,,,
8,0.15501633,0.15501633,0.14478691,0.14065988,0.13728912,0.13436213,0.12933789,0.12504265,0.12124395,0.11781887,0.11468448,0.106558785,0.0119429576527163,0.0103389035064614,0.0096234226736911,0.009018884354856,0.0084835155337809,0.0095979202323409,0.0109585310663771,0.0106511753375685,0.0108105129385025,0.0106779736627551,0.0103793678189239,0.007694355541362628,0.00745734133922038,0.006722212621649723,0.00657970221025983,0.006445862829972948,0.14478691,0.006964518903283479,0.0071545907053684465,0.006065256608805969,0.006490441335779473
9,0.04745376,0.04745376,0.043800764,0.0422881,0.041062105,0.040003136,0.038196944,0.036666818,0.03532497,0.034123033,0.0330312,0.03023537,0.0203956767563078,0.0223012996605742,0.0218163637075946,0.0203730258986881,0.0202758002492152,0.0221431497140209,0.0238069536218257,0.0236325160296903,0.0219372427595054,0.0203423667251188,0.0205442694422454,0.016473300443892447,0.016645499787244666,0.016774169947151307,0.015892875517659832,0.015699830350592636,0.04745376,0.01503734653949429,0.016245188319317205,0.015816422969231136,0.014317834334712787
