layer,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,best_augmented_var,kstest_stat_minus25,kstest_stat_minus50
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2136795.8,2136795.8,2088469.8,2050182.2,2016164.2,1985217.5,1927556.6,1873999.5,1824328.1,1776314.4,1730399.8,1599600.1,0.1932462844228197,0.1955839542257256,0.1974887675011492,0.1992279021625895,0.2008430693119781,0.2039402025715266,0.2069245408197237,0.209790632151174,0.2126562137721551,0.2154889386090921,0.224249580634502,0.20081264440073932,0.19919752815123476,0.19745845253472766,0.19558395422572566,0.19324628442281971,,,
4,168473.95,168473.95,166270.16,164462.95,162844.3,161360.42,158693.12,156285.95,154056.39,151978.62,150031.98,144874.55,0.0052337623669724,0.0059746413778431,0.0065702442242494,0.0067639639860569,0.0072914491468932,0.0082451749382091,0.0091033237071229,0.0100018028337923,0.0106940989442772,0.0114204926838951,0.0135125517631872,0.007291449146893225,0.006763963986056956,0.006343758876359004,0.005828471274159766,0.005233762366972497,,,
5,83699.02,83699.02,82166.12,81040.93,80051.58,79144.48,77504.74,76017.445,74644.98,73361.08,72156.26,68921.5,0.0041490195596723,0.0042729760935736,0.0049526814361807,0.0050074499929216,0.0051363833964307,0.0055764720806504,0.0060151739179982,0.0065850652792415,0.0073091949048885,0.0078941671732039,0.0097655056512823,0.004703016024739437,0.004229393027039063,0.004041497464307375,0.003597971723913851,0.0033432752560523804,83699.02,,
6,26502.598,26502.598,25958.305,25538.348,25160.14,24810.428,24165.943,23579.46,23036.578,22529.605,22053.531,20773.812,0.0058280241239411,0.0066725467230471,0.0057205745802939,0.0061250867969561,0.0066548102103082,0.0077947301018308,0.0080542958417265,0.0077999651046677,0.0086526349697904,0.0094592077937654,0.0096921990669675,0.006653177141643152,0.006423402151758302,0.006219951165815141,0.005735192737400974,0.00561801287726571,26502.598,0.005561895205054457,0.005114544607014243
7,6867.3423,6867.3423,6705.142,6576.92,6463.1304,6358.668,6168.5522,5996.6045,5838.1313,5690.633,5552.2715,5180.713,0.0064866887449991,0.00738590702166,0.0066153034866827,0.0068624790168534,0.0073074047245111,0.0069786233632191,0.0078047878867137,0.0085696245965596,0.0084450477081857,0.0092329310983041,0.0102218630238926,0.006495999188847135,0.006504434818333349,0.006296244490874514,0.005874364408028965,0.005481346057144232,6867.3423,,
8,977.00665,977.00665,947.782,926.4807,908.214,891.8961,863.0156,837.49493,814.37384,793.12604,773.4123,721.4084,0.0079249621185397,0.0070302015086129,0.0075468058545942,0.0081304964886836,0.0086565279613182,0.0091417200756404,0.0087086921798682,0.0094971802901203,0.0102730018453219,0.0099515869275773,0.0112632850144098,0.007613647180364409,0.007597117268290043,0.0076441900754857794,0.007142499241216547,0.006897183378705818,977.00665,0.006298488699404081,
9,94.96691,94.96691,89.417946,86.51905,84.20633,82.231766,78.90299,76.098404,73.646614,71.4558,69.46959,64.38837,0.0054065714141167,0.005711318624211,0.0072147720870692,0.006513166818617,0.0067355347908623,0.0077432015265799,0.0085920604601537,0.0080979184093448,0.0090293023664825,0.0091861776610829,0.0101665943297645,0.0077114597728236076,0.00719680245643009,0.006811521583073632,0.006144658151190689,0.005400129454305187,94.96691,,
