layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,,,,,,,0.0,,,,,,,,,,,,,-1,,,,,,,,,,
3,2136795.8,2089661.5,2183364.5,-1.7575294,-1.7724658,-1.739543,3396.0,0.1932462844228197,1.0,20.0,99385.8488372093,0.0,2136795.8,0.0232552449022127,0.1932462844228197,1.0,20.0,99385.8488372093,0.0,48,1993.4,0.133515,2.9697499999999995e-53,1881.61,0.149474,1.0626999999999999e-66,1593.3,0.144807,1.3133599999999998e-62,1.4585692999999992e-111
4,168473.95,160047.58,177148.22,1.8744407,1.4636377,2.318799,98808.0,0.0052337623669724,1.0,0.3,93596.640625,0.0,168473.95,0.004318821895478,0.0052337623669724,1.0,0.3,93596.640625,0.0,70341,365.889,0.0189816,2.3486e-31,316.402,0.0143032,5.4729200000000006e-18,252.032,0.0190901,1.03801e-31,0.0088839115
5,83699.02,78400.57,89182.37,4.21965,3.506101,5.112777,524004.0,0.0041490195596723,0.5,-0.4,11889.06582919034,0.0,83699.0234375,0.0018758163145003,0.0033432752560523,0.55,-0.5,20226.94390227341,0.0,165796,206.392,0.040085,0.0,181.078,0.0125,1.50906e-71,147.836,0.0140657,1.760139999999999e-90,1.6318614e-05
6,26502.598,24547.81,28542.047,6.584359,5.6949015,7.737797,2418270.0,0.0057205745802939,0.3,-0.3,113.04597700645176,50.0,26502.59765625,0.0008732621369519,0.0051145446070142,0.25,-0.1,10.970955093306904,0.0,71730,97.7398,0.0500432,0.0,85.9879,0.0229751,0.0,69.1654,0.0210271,0.0,2.2590946999999997e-55
7,6867.3423,6302.964,7459.0786,8.624499,7.535332,9.846775,10234344.0,0.0064866887449991,0.2,-0.1,0.1238698103383159,0.0,6867.34228515625,0.0004245067937033,0.0054813460571442,0.2,-0.07,0.1138054446592643,0.0,59965,43.8769,0.0534123,0.0,38.9758,0.0275034,0.0,30.6928,0.0241421,0.0,1.6401986999999995e-267
8,977.00665,892.4991,1067.0593,9.898498,8.096569,13.575704,42110360.0,0.0070302015086129,0.2,-0.1,0.0170956346035691,25.0,977.0066528320312,0.0002092804319039,0.006298488699404,0.2,-0.15,0.0203643668853721,0.0,46263,16.1146,0.0554125,0.0,14.3228,0.0295649,0.0,11.2494,0.0258846,0.0,0.0
9,94.96691,84.62709,107.5309,19.474989,11.005217,47.74452,170911996.0,0.0054065714141167,0.1,1.2,1.0295707386414624e-13,0.0,94.96691131591795,0.0001038821582746,0.0054001294543051,0.11,0.9,1.429557030899514e-11,0.0,62589,4.81292,0.0552514,0.0,4.27159,0.0291287,0.0,3.3434,0.026255,0.0,0.0
